,UKF243,UKF259,UKF260,UKF269,UKF275,UKF296,ZH1007nec,ZH1019T1,ZH1019inf,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
WNT6,0.04040630771851008,0.09475313926881211,0.015572275748322565,-0.01740593825798527,-0.044267248949348616,,0.024166800057148188,,0.024201567606118125,,-0.022337013991709707,0.10304704790286191,-0.027483595946431683
NRG4,-0.024231044804301348,-0.0162708062395652,-0.04195530152192089,-0.004409372082203295,-0.030420312417997006,0.05132822418472959,,0.05324205342409998,,-0.035231729056320785,-0.02222530473057149,-0.0013028383966348727,0.06391372502503234
PMCH,,0.03296655705154766,,,-0.019738380393049013,,,,,,0.10353081436171402,0.014952893070741533,-0.05293043833156072
COL9A1,0.026033056262468435,-0.020037138949041775,0.014983771657756861,0.06991018453825347,0.001825417549868114,-0.001295968386162817,-0.05723844468265029,0.06873318783907015,0.0032002772450018405,-0.005695562837844179,-0.06142844928655524,0.031719193807053174,0.09701864582047585
GDF11,0.06384631776541955,-0.01516691844536617,0.0731746590991964,0.09006370612582762,-0.0034691477243076565,0.006068548681529261,-0.06226923276166099,0.02514567255404462,0.01986838971613528,0.07946655678464501,-0.023463226540467754,0.024035543867807777,-0.016053721034833678
RAET1E,,,,,,,,,,,,-0.02306876981756341,
IL24,,,,,,,,,,,,,0.1248051754699733
SORBS1,-0.028881182565083485,0.018423198833093346,0.041578743622577886,-0.003757472588849637,0.01041527756900075,0.00521449969286004,-0.1136918926131359,-0.029960147382307862,0.0976956310765593,-0.05793135720893422,0.03246461470993784,0.013123557363586802,0.006695172907324446
DLL1,0.04690681111942337,-0.023062179558113585,0.0652896420389289,0.07439486476878145,0.07158194045637845,-0.009360832960679933,-0.04867637862404127,-0.06863187826551646,-0.02769351707950176,0.01925115783076597,-0.052207693972129016,0.07008228633570505,0.08941920168398197
TLN1,0.06323305780082467,-0.0363464176109409,0.06439272001961016,0.031525560281457796,-0.007325979781496442,0.006185137691666535,0.04546797112520716,0.00913055520482034,0.012418199764098858,0.01594772281408896,0.0020029703367091182,-0.08282536945317939,0.08843389052485828
COL2A1,-0.02480207001619734,,-0.012350175453964015,-0.01633761530412106,,,,,,,0.016959940488125037,-0.003433674910979728,0.07917678070113258
SHH,,-0.029626189479372622,-0.06669281502319596,-0.012843350753110794,0.023963762733986007,-0.012765914707108746,0.06148038690872358,,,0.11692126107721336,-0.003114169353840578,0.1276865126496762,-0.007539009597485863
PON2,-0.029842989634804692,-0.0236898601245711,0.020001881652386592,0.0735371283029347,-0.01917976790797854,0.03030416537170775,-0.09910314339700448,0.10460950790375732,-0.016704742508022324,0.028851674345388833,-0.06507311437094473,-0.00202384735457339,0.04080920446032528
ICAM5,-0.009020169054855217,-0.02558409096284173,-0.0574858505555513,-0.03192529686294356,0.03770138765789991,-0.0646820373235722,,,,,0.05608089438567336,-0.004277438069574266,0.02330922444141405
HPX,-0.03949569194731719,0.03156680015375665,-0.00836078266042739,0.0739623908601398,-0.023806941154318792,-0.04803777619018999,-0.00027781534044709727,-0.018610236997627157,-0.005416870550673505,-0.0019277734137253574,-0.012696110413693154,0.046149098724228024,0.126346062377812
SFRP2,-0.032290860041885944,0.06416337417534386,,-0.013038935642920928,0.028043852640722018,-0.0009434215413997168,0.04612434799849483,,-0.03199620101381676,-0.07017278402420232,-0.020537777779014024,-0.0325565088213595,0.04843002186578211
CFC1,,,,,-0.025033317085392838,,,,,,,,-0.02198099786812417
CD70,,0.022936484881777967,,,-0.00966191600515448,,,-0.05462623602308357,,,0.003473263968510284,-0.03208368689780576,-0.013149903789358057
HP,0.002931543654507163,-0.060853445026908835,0.053312991273592736,-0.002873183895825579,0.005152202613014264,0.027821958730436185,0.05979313070970442,-0.09633479280027653,-0.04857564848958992,-0.011642906171034029,0.016332721374942932,-0.03145722882993435,0.06135940492971524
CXCL2,0.034427569181139504,0.04416531364603811,0.03813761036003032,0.010480840025701543,0.029853331963575643,0.00820957860074893,-0.07013713258903288,-0.04599552979473744,,0.03308794213106456,0.029888537687220978,0.13111094480890859,0.0959397629957581
NPPB,,0.011578358660779624,,,0.029479671100306526,,,,,,0.06179154927318719,0.05561627729399679,
CCK,0.005237737531592983,0.014558408840416029,-0.05079696881717934,-0.058648973999478986,0.01807645096416391,-0.09900841682342867,,,0.05992727541390278,0.01436698821304546,-0.05670934635465966,-0.027672943318845216,-0.09929320835755512
SEMA6A,0.028443267077311016,-0.006509851209935855,-0.025702932913514245,0.056324869461520065,0.024697857595906494,0.11015166174736532,-0.12313367792176684,-0.08002776756251002,0.058213484055939034,0.043814023734597606,0.018090323119553647,0.020084996092464086,0.0653948801077225
IRAK4,0.005883825987437236,0.011021745115845808,0.033859160644920096,0.04525834956285512,-0.02742758817434643,-0.03782593610117428,-0.06701791879993531,0.07553076008467159,0.13410994492998687,0.058906603584539856,0.027062459989413902,0.006975867611882517,0.09171063991650073
GSTP1,-0.030138501277228107,-0.00014282281364317144,0.08061957980505788,0.06318813491562329,0.013388729800651773,0.0239665459320344,0.03344194522371265,0.06887725930754364,-0.036783704745063366,0.06281682963852456,-0.009768809033725364,-0.0009536265159033766,0.12110117317780286
VCAM1,0.01050718336862096,0.05098885442053077,0.07681212845574904,0.07596036893767921,-0.0071744286900573976,0.08944990470831589,0.0005699570958215989,-0.049444317136764455,0.01087635379867017,0.05891317642216035,0.009436540882013495,-0.0022718210671976513,0.08620259256158173
NXPH3,-0.00042154436951849733,0.008678378434795733,0.0062376785254113455,0.037532411877942984,-0.004120248373499955,0.002771779518745612,-0.024764019874367403,0.04546224185703292,0.10237590968787884,0.04844144662900843,-0.06212126862254975,0.05997131861466933,0.009993338777548242
MTMR4,0.015977429730571497,0.009619878391137173,-0.007818423487170156,0.011904210824789114,0.0034028922230321212,-0.01324298900734926,-0.03194944044958284,-0.07418688497410218,0.01287011323120123,0.09114052059065493,-0.014603122294620493,0.02940438985479464,0.0358363315302485
LAMC2,0.08359425874486495,0.020120630853119645,,,0.03296508973898056,,,0.04521276395105743,,-0.0038158916269575138,-0.012420914611446841,0.034936431098501045,-0.039800324431436315
IL10,0.03427392448464715,0.0013525202841397654,0.017895404870666504,0.04889963127147731,0.021797676043837488,,0.023248754950783383,-0.05913111663294233,0.08216313124028,-0.032857648128717165,-0.03093061845991235,-0.061702669309705555,-0.044380851174797654
SEMA4D,0.02946351888230986,0.01591256699060875,0.01746796637990054,-0.01509877000485989,-0.015329316040529376,-0.0009997379539618113,0.08214764658332069,-0.02035142471419289,-0.09165247061462346,0.042446461985408065,-0.06582042495050555,-0.01823527019134794,0.0061750233057871915
TRH,0.1194210092333055,0.08940208560536493,-0.02588916559443763,-0.03384689594911617,-0.008657582313790994,,-0.04636618176581372,,,0.09905631143443794,0.01579862100778528,-0.02389290847004072,0.004044027942635493
SEMA6D,0.03318830578758738,-0.024517649420664644,-0.051841382111573006,-0.024105516791856053,-0.003102795394013746,0.0069858337227487926,-0.12219187485009718,0.1535536217964224,-0.01617050032254736,-0.011105567262815126,-0.033281705967670494,-0.03596865026707212,0.016104181083539185
CEL,,,-0.0434379103787187,,,,-0.04275296267754889,-0.014277093037234798,-0.041089296718166225,-0.043167010943563906,-0.005301740215322017,0.0020102638832552758,-0.01773227552405837
PDCD1LG2,0.026245893895652905,0.03487557085918563,-0.025025644689471792,-0.039132871182557205,-0.02381920676171399,-0.021976609488662785,0.16988864282424707,-0.05461806230458238,0.04564842824183285,-0.0032006391443894803,-0.02608169674131201,-0.07761998046723745,0.059218889754958544
SPINT1,-0.03426044531095679,-0.0046146402721064985,-0.05817176318450257,0.0029978027438971122,0.0218963725419229,0.019197613056086606,0.08488096027901669,0.0633562902557373,0.06060988758494546,0.027006134594657203,-0.05676010708325427,0.048746802211327746,0.04060162437213786
CTHRC1,0.03473831152921835,-0.030196985016366536,0.021391011558816782,0.00918778463801378,0.06921258679330128,0.012243458716812403,-0.12784375525550795,-0.06147893755719307,0.08488884895030376,0.0045598652280193315,-0.0022954937394937466,-0.0005285184464913125,0.01336098461893559
PODXL,0.09185968639943788,0.022751761579152246,0.013915746487645882,0.08231637962773063,1.1362716990119266e-05,0.014975621812041633,-0.19030420775683285,-0.0869140420730179,0.01098304863453015,-0.025827780212780108,-0.0668706231407222,-0.06599944504948589,0.01221411082403258
