,MGH258,UKF243,UKF248,UKF259,UKF269,UKF275,UKF313,ZH1007nec,ZH8811Abulk,ZH8811Bbulk,ZH881T1
HPX,-0.02098643635221289,0.02086444516669702,0.028971942712005348,0.03513508116258851,0.020096908582915837,0.028182907567904945,0.06689241488946215,0.06530329144608252,0.07778272438455355,0.11483105636118111,-0.0005790022709067569
SFRP2,,-0.03345234105386961,-0.03382001958934789,-0.01429664002166166,-0.016708526200305333,-0.02951495854033634,-0.014722226169468009,0.08986183382453627,0.02540990710791092,0.017948499255763382,-0.0536472368489498
CFC1,,,,,,-0.022710735715135388,,,,,
CD70,,,-0.015689275490737932,-0.030360498964952333,,-0.042363473869498035,0.0466418472850441,,0.00833738233154311,0.004519794301638726,-0.03742640181979577
HP,-0.023801911151188532,0.04473173936596808,-0.003718576178686041,-0.002242837777973401,-0.001637273039032295,0.04168893380624844,,0.06193246402063318,0.023440123039001667,0.002575409535020375,-0.035942704565184384
CXCL2,-0.05659980765223582,-0.03497521611707841,0.041051530595899444,-0.012972209101075126,0.05848945273710632,0.02262099658451916,0.09964586830734393,-0.0023432223759442625,-0.030493687556543074,0.0033985179940105403,-0.007436814282084129
NPPB,,,0.03184725506375208,-0.02857989026374789,,-0.019886443807996215,,,-0.020794647703984398,0.030655511476936317,-0.030799230832973895
CCK,0.04346295743203605,-0.04670768470807191,-0.0014831192487336656,0.018120646511692998,-0.055429016756060386,-0.0893491162441485,,,0.045864418483255946,0.08433937604469899,-0.026054828958256365
SEMA6A,-0.002053427270138177,-0.04909485903294679,0.01267711811906025,-0.03595991078654508,0.08740696234341494,0.01724607536462782,-0.021661689908132043,-0.10535538311381823,0.03146271150965391,-0.019647899816094487,0.03250461720440211
IRAK4,-0.022176151488479137,0.0473920950859361,0.05798040437439312,0.02001551023594692,0.06946137407007238,0.05353747536726283,-0.058184063007236025,-0.0926109915008262,-0.0481928756767862,0.07172853511266176,-0.0026460982142476846
GSTP1,-0.01102667413365574,-0.0773394434636426,-0.031994423083389,-0.015131560843644714,0.05379741278575436,0.005863762880065116,-0.027105460312981947,-0.008943771013905928,-0.018204412837169084,0.15683474320693117,0.048269755298236926
VCAM1,-0.05358093406037726,-0.01370582759147302,-0.03204691386890509,0.04583633692176208,0.12405509172565499,-0.00423252456735993,0.003791374454577046,0.011290967150357156,0.016448139810801322,0.01757316351069371,-0.04900761631521953
NXPH3,0.06468503845017341,-0.032060243149531084,-0.0004417098430898929,0.015640986076749935,0.024852385041953678,0.013690529474302153,-0.02814978330927119,0.06628979969977174,0.0924366000524828,0.053299281277683054,-0.06528313915372673
MTMR4,0.06709608805169194,-0.06972273395630646,-0.03928919770236397,0.006361030632447313,-0.014119452331615804,0.02211459652011777,-0.017139220658006906,0.10621808992186098,-0.0034410096970185306,0.010217167335790495,-0.023326921245272098
LAMC2,,-0.022923630051072535,0.026730344992522533,0.01593215244652972,,-0.02503481413936659,-0.0039453734899779925,,-0.0331619899687061,-0.03149420400157603,0.056343613592642755
IL10,0.0031405351375755498,-0.03636913846697038,-0.02671342277586172,-0.007975262108839412,0.027708322487806508,0.04636147220242328,0.007514008336320598,0.05619458293452835,-0.005996984275462104,-0.0007807667068656606,-0.04980974050537334
SEMA4D,0.027352388612935728,0.034274842741274486,-0.015189649930879165,-0.007958543509023022,-0.0467318025060289,-0.014543064678155445,0.06324337690342402,-0.019748811045677925,0.0758940637334845,0.08756155479257241,0.024178567893264686
TRH,0.08686276272452803,0.0650741234283871,-0.04181763391531785,-0.008242897806733486,-0.043372539235735336,0.05778087055799159,,-0.07189110365806134,0.0933503944601232,0.09937855942976122,-0.006264699336351832
SEMA6D,-0.005322565506789182,-0.006933453817718364,0.038033224705623564,0.013542025172769954,0.03376514707711476,-0.004502715135737304,-0.020101762538467825,-0.03455486343696695,0.03039800076760757,0.03655307260298711,0.019845782028385734
CEL,,,,,,,,-0.05589455593975757,0.032878240313298675,0.015403292137685827,0.035712956552640854
PDCD1LG2,0.020947381987212712,-0.043125818209069654,0.006061858390538683,0.0212488819015096,-0.00769453923342776,0.02759125768283012,-0.01863039713198898,0.02093399400009665,-0.029871885630782594,0.08442751856194627,0.025986574545618046
SPINT1,-0.012288306652632254,-0.019629020392557844,0.029695154186187595,0.04024402401330661,-0.043437760910774434,0.0166398622028139,0.0033532647553933654,0.08322200742417897,0.036124319270047084,-0.010909262452401732,-0.024769520664843576
CTHRC1,-0.05686965786457995,0.040791689066133015,-0.004639030773082927,0.042503883678612374,0.007055551885713865,0.08968060559668328,-0.009868586461998617,-0.07884063273171577,-0.006846782241106983,0.021143637641170436,0.044561161818871264
PODXL,0.08557983296300889,-0.011706664969258498,-0.012652786969608656,0.03652333229646603,0.08193490229851587,0.05290726652726543,0.04757094143991658,-0.10201549675272202,-0.001490390518811568,0.041882837717389904,0.03994924299558583
JAM3,-0.012089288190712078,0.014149657135718325,0.006747214062152885,0.028117851384262326,0.0428025513113169,0.039527523305428164,0.03448346122373349,0.012220803174061623,0.03328031502178487,0.0009733267014679548,-0.07504415625622819
TGFB2,0.0351597544748481,0.0007603456215199487,-0.02464478261586928,0.03296175298779374,0.08619675233587773,0.025543762169932073,-0.02312202525705937,-0.10139553614197495,0.060862666470696616,0.05339925996851828,0.030962103173363422
COL18A1,-7.134849798712376e-05,0.05293016499425981,-0.00910797790253388,0.009782534171348268,0.056778415988528855,0.04131860112439377,0.029069308529306667,-0.013449303737393052,-0.04373820110354983,-0.08969474946854084,0.008881570451873036
NODAL,0.056244500792839464,,0.0016788429182746473,0.05580642282081741,0.012197525100966338,,,-0.038603897384232956,-0.040323338742098015,-0.02962258100737394,-0.02287409416584619
INHBB,0.046343536370052736,0.10590991608667169,-0.023803611907400976,0.013958462884853265,0.07327690885241239,-0.009497529725433447,0.01838656481150605,0.09363992889120346,0.01529998147069971,0.0527233458215033,0.009557577419625879
LCN1,,,0.05291188333418689,,-0.018372171895037426,,,,-0.021727578719249605,-0.02797478099337272,
ARF4,0.059801607461840225,-0.0028707342741263507,0.0037985446240098044,-0.010806250472061607,-0.01847046885956429,0.034415353183332185,0.04384906881994828,-0.16994381048248464,0.010285330048234944,0.0788349852113187,-0.014333548263803892
CXCL14,0.02069385731043645,0.02986156708636105,0.011724279379702754,0.07030648218266858,0.023022376919489662,0.026579841283344514,-0.014204516193793277,-0.05673524774036696,-0.08221918082651664,-0.06727888984440937,0.026628653039056902
LIF,-0.024395519708483936,-0.017716405237800912,-0.005053192398983119,-0.0274404508302835,0.05246830543883807,0.06403497901813564,-0.03359263964737051,0.025608155007118213,-0.04415248317555794,-0.03933904996426346,-0.06187220219104435
IL17B,,-0.02739968050429524,,,-0.017306300891246938,,0.0127251303512554,0.005139686355341953,0.08834917599318687,-0.03578927789016357,0.11492319693473269
MMP1,,,0.0020581724814376662,,,,-0.053582751575856825,0.11451935839973627,0.010311420702254017,-0.009735104390463973,0.10747712564896848
