,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF334,ZH1007nec,ZH1019T1,ZH1019inf,ZH8812bulk,ZH916bulk
WNT5A,0.017028116497743353,0.05613195386170731,0.07504323762931853,0.07895351200154356,-0.03309316700361484,0.11312906222688845,-0.06351259679408285,0.025825056703153118,-0.0496772516974683,0.012557903437306062,0.054299022620988645,-0.0017512712987577807,0.0111792445316432,0.17521612643873824,-0.011468359972367243,0.08235175797149646
CXCL8,0.04515165739450481,-0.057635091193271086,-0.03261613953203152,0.02411448048195917,-0.05264171844536316,0.0700785531787429,-0.041952222645118116,-0.04419543407284602,-0.01259872204667653,0.020852387013149072,-0.015196972541736182,0.051780931335478536,0.006094425226932249,0.003575047253854769,0.008957450234085073,-0.01936365273224936
GRN,0.02757942223097831,0.035372570903277716,0.053551298566728786,-0.004148817491991608,-0.005308311006551299,0.05702372860798422,-0.05348835036879732,-0.06349639294171051,-0.008104842650560535,-0.05000587966743328,0.04709922153706035,-0.015612352472926899,-0.14878274712778508,0.008139693211501221,0.011294539072581003,-0.014223700588815604
MIA,-0.01954756674532918,-0.034744714102349125,0.009880920635507884,0.05030736035593593,-0.033725521129788334,0.029840341763413634,-0.03692215548739687,0.0747247446778063,0.057510539448900756,,-0.01231348028499336,-0.060933634923439936,0.06810633345868027,0.09936660085211994,-0.010226372373515548,-0.03531698653325326
COL4A4,0.04677505876064501,-0.020775675056500523,0.045093533128969195,0.022601679571853595,-0.07328465873580096,0.07236490007840396,-0.02184371093471584,-0.019699742113819037,-0.00415935614831041,,-0.024880516083044864,,-0.026384021071003592,-0.0239708161130448,0.09206781640598467,0.057112824420637774
TAC1,0.06709697642901025,-0.020697054125326145,0.07553528130043258,0.006490636514636774,0.10060323488531761,-0.006223685924663142,0.13416742767189574,0.046585529098330525,0.04041467161597959,0.04476416371027776,0.03134079716229256,,,,,0.04721711014807862
RARRES2,0.00472059386757102,0.029026417228243742,0.08225666134301225,0.00016118367902281074,-0.07590143852415773,0.13305079067963396,-0.05946648859205247,0.009880734438180848,0.017643064424373828,0.009252572336349405,0.020519997750880554,0.11898115472556073,0.05233378550745004,-0.0035928138652077247,-0.05921573544361793,0.0024387185425689215
FGF7,,0.02456667854455918,0.06009369906818646,0.015015266971179385,0.0662283074381447,-0.006050063203453924,-0.028107135199482738,2.278422200017982e-05,0.07384033395790257,0.07188537034532154,0.027805910566179027,-0.037419124830160154,0.01754005400801403,0.04542332333033097,-0.03058439689254012,-0.04232983292731793
HBEGF,0.014487877570862482,0.036097276707796645,-0.026356251107716954,-0.011269619035178114,-0.046182530870917095,0.06880257324369357,-0.011795177099584027,-0.02450249994740228,-0.03474357336059922,-0.0043509113403293305,0.01633237628069095,-0.0711775659016667,0.00807045664434747,0.08435651665143493,-0.05770069058678283,0.05686374743151362
CSF3,,,-0.03440507748793678,0.05471592491864879,-0.017486985334171163,,-0.023110225729702828,,,,,,,,,0.057856740831041024
PI3,0.00896183150239379,,-0.031850535034692026,0.00819742236316805,0.011961501133929074,,-0.02602241919360927,,,,,-0.05883754311410768,,,0.04260918978292026,-0.0040430341506168845
PCSK1N,0.027720755665782908,-0.03088436316090971,0.0007362086748166707,-0.05327221310979773,-0.020403463579107183,-0.015233908322486365,0.017707867378504882,-0.029021215253188647,0.05209493412901806,0.08438364849127299,0.025019662325552063,0.027913645172171465,0.09848343198145985,0.05987572996672505,0.0006082966188102649,0.01818261388125489
NTS,,,,,-0.0323098559452644,0.1080902926779302,-0.014483635933321885,0.025744215239986053,-0.015327237021450665,-0.022857192708053586,,,,,,
SFRP1,-0.02655483932632265,-0.020737240469401286,,0.023213916114232024,0.001415347176212092,0.06448590727484792,0.023055240867437033,-0.013858943021036756,0.04412560506485564,0.007399175667314931,0.003585795653763247,0.0460593686079865,-0.08243536339677837,0.037970976528777615,-0.0653348234410319,-0.0319057950826311
CXCL13,,0.05467718063219894,-0.024982157161077784,,0.060881842410083715,,,,,,,,,,,0.007385786245020304
MICA,-0.04484540459529533,0.0012434079398118117,0.016904230931766896,0.043617298429343934,0.02827726422843637,-0.013419717488729345,-0.07195508782446333,-0.0017672462349496904,-0.02780815336609065,0.07582675391885979,0.04109596196558622,0.054566715289691786,0.016704239631438477,0.0238683397463582,0.045435199981285666,0.03345323071632464
TG,0.005952962179166693,-0.0029248653616392945,,-0.035185044291533574,-0.028941633106206236,0.026476182883267474,-0.027891974830644935,-0.01900972848359042,-0.013347869039379548,,0.026009650918512452,-0.07865349069382697,0.1141852267006149,-0.05304800179728002,,0.0005583715670564062
ADA,-0.02327604328993814,-0.001976535857532744,0.024679186288963234,-0.004605645824736564,0.04898045643232283,0.06082170914042012,-0.038285555873304414,-0.024908742077195147,-0.00800632434307932,0.004397808310558238,0.02848038772975913,0.025919998777234454,-0.022231032829571208,0.023485319242227926,0.0009159846056648839,-0.010064435217096362
LAMC3,0.00275051120937154,-0.03356721269770738,0.033952862677793585,-0.002066783069819311,0.00401191890781709,0.07802316083100183,0.021301304634803456,-0.03239242564250869,0.002261938652215577,0.0032106513736943976,0.045164263703423975,0.006902897791292565,-0.11406733343000604,0.06146257421367284,-0.0139681046072266,0.0947952382477577
CCL7,-0.0197131523234385,,,0.02080406896391215,-0.024072451965444972,,,,,,,,,,,0.01744508283051808
NGF,0.04970680286489359,,,-0.03750980229541699,0.01665318633241116,0.05122301552715011,,,,0.08067459615514748,,,0.10791037340540209,-0.00317983773839069,,-0.0006783338356296844
TNFSF15,,,,-0.028327270945537598,0.0837610722110449,-0.013158721916139768,,,,,,,0.07023731060467557,-0.047634872601709566,,0.01287459843020026
HMGB1,-0.03883124776556563,0.07683422940471941,0.07649064300113695,-0.0025100450213331247,0.03530408473814632,0.07995091653972149,0.00126401045144472,0.04737406703456552,0.006081978469734988,0.0003786772067921295,0.0007965971325008072,-0.07844766705472594,-0.0022688394873918785,-0.04974850815221884,-0.0015341535000051485,-0.02218762890297389
ITGB3BP,0.024085583713298296,-0.025379972197720743,-0.007509567571255482,0.058580121730036946,-0.008173762633048604,0.11698510703013659,-0.06801397374944715,-0.005740479999795371,-0.015293494184222893,-0.040948949878779096,0.01228031504340257,-0.014236482458947904,0.008758762189610107,0.005293886642842668,-0.06530652859324414,0.00525906422742221
AANAT,-0.016260316926042847,,,0.042916349163972946,-0.016059734661891267,,-0.02084604901528489,-0.017095559918491918,0.022440649541818083,0.03071582489647916,0.00515585744482299,0.06391634682576339,,0.002802125235826021,-0.004209247180392896,0.0018380749342275476
RELN,0.038362794000176004,-0.07454107145568777,-0.038745374091907765,0.015300374538871488,0.0603855057932405,0.02299683144328667,0.029799836656850622,0.04114068252987924,0.025756485965685232,0.06999533247393815,-0.01321544393238108,,0.0718300382635521,,0.0361492236202605,0.0076791629220570685
IL15,0.07931147707956984,0.04707713183320635,,-0.0231180507833357,0.0033344515077554098,-0.03990434904955991,-0.03266224022801563,-0.04163203427337756,0.029554100159429126,-0.06406793382756198,-0.021740056827417954,0.022149529149257528,0.06304289978211454,0.05439969583743418,-0.030648815496900423,0.007259897974254647
UTS2,,,,,,,-0.06876370044815855,,,,,0.02119269369445286,,,,
BSG,-0.004863507092300819,-0.00018836936993326086,0.03332235784847511,0.015227939164322881,0.02063143705800761,0.08373514155082944,0.0418903696610143,-0.008385486325194,0.03419562247191547,0.001244244404472217,0.01542416934758352,0.10978380714444941,-0.037711104182986406,0.04132370546633461,0.0686139144819573,0.0646467292107553
ADAMTS3,-0.0044169550541051025,-0.019420446635988273,,-0.02951596847540854,-0.033367544901910975,0.050800532422188745,-0.020251787108823076,-0.010757623483026734,-0.003701619665783101,0.02434295742567507,0.02311297246008003,-0.014643345647406233,,0.05021695189568358,-0.03813347709924305,0.013593036485457385
CD34,-0.017126818942135687,0.0239364381012695,0.0676747108198943,0.03489917541268105,0.012232595126188009,0.06285133936784458,-0.011169749486064019,0.011908948152458425,0.0762692605524256,-0.002573419783782438,-0.020990871622962034,-0.028828831203073703,-0.06398538553023815,0.026433699325665586,-0.05256305698091178,0.06635810881317479
CCL23,,,,,,,0.0396534764250103,,,,,,,,,
PLAT,0.007278028682338816,0.04256521958441437,0.06728558577386114,0.027787395131852185,-0.01589436297549888,0.08431379851191097,-0.057097452254681776,-0.04513717100644889,-0.024188896575282687,-0.021564611596060854,0.019956871210910932,-0.09764702428050029,0.07037489544670783,-0.014901522648391207,-0.012964742590022766,0.049455890473055486
NTF3,,,,,,,,,-0.0012021291435923124,,,,,,,
LTA,,-0.010063800300259752,,-0.00570459251629675,,,,-0.01646480583748492,,,-0.021740059511020714,,,,,
CKLF,-0.03787278562332901,0.01648073091119353,0.009983194538736395,0.07035739094454699,-0.0732901964329554,0.11623116888800265,-0.0674734220335775,-0.022851357830568218,-0.025177852346329025,-0.026437305772412652,0.01158152379203635,-0.043014513750739135,0.018427479566599524,0.0819364883090776,0.018959254591310176,-0.04896752325377038
CD24,-0.004119571253775079,0.045259213196851944,-0.0054063276260613935,0.00987466870269323,0.05038510634253617,0.10921138504958966,0.0036809150307480928,0.051970249418070706,-0.036011638717639766,0.0690662780175043,0.032555106979558254,0.01626479668423019,-0.10737220468973813,0.09380047719928489,-0.025008732067171587,-0.025340203935994
HSP90AA1,-0.0028322991633678786,0.022372187341473636,-0.14672698871927448,-0.011819906518237083,0.10895547231616565,-0.10771097069008742,0.10716251747617889,-0.06562173789950657,0.021252594401238167,0.04482569697610377,0.009410906876680088,-0.03835267652071597,-0.06189701755667085,-0.0896958999107248,0.032718257133276564,0.04175894091551795
BMP4,0.002106015024784783,0.0469487111712108,0.03126564569374238,0.05817688987464356,-0.006670452272729769,0.07393741582759922,0.03372170607023332,-0.02858112891448849,0.0029891459632032055,0.0045092842438838095,0.0555754150962399,0.03606971888003716,0.021520405494323505,0.19305020727968297,-0.00608532566398771,-0.050749186810757886
SCGB3A1,-0.019713150352149607,,-0.036775625502801064,,-0.019125161414454483,0.0634049507651824,,,-0.012978496604140126,0.05346361890659593,-0.015169926026527258,-0.012138682130915584,-0.05210163986777618,,,0.0956364138023594
IGFBP4,0.001776439809864044,0.011798186108049618,0.03522070577040268,-0.07828192021713723,-0.02994041360878038,0.04250242754679173,-0.04778717190907935,-0.00029709182151541156,-0.013263900525361125,0.05216527701130745,0.014140379851946293,-0.06914745979889304,0.0903910039181393,0.02591206386128927,0.025864516758996207,0.08437209409502373
RSPO4,,0.08853207315743844,,0.0062216929691997465,-0.022073545166011118,,,0.038208433756674855,-0.012978494705741403,,0.01584077966920327,,0.09011184040747748,,,-0.007362473886092992
LEFTY2,0.03224880346812064,-0.017271761701461073,0.006914533391916209,0.053529371153716136,0.0140007843280982,0.1165016477438613,-0.059268095447511125,-0.04064675322045298,-0.014231078175323274,0.17274606112995788,0.02461128036195576,0.07593301953698929,,-0.00424284984692862,0.019012461753473167,-0.022835935248791555
PF4,0.11294616771563405,-0.019645797810893498,,-0.00905622645024361,,,,,,,,,,,,-0.021313760594729128
ANGPTL2,0.018297172296468687,-0.006739750791007367,0.0049813488994563,-0.005709434583266045,-0.08500885086961243,0.1367931097145873,-0.08549448581834512,-0.04981330115378679,-0.00847522946561406,0.01273689297333168,0.022745979246438255,0.05494684313902903,-0.03591990811495658,0.04317094855715302,-0.04713398480629838,0.0005671236617501047
LRIG2,-0.042922486274654885,0.012570926649554002,-0.024951279864736893,0.020341191290952545,-0.0015876487000276234,0.12455648105621091,-0.025103555005190906,0.008347220754427773,-0.02134233283803827,-0.04667092049360996,0.013952185335358172,0.11078688596029271,-0.04204945883489031,0.1577080642743169,-0.05433026593891788,-0.027436287296482696
ICOSLG,-0.019961531341986787,-0.00801130111379677,0.00507242915835376,-0.01771548959381178,-0.030326653756517247,0.1157392774427611,0.011033323696843905,0.004823087578559104,-0.024630759322710465,0.009754290302560961,0.03858996001871929,0.06820063721171443,-0.020782032867412124,-0.05938956285812732,-0.0820382927474898,-0.031271130919868585
WIF1,0.02367459551040177,,0.06673294693708588,,0.01080130570129887,-0.056661115579078665,0.11213489731717861,-0.014777270787409506,0.0800991769373152,0.0917581617166214,-0.013977267761254015,,,,,-0.03911029530844862
NPPC,-0.003147039779667844,,-0.03495332914209554,0.0076767051130647405,-0.0006477685700422627,0.019240672904583454,-0.04849226800453141,0.05117719425797156,0.0468340560028389,-0.00817521168833162,-0.015407826302540138,0.002717080538060471,-0.049303540875447915,-0.06073870510361298,-0.023348877179650986,-0.029433545155839846
LYZ,0.010266112259523346,-0.011766190852695613,0.04653876548049498,0.010914534530096559,-0.03850403300454139,0.020653373098725464,-0.05674911636627312,0.00254783587702954,-0.014690230102278386,-0.029407860947739936,0.049922330876356405,0.032218990427554106,0.03520350036301279,-0.013085302300115993,0.03905796863022647,-0.013572463454651454
EREG,,,0.023716788123953145,,-0.03106271542746116,,,,,0.0061647301019096615,,,,,,-0.024538452279299634
SPTAN1,-0.04085752662613541,-0.04022431383613126,0.009490863261578325,-0.02167808867018233,0.03812389808328054,0.016618841930277406,0.043885230142223945,-0.018368677322216868,-0.0038674284997713354,0.04454360621133485,0.021636863952149823,0.08318292554530116,0.011573278133634932,0.14575303099428744,-0.026905963824447716,0.03250952784358348
LIPC,-0.011625970233524938,0.005131646866554453,,0.01985571789712749,-0.004152560846477159,-0.04751162867951822,-0.01677975530550696,0.006562303584392455,,-0.052848228725352595,0.016764641456029763,0.11958848652879284,0.03190160439019588,0.048492182112009216,-0.011029009071677906,-0.03323753382781657
COL8A1,0.06262324051852583,0.0619669337586579,-0.030875858008367795,0.026530869655094002,-0.03742370036111282,0.01325023613200187,-0.012085762474072278,0.02731465740520034,0.044968545834867,-0.019015637291473774,0.03427365712511927,-0.006311549576152751,0.0035135512631925404,0.035143578159415545,0.041381656524703686,-0.02180142269934635
GSTM2,-0.017814240769195234,0.03757306222932066,-0.019192442630089027,-0.009990387402108116,0.02487078899185549,-0.03374450034620513,-0.002285096831838586,0.03296006762211022,-0.004296336794495269,-0.03405766746794396,-0.05479227896550676,-0.003214698515523213,-0.03383781907270219,0.15550353412812914,0.0095099613444177,0.05236512551918144
IL4,,,,,,,,,,,,-0.06296328969094375,,,,
SPX,-0.040490531424561334,-0.03726782967052842,,0.004819836234632999,0.10622728235767002,0.03950982113891039,0.03952215016586034,0.001258600248738309,-0.025245388422852115,0.09351047980432821,0.028679365976567613,,,0.015558096705521374,0.027013028521954637,0.01881731717551154
MFGE8,0.04274681412305953,0.008263893862533754,0.014628825379914697,0.005833418663561139,0.10565442672607425,0.03623988463882273,-0.012549245425134744,-0.06446296783206708,-0.02278275691592524,-0.009259834962498137,0.0034265927450530904,0.07956703037518961,0.030118375638231824,0.011434512573274755,0.002557743041599362,0.07400600008552322
TGFA,-0.036627358847139364,0.037780774707379436,0.03751102243472468,-0.010296688472155735,-0.060180243898878175,0.057754378942991756,-0.05060233846986169,-0.007462826736232797,-0.002916317075529405,0.009609445909325005,-0.011012292003505841,0.015582305538067083,-0.014160926154889245,0.042577206228227256,0.007566126382521175,0.10335689382374101
SLIT2,-0.03247600212375728,-0.06503123077807223,0.04795699657314764,-0.05874176191948858,0.029842334973262784,0.040702999166149015,0.01339518217812363,0.012856697463237036,0.0248884315769975,-0.03345023284543611,0.02756560958780674,0.08215139229774746,0.03237567353066682,-0.015367144727567979,-0.03471404687461611,-0.03566729125099366
PLTP,-0.01617358495587436,-0.010101083523764823,0.07435536744047173,0.04098213493503263,-0.068287592658386,-0.0034813363362328,-0.0873941147339232,-0.007869579093386987,-0.04973908187175543,-0.03316691877212214,-6.0879827550707e-05,0.024886954821381944,-0.024075538518670028,0.07858184326672482,0.01139593854977384,0.045945581944336074
APOD,-0.015601208209227418,0.00964993739365097,0.04300183544729215,0.01872486876819314,0.028334188350448535,0.01395020803678686,-0.0835256679580137,-0.02327020805358014,-0.010897049900064274,0.008244577587609967,0.05234927821654547,-0.01717794613991801,0.04824519874826706,-0.06595997224402503,-0.031334785077189974,0.017614361649117713
B2M,0.020873397584261787,0.013046667372929402,0.09810474001213691,0.08438360950727221,-0.05437983820777987,0.022126436473079783,-0.10832730880547685,0.003307655685091958,-0.059862843254414086,-0.03524903540612192,-0.00597781413455232,-0.009549820678940911,0.021683047944496842,-0.03217574372401087,-0.020498433468600693,-0.028403847695152782
OMG,-0.04734810037443047,-0.04125629527669659,0.07922266410060372,0.04649598137921341,0.03521975774868417,-0.020309716591399858,-0.03437577634829373,-0.011987486097173481,0.08450884747618079,0.015114929366354201,0.04154231717460101,0.09246065621084056,-0.041449923692350676,0.004476076959593926,-0.015070865397180229,0.020227501694260092
CXCL3,0.017878333974834414,-0.0034198040954815374,-0.03886893487381682,-0.004164611828997684,-0.013698772779479357,,0.02982340361217613,-0.030615748937201974,-0.013884245983918752,0.05450461681657921,-0.01565677967681383,0.016533272473235796,,,0.18985044789206512,0.02891313369698485
CXCL10,0.008811420924802615,-0.0069264063281576785,,0.023355836047155475,0.025784943083892817,0.06996492446688989,-0.05995641674690231,-0.0041576006468818025,-0.021091185861149612,-0.024841093092023054,0.056977392951398476,-0.04168590306545917,-0.02358971377243144,0.06785588280638688,0.06870773663527578,-0.027416497878047535
RSPO3,-0.026777809999442584,,0.010478309220259333,-0.02577492027731024,0.09982789619147371,-0.0068539590939403665,0.03600702997118903,0.0009999146176047035,0.0004231168425055862,0.11384077081860909,-0.01636103300740111,,,,,0.06779217786131408
CORT,0.02703873552209146,-0.010427716188534128,0.08258360360556051,0.048359119154656856,0.07739090880677209,0.059480504989907354,0.09602168657531647,-0.021461566131241068,-0.03239895149845719,0.07346787418331018,0.015223401261638653,,,,,
NCAN,-0.04015946081302257,0.031625733844452004,0.08728521688852914,-0.04417967671799598,0.11144508232767818,0.06973226831664778,-0.02313936034482504,-0.05961627643759172,0.014473689243810163,0.09053140789344914,0.034078515176246424,0.07068250475097454,0.05855930013599087,0.17747915931093844,0.02600502663495915,0.06658497111709394
PRG4,0.04222879957665194,,-0.02431031608358564,-0.025438734770850954,-0.015301424410679226,,-0.004365944804798078,-0.02447239222015091,,,0.016798658839587637,,,,,0.006023437828169118
ZG16B,-0.0007776911418127526,-0.03851348271731643,,-0.009852884680001691,,,-0.03201491438215485,-0.013082782887964165,,,,,,-0.0032241586811736036,,0.11886057481937547
TGM2,-0.044178445027021895,0.009569739681865573,-0.03222664480174139,-0.006147337286062095,-0.01482124270475719,0.008997331771488518,-0.00799834564860181,-0.025485931559394118,-0.027757442088232043,0.001382157716096501,0.08410870960696569,0.08591043224421378,-0.048932527079093624,0.06195642553648391,-0.03431780765325917,0.030678715745629682
VEGFC,-0.03764178286711482,0.011228983347002727,-0.05115743228964389,0.039667899047635354,-0.023553962569956965,0.008387235625947037,0.04294094225878398,-0.011015364720087538,-0.03508406886362494,0.047063046441355436,-0.01952165405298997,-0.07137329960165835,0.04101356295523239,-0.0614114683721812,0.04389659548614199,-0.017908634787713405
WNT6,0.12731745906416617,-0.043503142950323995,0.07370726271697862,-0.03518504575243528,0.013289932567629012,0.04150554139116921,-0.029159601850113445,0.022121648674691727,,,-0.01703751387392177,0.01734720068217551,,-0.06317391346560579,,-0.018788312146181898
NRG4,-0.018156505370079193,,0.13597751384135687,0.01811121576104788,-0.021794878066922617,0.0008769088259938081,-0.03693438768434892,0.018707375314977424,0.02016455298633987,0.07147023821994843,0.14421977068628408,,0.001957551920847056,,-0.01835640134740661,-0.02825473973666442
PMCH,-0.020926349548182704,,,-0.04289824024197099,,,,-0.019149570616687338,,,,,,,,0.13651844630225313
COL9A1,-0.041963353238539995,-0.03210389261659059,0.025869047067130738,0.04093025264829464,-0.0020947601692355004,0.12224256481894223,0.004720239761689522,0.032080241577283744,-0.006198810239905327,-0.00902807886548982,-1.660531349016782e-05,0.0767956981044783,-0.11795895257012413,0.08370343728425508,-0.03857961388904605,-0.0441870507612038
GDF11,0.05559240585286826,0.03992902507586398,0.037509050120955255,0.03916879127214951,0.03896442688583825,0.07644737239977098,-0.04285161547092456,0.04154814492538588,-0.00747288948509546,0.10184204878840654,0.046242439201877976,-0.022419024364075522,-0.023414761807021456,0.02691803846926665,0.0226194274869094,0.020170867622099735
IL24,,,,,,,,,,,,,,,,-0.015045419048684125
SORBS1,0.07013728434499604,0.014202985917614779,0.041363287539004284,0.020608623151701394,0.0260533958727074,0.004171866810120442,-0.012818352518696617,-0.02641682235573528,-0.0036009310924210954,-0.02284028847476927,0.05065323537171031,0.021254891392433608,0.06566311328561954,0.097784769167431,-0.022271001526641798,-0.021435192530188094
DLL1,-0.05643191738262914,0.055126646415256456,0.07336967729663453,0.029878491288771184,0.027175918365978716,0.15650068947607587,-0.005147062467088902,0.07574066137383743,-0.025264700612378514,0.017103664649746615,0.023359935161645917,0.03760019728721796,0.17568842039706753,0.03517469708396315,-0.11193828703795983,0.11105609877293174
TLN1,0.051476293089340555,-0.007507594550777785,0.027773279952000282,-0.01598699300707016,-0.02132888553554381,0.12181512205159281,-0.10265906305696383,-0.04119147202585457,0.004607760503472804,-0.06259424842046238,-0.01678828785624649,0.012610517041757228,-0.005375228757325757,0.05626676001057393,-0.005495751353393861,-0.03530259083210369
COL2A1,-0.031972972086711036,,,,0.0657787847646858,0.09301557832241972,-0.02736987517636025,,,,-0.0158948457560601,,,,,0.09352294093393036
SHH,,,,0.060485487714456006,0.008723232080959847,0.04030053386597894,-0.003185085825451814,-0.03433815409211124,-0.014901628717992952,,-0.015169924700581287,0.053167709731613944,,,0.04183688611939923,0.0205115851189318
PON2,-0.03757662475218747,-0.05753762979385337,0.08720923584833891,-0.024168406379726143,-0.040048021038729634,0.004535971591561355,-0.034663676221982354,-0.050232843744179856,-0.044129420290110626,-0.0676899087608216,0.00698551269590809,0.12329763000614581,-0.000991927675569984,0.06731070033485334,0.07456613221385548,0.01804727155984063
ICAM5,-0.03184259062985541,0.05455033957851678,-0.036775628105408305,-0.026662267479009866,0.057692582217670284,0.06967159208406767,0.0712940501537823,0.025689280126915324,-0.013208948135407914,0.06454743734871941,0.0632516919602769,,,,,0.10703680504842301
HPX,0.005614033175313384,,-0.03440508760604939,-0.045052744920117606,-0.020077474622873556,0.006299025974183298,-0.030219427444152677,-0.02567415057460954,0.030376365770128914,,0.016544910232141812,0.11017161383673744,0.030179956143917427,0.11756164348728175,-0.024611217279685002,0.048829300830514365
SFRP2,0.0007831830372116051,,,-0.01973194956625278,,-0.02938816534046568,-0.021843704502536615,-0.021397725601339648,-0.027387319168641858,-0.06267948898308358,-0.029759510073729973,0.04142412734162804,,0.0394774720520295,-0.017233987083641003,0.06739013029118754
CFC1,,,,,,0.025629691120270928,,0.050486171128822165,,-0.010270927984850993,,,,,,-0.025000998994643184
CD70,-0.03293106858279952,,,0.05200303432242068,,,,-0.03071262960238302,,,,,0.031970565517564775,,,-0.0024933180986828987
HP,-0.021584886369235314,,0.03164301938573228,-0.05187442385067187,-0.03517953726955431,,-0.018324905589118475,-0.04972460801131861,0.02921663263644746,-0.03196348668109284,-0.017686270516441484,0.0007630791976157343,-0.0007157483699308071,0.07352324102193578,0.06480875996020484,0.019050667023674493
CXCL2,-0.048251641899271544,-0.042075071731988795,0.03508773800979915,0.050372918838788715,-0.01850141057007836,0.026285746279206434,-0.027539029446176692,-0.012764513350212324,-0.01803693011605673,-0.02271368094770741,0.06044387223291063,-0.00567016060411238,0.062474579780601315,,-0.032720100377970456,0.03388152502712514
NPPB,-0.025431871883869552,,-0.00028333714309202644,-0.015653021318551626,,,,-0.014417254464661492,,,0.015521828253605702,,,,,
