,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH881inf,ZH916inf
SLIT2,0.011665637523365408,0.07508421186952041,0.08189879502262909,0.028164516615797858,0.03981329636428226
PLTP,-0.053358477694366184,-0.028252706519214767,-0.16592762697217536,0.07635639295044705,-0.006019923677598955
APOD,0.10868651057056795,0.2059821294074766,-0.15948955375380414,-0.004220941433371758,-0.0733469886841454
B2M,-0.07331239141167524,0.09961132324489291,-0.1973638648869372,0.12048390602027895,-0.13366194079828456
OMG,0.13699827446181628,0.18483691259598528,0.05888125796108545,0.07543954611679021,-0.01665731520132277
CXCL3,-0.10835828233982911,-0.11942629729011224,-0.01785159416349426,0.020352933279409208,
CXCL10,-0.019635719785006493,0.052937896457628135,0.031349460266117575,,
RSPO3,0.08683057274196992,0.05371109924695009,0.12359502469890292,0.13554021888628304,0.12068994190727658
CORT,0.018901240516435,0.04599155302811733,0.023356446096191037,-0.006137129995842381,-0.03474608499393425
NCAN,0.22458908721575727,0.12029450762727023,0.11916570245494734,0.028919612239252514,-0.0872936121483012
PRG4,0.07388739538700512,-0.03158708154318065,-0.05494227730242303,,
TGM2,-0.051408860207273054,-0.05234995405540453,-0.08302518381107912,-0.009307663715576434,-0.025925200410890158
VEGFC,-0.0025700780151253714,-0.007774738133424955,-0.027260068302857314,,
WNT6,0.07418445140713878,0.10978473712026497,0.03325049498116862,,
NRG4,,,-0.014056049620837724,,
PMCH,0.0677171266880677,0.09453766166628494,0.008785140608969693,,
COL9A1,0.11842078703738235,0.14144315058004409,-0.03512707721045637,,-0.052940464260926266
GDF11,0.015408471464334075,-0.009928460261087148,0.009930771267660727,0.10594308446697,0.08775845094430021
IL24,-0.05868688697450924,0.0544231879868361,,,
SORBS1,0.04753562477990424,0.05943752218001371,-0.03493592836943469,0.03810021388311888,0.03423471897171035
DLL1,0.14678069789964326,0.1329812871995092,0.09496351419621887,-0.01681217109473526,0.04032450792273122
TLN1,-0.13665296165570154,-0.09404182974651304,-0.09628370505043811,-0.00989896513218546,-0.018681185925008784
COL2A1,0.026984963006598472,-0.021907971141259225,0.04601741949202005,,
SHH,0.03426509156779494,0.05633542906398468,0.01029792840234531,,
PON2,0.06949972691838972,0.11014163407830735,-0.16120964463912127,0.0750937498352436,-0.003671899450138123
ICAM5,0.01618378567107304,0.031944636184184826,0.11112353338451297,-0.0035787183724104656,0.11251609954982587
HPX,0.09489369257772266,0.00044103729845954313,0.030233902463920426,,
SFRP2,0.033060815842653614,0.053405459886933064,-0.1172913057135985,0.05564733660655114,0.0012951127951853626
CD70,-0.0016719414384689572,-0.02937983427965894,-0.04647182399080795,,
HP,0.004229754696734477,0.005303799002481933,-0.03190765201015516,,
CXCL2,-0.08913005129318849,-0.07767009120716033,-0.07819595338230266,-0.02496369684561049,0.03512650915908942
NPPB,-0.04621181517147271,-0.05262915257894974,0.08353648420130072,,
CCK,0.2016077087040046,0.12097280977766546,0.14227840622754945,0.08094643053620308,0.06761426835255431
SEMA6A,0.09139512671134427,0.0782307571927393,0.03628706268359645,0.05993879044567066,-0.01612645922719726
IRAK4,0.01844641114962986,-0.01491443060569589,-0.06269642032969505,0.006450919783911752,0.01631388889216069
GSTP1,0.031604272672652686,0.11351790724339138,0.04327191846924151,0.045903005805381786,-0.05471124056490954
VCAM1,-0.02726020758856237,-0.021571968881621967,0.015442155705582971,-0.037571934527838864,0.028745472467516374
