,MGH258,UKF243,UKF251,UKF255,UKF259,UKF260,UKF266,UKF275,UKF296,UKF304,UKF313,UKF334,ZH1007inf,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916T1,ZH916bulk,ZH916inf
PDAP1,-0.06849672219183195,-0.04368774209499448,0.010531449063102915,0.03041552569352971,-0.011694043554648547,0.010379762447400895,0.03323519831106086,0.013720745971036813,-0.0007065374784317185,0.08507694913074862,0.0063112013422342685,-0.016092867677223826,-0.00242383939035519,-0.10151329923636251,0.011665682512623194,-0.08552901538109602,-0.04252504900597217,-0.07357180620853797,0.06525629884049995,-0.007575080427153722,0.03486375298082713,-0.026417771960781967,-0.08357347328155215,-0.14586354362314743
QDPR,0.05919981621719449,0.06248728805896751,0.059001527712982386,-0.025463737913429905,0.019975243189501522,0.03992470101368221,-0.01791290074187069,0.025885809346828145,0.029343744836907198,-0.07691522152102502,0.04245619378402471,-0.012034983020632339,-0.006521231597235612,-0.04949104349404896,-0.002712973941365713,-0.05164150880162096,0.09957420044483642,0.10201122002648959,-0.11406594674908986,0.022927278619657897,0.06180867756680033,0.08594345038226904,0.01891027883211676,0.06264168755382764
POMC,-0.00037118734866776587,-0.028527652332415564,0.03706586438551369,,0.026164826864793846,-0.019867168925219208,-0.005008902108333206,-0.028154580099237787,-0.004280405660464814,0.023470825867126767,-0.014470088254228483,0.00737309746600087,0.027445046189569902,0.09815042781713375,0.06571079154776223,0.026578185709650228,0.009463923782306755,0.06601266517625029,0.07233359758468044,0.026181845850447215,,0.10073162581449588,0.05052164037239121,0.10976984360972218
CCL18,,0.07342916055450045,,,,,,,,0.06742854483375939,0.02611720461374005,,,0.0161828514255672,,0.13562485992249332,-0.015165095231500643,-0.06289874303675495,,-0.10934993020293823,,,,
CCL17,,,,,-0.015745039104097455,,,-0.030262526729030095,0.04832219020988581,,,-0.002436443680682341,,,,,-0.04747248101760566,-0.025105119648059823,0.02435912416776911,,,0.060712776513349595,,
VEGFD,,-0.05142081483258351,-0.018474469293358844,,0.05847489419199746,-0.011566926418832108,,-0.032242162590054455,-0.02177767425150191,-0.030518992312221813,-0.019128436605514637,-0.005567134502575826,,0.02983999883859301,0.05768047674213207,,,-0.025864029092142065,-0.02416192138275489,,,,,
TNFSF13,,,,,0.07004439619722129,,0.030323128079005182,,,,,,,,,,0.0845866898345185,0.01158689799770512,0.10634769529121581,-0.011011724630526338,,0.10406276348555972,0.06452065480571653,
WNT5A,0.03571545649383252,0.039726555552950404,-0.009434405231192359,0.01689424397024861,0.06105208429597346,0.01008041483508596,0.011680143740275713,-0.005906678344507794,0.044237754494006395,0.0023561608550090457,-0.03239541680189251,0.042743025265806596,0.034246810289809464,0.05495421651153706,-0.013391979179664455,-0.027692028075227162,0.019322770066353703,0.05443085957717753,0.05442788273899731,0.0822907281577466,0.047343911817474695,0.14848892626745125,0.006543819298076489,0.07788248637254835
CXCL8,,-0.031532987799906584,-0.01729839802958413,-0.011010355272010969,0.06641742939679353,-0.030880422616687192,-0.023022390573912407,0.02558418231452064,-0.020280317187755807,0.10103287907106866,0.04358338953359399,-0.04129377366231569,,-0.08824365539777568,-0.05722745511690204,-0.10491208578840124,-0.16512223036417856,-0.17110343487507024,0.056222844323970754,-0.12175139934274226,-0.06285888122787177,-0.04977956086956534,0.0032531520175859904,-0.07871540023309312
GRN,-0.027646082683406098,0.06307549748391467,0.02637734671284076,-0.004175340858136363,-0.06877606282458051,0.023897448342804557,0.009004565655727156,0.01982913013532848,0.020332557740345862,0.025536473458090042,0.026592584023738937,0.0061113350271598385,0.06436989564140679,0.0710070873480451,-0.044107988629255405,0.18663625064094783,0.03470912484947924,0.05354874708351868,0.15298196338083525,0.073948612151396,0.1318671191857922,0.14149165476805584,0.08610552435105122,0.06705738705615968
MIA,0.0488644453974327,0.025023984340454598,-0.01642990101771342,-0.028766981963546066,-0.03062019446473609,-0.014279984772399976,0.009429688757501449,-0.005662401204337816,-0.024767518125590672,,0.033050750954862665,0.04162479804183379,0.04411602614118894,-0.05420602779144019,0.0295385397211428,0.1428229313126295,0.04679704149155833,0.07195190883321587,0.12249235383638059,-0.03852489274871512,,0.16268156467761102,0.07537703084651372,
COL4A4,0.07658408340480712,0.028209494474308705,-0.02763019992271347,0.04723212027020916,0.029029902475272016,0.02289263496769812,-0.015399498271172258,0.03552348311931239,-0.026547039785767505,,,-0.0035249243492443626,,,-0.058978519683001406,-0.015784456910855817,-0.030910867449529478,-0.023622602040237535,0.0005672198081226408,0.011090312180988651,,0.1308028269830822,0.10110030536121928,
