,UKF259,UKF269,ZH1007inf,ZH1019T1,ZH1019inf,ZH8812bulk,ZH916T1,ZH916bulk
PON2,0.031211987581033464,0.054612684162953444,0.003081165136543193,-0.060599381269723404,0.027802817246793787,0.06308174579854758,-0.05958029658287176,0.13638986703116465
ICAM5,-0.019066588627986103,-0.03192529686294356,,,,,0.07085565452463467,-0.021476688907625975
HPX,-0.02976547408331464,0.00885061959647811,-0.03386951144209972,-0.04300122456222035,-0.037326198890143415,-0.025871931770513147,0.024895316874951612,-0.03908928134375991
SFRP2,0.02732062028243558,-0.013038935642920928,0.042869543518408416,,-0.005704018093172392,-0.05104430656550727,0.007976357810459151,0.08333336486852613
CFC1,,,,,,,,-0.021673167189629583
CD70,-0.023681272813234528,,,-0.035874081041497294,,,0.037620809464781246,-0.04302869293199894
HP,-0.014742786674358943,0.1312162692151148,-0.044321652040347236,0.01795456237976611,-0.005553093560747581,0.09932120864614051,0.06465243021400963,-0.031549445063789594
CXCL2,-0.018492649615317464,0.056749465127238774,-0.060788696110820266,0.08736421275690617,,-0.03243866376337607,0.025813532170545005,-0.05232077433055508
NPPB,0.019706867608354214,,,,,,-0.021184700095340982,
CCK,-0.03631889488244092,-0.0376395797623617,-0.03484881407830229,,-0.028347385350607324,-0.029349941909484454,0.06591410463115377,0.014292081581271304
SEMA6A,0.05502743453236936,0.02836526004213599,-0.07106028377699485,0.019455710188464044,0.009279695514428995,-0.015457145729303994,-0.05777908878675666,0.0587887610184433
IRAK4,0.05692443778606366,0.03607227513683749,-0.05135912094351689,-0.02898244345976787,0.0027288614330227504,0.028188035847346436,0.04700839833161844,0.0009125461750602251
GSTP1,-0.00813735036495328,0.08665830915555345,0.058797157778096173,0.023933403883603144,-0.07813057243796201,-0.011012844679398498,-0.05687236868645996,0.09526020227904289
VCAM1,-0.004225087560527996,0.13052236835682812,0.06004656303051424,-0.06747348141137718,0.06943146026566396,0.009308013339111238,0.027971504889709727,-0.04922709584329787
NXPH3,-0.01985468015430956,0.035183760056859754,-0.02535865876999497,-0.053743407919643583,0.03752642275588442,-0.02095864845141461,-0.0005441732009802229,0.11473845134667501
MTMR4,0.030880567453276168,-0.03761034412204276,0.06264493681459894,0.05049682107332553,0.06171861578789527,0.04743873979642076,-0.011650441260055718,-0.020090859774302815
LAMC2,-0.006089089458137795,,,0.13881946250108346,,0.08867280814227375,0.013084003935930542,-0.02358662718708758
IL10,0.006469452014862453,0.06951524412368865,0.08501164813497258,-0.05756856910560357,-0.0391914258390815,0.038722989092292964,-0.017961124502039263,0.008355846661300063
SEMA4D,0.033367906677741185,-0.021173001730027233,-0.03190156152858321,0.006606513987626139,-0.088562781864893,-0.08254013325723145,0.031047816214670145,-0.0042734000261929715
TRH,-0.028999112191097548,0.029209214270929523,0.026660040315250044,,,0.05934423784787739,-0.0062976270569498755,0.04690183524017844
SEMA6D,0.0005693789093726659,0.014247833214027263,-0.005193595113991136,0.021391322942544658,0.05401059849618038,-0.009792312996604028,0.01409918735418284,0.0683372607081272
CEL,,,,-0.058507251095360084,-0.03148645787044913,0.04648897385518239,0.10204723856477088,-0.025199093238921243
PDCD1LG2,0.03558477242212567,-0.009607616172630978,-0.043738383818022794,0.03161294419335372,0.053028006759118514,0.08996379805515768,0.05983990872781599,0.05992187785452127
SPINT1,0.002932069742711728,0.010477726349563224,-0.0262842603897077,0.023634828228874822,-0.055419372609498946,0.03337072503114658,0.038778760413661774,-0.03568057085093482
CTHRC1,0.06829360003727196,0.03951345574364239,0.024281164785697504,0.12839680087393676,0.0025016673147833213,0.13328169868436324,0.13068599646239862,0.076816393445535
PODXL,0.007656581323565838,0.07463290482212262,0.04705029093310826,0.12699376493197007,0.056349138296964564,0.0719233849121055,0.05961506600046362,0.02639315604230524
JAM3,0.0400629367047382,0.04315303123072743,-0.007242529991354906,-0.061519048476151535,-0.02852640292047891,0.007394659660927226,0.005447645587019166,0.033128558766560144
TGFB2,0.00879404615758439,0.07055695415096017,-0.052929884658962596,-0.02046536709579669,0.06763390320216249,-0.026166392413372513,-0.09720070238278951,-0.016819872015837775
COL18A1,0.008599043551584043,0.09669580989220974,0.016684147711005064,0.09263026993249245,0.13474667490670744,0.09695849524603554,0.12101613698733134,0.04803449407801149
NODAL,-0.024092516079198413,0.16167955017502364,0.03093397283489056,0.00858847594609537,0.1466716575753511,-0.028066022637046384,0.13939230488407287,0.07906725430832072
INHBB,0.029291653460341793,0.05543763056372385,-0.015468887983796935,-0.054210013955408726,0.006017479495657246,-0.041824250522730574,-0.0488573083866115,0.036043940176260406
LCN1,,-0.014337205094468234,-0.026362842663114623,,,,0.010000001442782113,-0.016544006608816757
ARF4,-0.009163190735315616,0.030234351686774835,0.0028909787047887037,-0.0429218202169658,0.008758176056925027,0.05895585016661844,0.09789872926328193,-0.014349537879929219
CXCL14,-0.03526657829156393,0.04659020865976615,-0.003149502241679225,0.07803649952641377,-0.0347012720764297,0.04230453631825345,-0.0884040694642612,0.03762689461107057
LIF,0.008395066657465831,0.016623731163609223,-0.03980789450859347,-0.04655787736841959,0.037077942460225374,0.06983958468461722,0.0359347211801911,-0.0710761665905019
IL17B,,-0.02367810720796481,0.13808600715207056,-0.03156327611424242,,,0.13716821659694617,-0.01870527390854071
MMP1,,,0.19886394076880604,,,,0.1402460993157735,0.06063402369204725
MATN1,,-0.015031584826941969,,-0.034489449782498384,,-0.018872393701444792,-0.02885866473088697,-0.017046303942766804
ADAM28,0.010698758286566247,0.09449818134753406,-0.07365280277572184,0.013387907919032561,0.050218248228016876,-0.027572380504307475,0.06814003832115884,0.02227922994919902
TCN2,0.011977136523724471,0.05955550784888087,0.03561813033172973,0.11109714469494536,-0.016723813478166715,0.08375842859476618,0.09514929704995646,-0.0014370407508949845
THPO,-0.0020696002905583695,0.02209656460100165,,-0.03305486046812043,-0.023492817208456078,,-0.031240495997224643,-0.025545436315020455
CUBN,0.035445481090484614,0.05511185932019157,0.08658649187054303,0.03812464333122867,-0.016646046044618487,-0.021418875179284525,0.05937659449675001,0.009010172181221812
TIMP3,0.040764844199797354,0.008804796144198606,-0.012532491962678556,0.0028826754066316553,0.025431045670514744,0.07475808517000242,0.03240682148332457,-0.00762612282868003
PIGF,0.036463176755014454,0.04963718872337044,0.027237640266075624,0.02216466482298445,0.009934452374288886,0.031292674460436126,-0.017746788158703786,0.10340227342609906
CRH,-0.013798476661674157,-0.022046851269836125,,,,-0.014657753031167878,-0.01213691288615035,0.05556536613015431
BDNF,0.01590510545536027,-0.04924931883378565,0.017040506428208917,,,0.07557184608100179,-0.025620225289969715,-0.038155316486697205
CCL5,0.011074090049621723,0.05288130609943239,-0.011234422871725632,-0.042920599246521106,0.034103376528378505,-0.003502516951334406,0.09614111605248954,-0.041073626745012914
GAD1,-0.04390975023247526,-0.0619964931378946,0.003986454628049341,-0.0363255452649773,-0.08348864975238278,0.06428107132007002,0.035944684081673464,0.00010681327807101445
COL14A1,-0.041013776816005196,-0.02543337294336667,0.05697617709112454,-0.014561653054656294,0.06604212836074798,0.0036473999250948757,0.036964287027862856,-0.002836099233526964
HLA-A,-0.04964619559535429,0.10092141280051632,0.160584298619843,0.09973902736628744,0.1067686695071934,0.03888109519315048,0.13032543225236137,-0.0456254345144056
CD5L,,,,,-0.026816405253205902,,,
FGF18,-0.010962786519517924,,,,,,0.11693562323277837,-0.023401498112636254
ADM,0.019177422757856707,0.024777955111601167,-0.04486122693966544,-0.030195375323496504,0.03649780631090872,0.06636106082810996,0.036709351274355005,-0.03968756757070785
CCL15,,,-0.01192739661957472,,,,0.03963098311514656,
GNAI2,-0.04235413486927575,0.09293213709089561,0.0666147210000891,-0.045937965163376934,0.11414853947354163,-0.010513222117601848,0.047454632057862885,-0.01987128278092249
HDC,,0.024047330137892283,,-0.039361825892038106,,,-0.021822392243156342,-0.01704629622265708
COL11A1,0.015146074516216409,0.019344065590061774,-0.09371777847838546,,0.08379509088916852,0.03285356612569592,-0.03450721794329982,-0.0038463781174527694
NUCB2,-0.00024952869874252803,0.031262930283289914,-0.01393121933761082,0.0009663461544817185,-0.060142206793743644,-0.008717693271951288,0.007767763726607671,0.016277032279644964
FGF16,,,,,,,,-0.01679690892277012
CXCL1,-0.01890451429553945,-0.014208899736861331,0.006315917146285434,0.1535375841689641,,-0.010002249407631525,0.15485888237190307,-0.00031875753156187375
VCAN,-0.002574914034494399,0.03372372642560667,-0.01890790523327932,-0.03363862764268548,0.053539480959916695,-0.07167998957674297,-0.015866821596114435,0.008329779240902847
MMP7,0.005525101361264759,-0.010464977337858443,-0.017050833018655447,,,,0.06819833432685003,-0.03405310125894141
PTPN6,-0.007437304464233112,0.05336039707184707,0.10159813697803592,0.05460040034431533,0.07297807028624019,0.01043842470783368,0.0769906160901629,0.020248011704840432
PTGS2,-0.02799635008158034,-0.085966755527455,0.06928441416003868,-0.04055510800997103,-0.04143132436063884,-0.023331085186080153,0.06812344986059532,-0.068846634362658
XCL1,0.15915854560678813,,,,,,,-0.0303369728790006
CD58,0.00455595248006945,0.02179124113250166,0.042347399681094564,-0.007464174991455329,-0.021024680930424127,-0.0070057934036528175,0.0063206712435775105,0.04878079997563434
TNFSF14,0.019538327246431345,-0.021805318231027656,-0.043167894387430863,,-0.03202882993858711,-0.009135234111176517,0.021935338568790156,-0.0002135210184772938
CNTN4,0.004908845726162541,0.034028256475840866,0.033342930612688504,,-0.04165033610446086,-0.0022419801094557216,-0.03501736915111942,0.02407833859426165
NTF4,0.0234680956330512,,,,,,,
INSL3,-0.010962784369231334,,,,,,0.15069420511535306,
BTLA,0.015284307334881085,,,,0.018121414884524255,,0.06435320079535259,
MFNG,0.03138455591517112,0.03347186473042774,-0.03651377524902293,-0.004655501294177595,0.014689754016858214,-0.01887080148593178,0.027070208697885473,0.03391938826500674
ICAM1,-0.07250037804934967,0.05639953755990594,-0.029897052476860215,0.08734960975139942,0.04218291139945328,0.02725466222015454,-0.05523273537382981,-0.013172486119695516
PROS1,0.021662030418476263,0.05612593507561825,-0.04200593940549255,0.05110036527910126,0.01887860136068856,0.04506197287301985,-0.07534327843054947,0.020197619662015064
CLCF1,0.016407359704322253,-0.02298531669189581,-0.027637914149864388,0.07609083833856059,-0.056852853497986224,0.07885404361594846,0.010826425453100148,-0.06936335783628957
PSAP,-0.05400813157908065,0.0024303126136427772,0.008903172876875606,-0.04700864646967443,-0.00413553534021671,-0.03318941389725554,0.03227432763985274,-0.07961562528116548
EFEMP1,-0.01628263542879435,0.08649445576009622,0.016622664314078613,0.01465915236779186,-0.010390820956348605,0.01199979321752926,-0.032828219868430895,-0.08376687963940457
C1QTNF1,0.001266645072805321,0.02485945163233319,-0.02482901466096539,-0.06666557163614766,0.0021716970154379814,0.08165483457633015,-0.04593322584175793,-0.029137897038858444
ALB,-0.01946285851538409,-0.017553682829870673,0.022334975328159166,-0.04416011114351197,0.02337823894356434,0.0280188133722256,-0.018600692686953003,0.06305284513292465
EFNA3,0.02266084669656402,-0.03520191706047183,-0.055076824738695906,-0.05254088262005333,0.049833225276247936,-0.02811410501976824,0.029817752093571185,0.06765537454368095
DRAXIN,6.322620491234716e-05,0.03781421279059268,-0.022044057795834977,-0.107777303154074,0.10749577025381282,0.013081353467034965,0.13793790304666584,0.03819407793061645
NPTX2,0.01126364569156474,-0.05927179880284972,0.06318824149100899,,-0.033856502554610424,0.020140054331742572,0.09573593990148753,-0.023566001299845374
FGF11,0.020046874876047248,0.03400522022621195,-0.013038534620911618,-0.009528001347340723,0.08929433608900347,-0.03148540205676972,0.010152297180601844,0.033453056198823744
CD59,-0.056765676864617254,-0.06494294144863033,0.017836182203602037,0.03605613553890771,0.020447230029640075,0.03393310950449992,0.04655844424016252,-0.0023548594878950303
COL9A2,0.048512446659715935,0.011061368983651707,-0.04387076892538343,-0.08897449584210172,-0.01705883726661463,0.017585275122065504,0.05926819356788673,0.04534852213503574
DLL3,-0.00687202514163235,0.04495129757076627,0.029864151052409475,0.002139960606904944,0.04639834417834786,-0.01829412667108515,0.000775371180276581,0.020748444751303358
FGF5,,-0.013977898819777344,,,,,-0.007505272589841928,0.005985011954679154
LIN7C,-0.016332821669869407,0.02781641564763672,0.021985665875525046,-0.07954993543620431,0.01944006562716521,0.043084253180216796,0.0293619035647536,0.08232306650142045
GDF7,-0.019560807908198967,0.005466665868353628,,,-0.03412594179858751,-0.013322265245017534,0.07654654720046497,0.03223001095547201
PSPN,0.039155349599778295,0.005027872297784815,0.05949978381285263,0.030177965527166853,0.027342922678438214,0.006194810077171474,-0.03464267375684485,-0.009288725479368
ANGPT1,0.012439137361011567,0.02228404993505256,-0.023375684198086742,-0.057253466860895774,0.08660728014221819,0.02830800809951783,-0.012047462076268112,0.08995202281849118
PNOC,-0.04244124931880883,-0.08393639233491834,,,,,-0.013944451275714396,0.001235776386919431
L1CAM,0.03817851201817743,0.016590267318460406,0.08278830540934469,0.05704302452288891,-0.006501105915698422,-0.030127664453941102,-0.02322724410571849,0.000995708040296709
APOA1,-8.156064773776509e-05,0.05829996109384038,0.010111384098056604,0.07788509927856933,0.004940122500358974,0.11044918826911115,0.08065088789343562,-0.00030101306920424383
PSEN1,0.015812725782317835,0.004297453220108531,-0.019634008132522304,0.10607990195106065,-0.03333640650363151,0.013641120667784189,0.04471952184380015,-0.029942698684589084
CALM2,-0.00013407010696148537,-0.08140434184306866,-0.007018556473374729,-0.07911521569038996,-0.11171594998668828,-0.06399615389661498,-0.038885498763376686,0.07671337712375384
CLEC2B,0.01200431389244667,0.08133693849249413,0.06247923690999622,0.026102686680014996,-0.023737325022344994,0.07253367896437309,0.09468143704751136,-0.0038814927028412833
NTNG1,0.01775837583588032,-0.029318333893296446,-0.07059962456949496,0.06839230595443714,-0.02618203842615185,-0.000459107787165834,0.010879234854559069,-0.03081972589750626
LRIG1,-0.013449512539399857,0.010272530018951318,-0.003570084497537033,0.0009318096865456536,0.060930552794620126,0.04207557296990785,-0.054357589943069606,0.07515988431715437
CPAMD8,-0.01296701775402336,-0.012644890580286927,-0.036273303932434685,-0.03936178765012659,0.051534476325527157,0.00697722220164447,0.11238825475162585,-0.018476746154505716
GHRL,0.019426286458512368,-0.02689114318605896,-0.016373474602793533,0.09316021241222906,0.13577857334258486,0.0585204332108355,0.05599729115148262,-0.016287443986554264
NPY,0.03772475992686351,-0.09333275996892196,-0.04235936396423751,,0.04246635475978897,-0.04554411638868912,0.1302815176827463,0.05013755735862378
