,MGH258,UKF243,UKF248,UKF251,UKF255,UKF259,UKF260,UKF266,UKF269,UKF275,UKF313,UKF334,ZH1007inf,ZH1007nec,ZH1019T1,ZH8811Abulk,ZH8811Bbulk,ZH881T1,ZH916T1,ZH916bulk
ICOSLG,-0.010159768984118496,0.019433892087356425,0.01599750360590871,-0.04793926659870878,0.036097391403998806,0.04114270728883868,-0.01016346024968526,0.08388877605863948,0.0673488358430514,-0.015477506934361377,-0.023855151981715568,-0.011802565536091892,-0.009653842516949031,-0.061073148490047684,-0.0943216255328936,0.0732293904525758,0.02156924180518406,0.018393307763552608,0.058796605341056386,0.04839665291342919
WIF1,,-0.059424322325852805,0.0105523292714186,,0.004056761878783614,,0.013387880423767332,-0.12191606886208008,-0.1059659001092446,-0.01456070277527291,,-0.07217974703313994,,,,,,0.05401726212357525,,0.06101586238989382
NPPC,-0.03108922852538741,-0.006555284446924851,0.036416222669974116,,0.06419226349758132,-0.01890027231220009,-0.033898195889831284,-0.023698948857271897,-0.031566901855412534,-0.02840330464411804,,0.10406068087210932,-0.033712063969889086,0.013118435187584817,-0.04544267217373658,-0.05712975089320488,-0.013530006773615079,-0.02892213576259513,,-0.03199874202807763
LYZ,-0.05362156161983117,0.012559273580638656,0.03650398945036346,-0.02745261953799191,0.04268707494199173,0.0032483475378619607,0.00860947906227554,-0.0047298406703677595,0.07986956143121932,0.04533434018204877,0.03458523905000294,-0.009755941842669962,0.03212084310948176,0.00616281242352341,-0.10212195486850338,0.051156851099104714,0.009742055905459823,-0.0324409903570307,0.03576671228998873,0.07682951201601707
EREG,,,,,0.05850955122906128,,-0.0005135816705737679,,,,0.028802098595714223,,,,,-0.02382382508229546,-0.000844487637208562,0.028328978958343878,0.019152205638226692,0.05930104404938063
SPTAN1,-0.05086529308698122,-0.016223792392321128,0.060955046611892744,0.04545623645615515,-0.04438960906638982,-0.03126421012238817,-0.01449753180480911,0.002175794424215169,-0.017665939608945278,-0.06719985845965244,0.041595950638191465,0.020130870390023616,-0.01227567600768226,0.13702097308357641,0.03339265159710438,-0.06820706074949759,0.004404492302706438,-0.03415375453908215,0.024875390434232054,-0.05529736277381528
PTH2,,,,,,,,,,,,,,,,,,-0.02720790395781004,,
LIPC,-0.027632157858066685,0.03506374938870785,0.002666909813967573,0.03678482425684108,,0.0042875176424106605,-0.018813690196103728,-0.027275256916748227,0.05653545619650088,0.005804980254128465,0.0754521141980721,0.009522625825512528,-0.03574819293427605,0.02765733022826687,0.0292448438027432,,,,0.015976515325350608,0.013994732495945574
COL8A1,0.029813837780932995,0.064733220685642,0.02062792670803103,0.043501579232981,-0.0074942962059861215,0.03459321264407776,-0.005857260686142143,0.177461522673795,0.04472124093366602,-0.0023781324918710728,0.0257986726875521,0.0610204717403021,0.06824090846230657,-0.09461472029125706,-0.07512059985152615,0.03285400535991211,0.019673708396779944,0.05103114466279595,0.011834501777992792,0.008351734314974867
GSTM2,-0.026716709364220777,0.07402379126627931,0.0383378271058319,-0.011605626181394236,-0.04386256464870748,0.018988586156565342,0.021385861986005804,-0.014873446910667408,0.054674754647711606,-0.031171668953635195,0.030051952897125006,0.026214684672678977,-0.016294493514543203,-0.023302043416960565,-0.00197960419799152,-0.034028524595082585,0.039494326796735583,0.027555409171249687,-0.036971966629770245,0.05614366033832486
