,MGH258,UKF251,UKF259,UKF266,UKF269,UKF304,UKF334,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1
QDPR,0.08409088734733555,-0.000271999008683323,-0.016360544856294523,-0.008564937288904778,0.11370257160978145,0.03520446708294673,-0.032724099542262824,0.01690394287287066,0.03364637248069632,0.044896945794945624,-0.005457392457875283,0.028311206346282897
POMC,-0.033200860665732794,-0.024600679554835893,0.09933428967583291,0.00970317636777987,0.008723785147554263,-0.04763055251557817,-0.020006799930003226,-0.051297931441946665,0.07487923717368003,0.008140756712767502,0.009650459670735521,0.0380837340852367
CCL18,,,,,,0.027995921591338943,,0.03966301020653297,-0.015697240384647246,,-0.05170929548473632,
CCL17,,,-0.015228933061595151,,,,-0.016657371018203127,-0.017371469260326233,-0.028748617000890517,0.03416849844961645,,-0.011771508077818285
VEGFD,,0.013372443371954139,-0.0001865751930181947,,-0.02736987717006923,-0.023021396471853393,-0.017852220454570383,,0.00028047313358635237,-0.033656159038195244,,
TNFSF13,,,-0.01050457719230214,-0.017493258257270636,,,,0.1720992419193528,0.023635058832164716,0.09891894018979723,-0.017202268408906228,0.08977291658465274
WNT5A,-0.05894965440881062,0.05744251883366535,-0.03745759396480714,-0.008788477652586654,-0.07162930236313,0.012194781979089435,0.011137975264788023,0.0810492529911256,-0.047487872028228524,0.005532717124097219,0.03173390146606303,0.07436359548803782
CXCL8,,-0.01856805377338473,0.02798239239424635,-0.010369112089525588,-0.05442186318811893,-0.03776787903117195,-0.03928562347333841,-0.021265013131102326,-0.100945989859054,-0.04530653378206064,-0.07274797906306708,0.01024039796299812
GRN,0.01400598015098268,0.017501415334277095,-0.013352195695950234,0.03481754287743143,-0.04364769225405562,0.03649386858009235,-0.012695290028603513,0.013213645266555848,-0.0017908385410046084,-0.023152041624516933,0.002895355316524408,-0.022089008077100406
MIA,0.06396268985308073,0.0188571119337997,0.04279639807460254,-0.007679874327473309,-0.027966923540062583,,-0.024449434036242647,0.020332530000945467,0.08330386044463722,-0.0010802877058905004,-0.04291456229992445,-0.002009097009453674
COL4A4,-0.019670780304333193,-0.0296581820499738,0.03887710635326805,0.005368640948195552,-0.016099500792056333,,-0.023716858067114682,-0.0366517763273464,-0.018770890684504903,-0.038519243656415146,0.04884809180028157,-0.02241434569136235
TAC1,-0.016985060434957754,-0.032244942280703404,0.00627324023147105,-0.03620312244846487,-0.002752198600430636,-0.04820860200107412,-0.006234531552439399,,,,0.013996058438583594,-0.015474844345614363
RARRES2,-0.05447142554933051,-0.0207937135750289,-0.03227189126189428,-0.0780988893532399,-0.03439794139653437,0.05551094597968267,-0.019346833093097017,-0.029316115995814615,0.003262034393328198,0.005559183920952144,-0.06584053974612035,0.017070324968429428
FGF7,0.03640350305377132,0.03627893357927464,-0.026994696835559745,0.007150056028831307,-0.036733104867983445,0.07272107437848066,0.03919410615575989,-0.016471510746175536,-0.01303641763911885,-0.02320196164761685,0.03438686570781672,0.004203758999170626
EFNA2,,,,,,,,,-0.018927917027721772,,,
HBEGF,0.06179635269372963,-0.0313005605847587,0.0034823731241934845,0.025709809738191536,0.009518184603750002,0.061485549349862764,-0.03671897673544976,0.033171532610758454,0.014970219139451681,-0.019786681174486342,-0.05080765881091542,0.028943990797428393
CSF3,,,0.09593421051612433,,-0.017032961961085,,,-0.049362404868629584,-0.07080078953380317,,-0.03815424866171905,-0.012393582036484968
PI3,,,0.036663090787559985,,-0.01917933997894595,,,-0.029086383451365046,-0.09781730018863442,-0.027113521202202572,-0.05795714383322967,-0.026927136401292535
PCSK1N,-0.08139192316204188,0.02122597690911947,0.020309826400373026,-0.00420844719276299,-0.053324346925730216,-0.03536698514592924,-0.03265084984069945,0.08055523488067119,0.0017331799224045595,-0.04027658409131063,-0.020300052976757823,0.03453323383649217
NTS,,,,0.015246314420980534,0.016250766622682333,0.07611265372203434,,0.12154426120547088,-0.023060075071937865,,0.0030579376848465646,0.026047173969834577
SFRP1,-0.02471369197187137,-0.03459413382871027,-0.013287832749183917,0.013843730076819437,-0.005304471290439832,0.07765365745723053,-0.0013427921327484789,0.05920576205388169,-0.04005527255813005,-0.07169358520453045,-0.0027364405232681794,-0.017926723004860475
CXCL13,,-0.03347883794921655,,,,,,-0.03901988160892413,-0.04863121462651908,,-0.027782531013384165,
MICA,0.055593232613034886,-0.0420767911971661,0.017346463055536193,-0.04312693420655214,-0.040287171127320255,0.07797619095014267,0.025327901034294917,0.04626537148110981,0.008855361358602005,-0.001987666523716591,0.07323296173873589,0.005916552045949998
TG,-0.01967077587144711,-0.018826657961544375,-0.01433967678409954,-0.007244785791950898,-0.02055726118240838,,-0.025021721673344294,-0.023082339530746572,0.028557632444358876,,0.016633941821300333,0.010677633842165538
ADA,0.03465474574323212,0.01634689337129979,0.0026527817048948178,-0.0010921768585009251,-0.022479552797994184,-0.002376446549614193,-0.03314255142472778,-0.0343040081438816,0.0008897313477502402,-0.03544876404397273,0.041217359936487126,0.02350660407641763
LAMC3,-0.005995493360837421,-0.014387300194557405,-0.08023936785427772,0.1399518014501268,-0.06571410320530986,-0.0035582197875246593,-0.05069763148822511,0.056083300916499566,0.0335035678401233,0.04646905110248874,0.05254162754485109,0.015204831181587051
CCL7,,,-0.01036756340398213,,,,,0.05532446624442793,,,,-0.012987272606200202
NGF,,,-0.02375473575854388,-0.022380492567909152,,0.030490589957220073,,-0.015177677276861425,0.0037348378551032785,,-0.02254070463286842,-0.03888350275277967
TNFSF15,,,-0.011544788921364697,0.02856021791989311,,,,-0.00842760407852431,,,-0.007555557978428374,-0.034314622753055135
HMGB1,0.06319872942348372,0.01893539249957051,-0.04262842456387656,-0.0327518364869533,-0.04657323924429333,0.0683333007021636,0.04343234357962435,-0.05965658404641074,0.017827920027728896,-0.0008161131531336086,0.029667972348926815,-0.013814908078848522
ITGB3BP,0.04158845681757032,0.0014702688346398894,0.03439938418566748,0.031309372597278985,-0.006981130370205147,-0.009179698219578383,-0.02640591996478938,0.0027289312568291196,0.05218134064548023,-0.055043634728010715,-0.018542461198045673,0.07173736580318438
AANAT,,,-0.010504578313435669,,-0.015364192633562248,0.021143957172062706,-0.02234426992617204,-0.022840767805084157,-0.025471849775620878,0.013642370062537029,,-0.013741076014916318
RELN,-0.01630759471203579,0.04310977066953477,-0.0182335955038965,-0.01888595365612512,0.03753462270049305,0.04509997527943088,0.029961607065725687,,,-0.03865469421908129,-0.001772499917822581,
IL15,-0.04545316374813166,-0.023984874211931233,-0.03646107877651634,-0.019336503171525146,-0.040076075232411586,-0.0038270670316319184,0.04307492872645114,0.030556457657612748,0.009330250568044356,-0.02612582516967945,0.011386722682569881,-0.006161124856762096
UTS2,,,,,-0.041570198358449925,,,-0.01945058544673975,,,,
BSG,-0.026077494881747175,0.006873657201673548,-0.010845221895559455,0.012891251893695556,-0.05160490476087377,0.0362003030334814,-0.008592955111219288,0.01731386561092486,0.005980175895025467,-0.08813608010697556,-0.02647027645214289,-0.002877699499353439
ADAMTS3,0.024687023771211868,0.008197583808003076,-0.01091114133950214,-0.031145512802434973,-0.10272611239012674,-0.027866212943353983,0.006718417035979889,0.15177787403220203,0.05098800434667749,0.0008483850589685499,0.10696055602273989,0.01974335172147932
CD34,0.08422800900279893,-0.04716528854221644,-0.027421092751212923,0.03596215142845262,-0.0441688668092493,-0.06407361983097803,-0.011995019573835256,0.02279391057659614,0.01741294960298318,0.03206958174789136,-0.0029238983594554093,0.024909171788993247
CCL23,,,,,-0.01748201231193991,,,,,,,
PLAT,0.0024835687463694574,0.010445531282977098,-0.0014471515304676234,-0.054301465740987896,-0.02336313044780907,-0.0025279041165579145,0.04333083266307736,0.06373496901050929,0.05785942084993426,-0.09483767065065392,-0.0027068059786996015,-0.060852674697377616
NTF3,,,,,,,,0.10327638242612787,0.030422563397403145,,-0.040766637069405,
LTA,,-0.013845183441663723,-0.013287832127558213,,,,-0.020723280179259264,,,,,-0.018493417486221832
CKLF,0.01692429358966075,-0.01602964054810323,-0.06090877019197636,0.08478898340525702,-0.06103903964446546,-0.004187494608878932,0.05518428555755786,0.04698715022510652,0.13763155414462483,-0.007292473672059671,0.06439517869346242,0.023011162236296227
CD24,0.10471937143150074,-0.0298450568218524,0.008806887618540976,-0.010603444806557906,-0.048986874095517934,-0.01749455271025487,0.00900658207325589,0.057979993987503205,0.0456085784852807,-0.0723725041731232,0.03411796004515779,-0.03956296038319294
HSP90AA1,0.07122254448157975,-0.04472689845030639,-0.019368006192890787,-0.006014710418013656,0.06319601723268449,-0.022164238622641236,-0.05453938560317228,-0.03136598538903343,-0.09011942857264608,-0.0055617824838886405,-0.10461718148751088,-0.021509319086817004
BMP4,0.07602763453940048,-0.014676706052895722,0.0718016275711883,-0.030344788507644223,-0.02729191018852533,-0.008412876152081927,0.10023800801457575,-0.023798549789403312,0.056043381241170254,-0.008114361633824556,0.03767529653407631,-0.04560367462322372
SCGB3A1,,,,0.07890422376754339,,0.0034848488819767616,-0.014460430855168419,0.004258472547764212,-0.01380623185521946,,-0.02529256502785628,-0.01124115563623914
IGFBP4,0.01447010420211826,-0.010285233472620257,-0.022338527808035073,0.026910277509414635,-0.07643666919312711,0.04092636725399537,0.023530378493840723,0.056182589252444105,-0.04387529744837619,-0.02280574228632723,-0.005442586279931012,-0.007143754445451786
RSPO4,,0.007873090530739086,0.02343607994922678,,,,-0.003350149580798142,,,,0.05824846194741534,-0.024390881829978766
LEFTY2,0.07653269307544985,-0.014015223359405015,0.013478133467102311,-0.012228758224925968,-0.0700902074105248,-0.03356559847392904,0.0018869813654469605,0.03858073964047547,-0.021763703856885325,-0.053683488843121394,0.010268818956081054,-0.008346516775191357
PF4,,-0.01259407609743711,-0.009045494816796198,,,,,,-0.01734874639665034,,,-0.018493413206707852
ANGPTL2,0.0598519133066925,0.01724118286774193,0.0051274001577705335,0.03556273931766348,-0.05199666262799422,0.07664920455925377,0.08710489099032222,0.08051572427920188,0.04457192997011285,0.032727073089156886,0.05543634016858075,0.010099084272624128
LRIG2,-0.0763651412310704,0.0032075965812486547,0.001437315390410102,0.024957264439826342,-0.0628193646796272,-0.011191241669035047,-0.0031891285164008013,0.040622671650740315,0.04671494945445221,-0.034569390742914825,0.0346389087162243,0.03192479343506035
ICOSLG,0.017696767499857217,0.04817771052196479,0.024248084845233733,0.06008454569585084,-0.00605030842811315,0.03115402796425381,0.0089510419480807,0.03683769825858324,0.06893455423797495,-0.08378641189502477,0.029591823972635472,-0.040357834639399626
WIF1,,,,-0.049063110953846606,0.004924039816068828,-0.008266329547716677,-0.009221680520611142,,,,0.07096246176390542,
NPPC,0.0012273286322706676,,0.12744033113236597,-0.029733732117879264,0.030310834187701592,-0.022234718843472317,-0.06110800433541241,-0.027117321408324034,-0.03282499124251754,0.03516925028231193,-0.023504838238517234,
LYZ,0.03647306367490405,0.02236779218930712,0.055576163145050234,-0.007981819817092062,0.00979444390376165,0.051137302523742136,0.0005969115412914868,-0.004882860649884765,0.052272068515801726,-0.042770453485050326,0.023530476300736576,-0.008081183491138092
EREG,,,,,,0.03062776765182286,,-0.05284806292115352,0.028555436289447712,,-0.041271740018228836,-0.027929337690415036
SPTAN1,-0.0353110450935863,-0.02691744866664082,0.004200023790171471,-0.018817805472572377,-0.03759442345003017,-0.05272336818720635,0.008878578584723313,0.0673407132959625,0.03157695104595418,0.0057034525827045395,0.05319537286892442,0.03677385429442961
PTH2,,,,,,,,,,,0.17876419974027566,
LIPC,0.048324580863406845,-0.018954757611667608,-0.01625542787029061,0.04645990326580467,-0.040184830614200535,-0.034618871953152046,-0.0013679538770941429,,,-0.045965711201333345,,-0.023382674008070353
COL8A1,-0.03355589131001168,0.035344206442494384,0.0012140066432540632,-0.020961723720366657,-0.03630301578417532,-0.013772637351489836,0.021142737972846458,0.03782489467023427,0.02396885175677695,-0.09459792006105364,0.036843062428340366,-0.05406376364446418
GSTM2,-0.05624019349575887,-0.02759687353266165,0.08842136441502123,-0.016351617142170198,0.006269451721236665,0.030933883441277777,-0.0034099915571688703,0.019943833008586417,0.03537438700180422,0.06158768795379642,0.07459003587903494,-0.005249985288675829
SPX,0.04011309640091198,0.0005995830831962737,-0.015957430479976685,0.016813576998137927,-0.020098923091751673,0.0002604794433906645,-0.01647207602674215,0.007379094317010397,-0.021540686143693616,0.032769433424042746,-0.050070074804406964,0.03694949619685729
MFGE8,-0.047006193287114154,0.04619388022293387,0.04102798596097036,0.04165005226894854,-0.02343505315359715,-0.010115689785569088,-0.0010228564003915764,-0.03238533372171967,0.012525166893818164,0.015192482993888942,0.042505929537326494,0.010391838077677299
TGFA,-0.04529012072600847,0.028191030339242105,0.040867182101228944,0.04647481358349157,0.03751561424486418,0.04233399278219806,0.05340845418350263,0.015370601544109503,0.02468986364743235,-0.018764945570888883,0.03674157628585783,0.028851292021394012
SLIT2,0.0025765193802506463,-0.0022222134797406316,0.019733816165764074,-0.03230421401981187,0.05084680946110193,-0.034618286998597654,-0.015354071897061934,0.044907848484123374,0.013563782709283496,0.04248310758496452,0.05118655672681681,-0.0036553374722679013
PLTP,0.002555280899469838,0.016379249001051324,-0.05039197228688063,-0.015112554467568172,-0.06290854683711322,-0.0003360095711113964,0.001765599511495622,-0.009920338795377749,-0.008829446627347153,-0.03583408933755651,-0.004154549050053493,-0.03237397660038402
APOD,0.0035402691686575605,-0.02832281774943915,-0.03706107037974511,0.025668228411401272,0.07678942893129301,0.06895284252288218,-0.043870576914702815,0.024652729794722945,0.08420151194087588,0.06865981454250933,-0.022008632448643005,-0.034922315922546826
B2M,0.05052486511231688,0.059864513600113,-0.12046916126610767,0.03144183759473348,-0.04801166566934359,0.05196034056901476,0.013403186641899413,0.008434886547290943,0.09327205348582057,-0.07996502266331076,0.007675347901644373,-0.04408395586476015
OMG,0.0369240649087211,0.041778572165243985,0.00770299176974391,0.0283155843021537,0.09715795638320548,-0.013199178616328345,-0.01576813169594226,0.07227107925875838,0.08535963762538405,0.08994487017322791,0.026915281941471962,0.025365233497700857
CXCL3,-0.015840938197892136,0.0401839288896025,0.01732115001395418,,-0.020172450479781584,0.010617200756145598,-0.014924514433047733,-0.013385721295466314,-0.03224526957341294,-0.027796743552543007,-0.02044984074572262,0.05551589490708546
CXCL10,-0.08459845035872922,-0.006772910819791899,0.017129496163365267,0.08582926872993142,-0.08925404110003918,0.018110225808315488,0.03277229158671984,0.06910080683606006,0.06364881560987437,-0.03744814275339643,-0.010539300877751175,0.01950722831278311
RSPO3,,,-0.010504577537266264,0.007918434817802753,-0.009151600684322601,0.001555961406766654,-0.01559582994069565,0.10199527377848526,0.011908003798281688,,-0.03577595085323532,0.04979076886807942
CORT,-0.019670779987698374,-0.00817210828064109,0.05594014608058023,-0.04448740750133648,0.039319445740303,-0.058508968061283605,-0.02296626616308395,-0.02968773429704684,0.06947265951158153,,0.034373063277241586,
NCAN,-0.00017012284262446996,-0.03652695992510453,0.015310763206406805,0.06898181926419367,0.02537309252989265,0.022813177996837464,0.08714196978107974,0.047622373267229866,0.056644594250522665,-0.0990402083538762,0.03625265260511239,0.03567585716690058
PRG4,,,-0.010367565019612987,,-0.021855011576749267,,0.018528377275172588,-0.013062875547805495,-0.011836018168556053,,-0.057594398262576715,-0.029855214921370922
ZG16B,,-0.015154923685337433,-0.012032827155778336,,-0.023595997080970467,,,,,,,0.03432794681396664
TGM2,-0.08497404170104196,-0.012670142304556218,0.013497227035274714,0.011919102458404334,-0.0466097485406928,0.019939140155807215,-0.034148157289350826,0.008763747245247379,-0.012570521078923723,0.07930450953137505,-0.05112786983101472,0.001395683942000202
VEGFC,0.10070091039148672,-0.019459505620880755,-0.0031950245796504464,0.08424885862640423,-2.876807034407701e-05,0.015857662368444294,-0.018608629212703072,-0.033506615310666135,0.009759540055095208,-0.009822298231678404,-0.056554167099428114,0.012663236437583773
WNT6,,-0.01401522372722759,0.00608345291655745,-0.019833294254589864,-0.021491542095800755,,-0.016240671898267525,-0.02707170401890501,-0.009212643851950949,,-0.007263096707747248,-0.0198467933193133
NRG4,,,-0.012617800902182839,0.03640904787257061,0.00317824409046342,-0.03142411851462946,0.058918241645558374,,,0.02493985569806571,-0.04375725874534249,-0.013179543635163332
PMCH,,,-0.000740931450589204,,,,,-0.009952593682839503,0.088253316883237,,0.01896936021251679,0.048082780849815286
COL9A1,-0.031976407711245367,0.0053850422566309245,-0.013178372122963642,-0.012827331953508748,-0.03912001060414676,0.029799762152830152,0.06834766060511305,0.07477434396114269,0.046507155812890805,-0.01834456306677988,0.039345892932374976,-0.0075317088643658495
GDF11,-0.04626752943876772,-0.028367342888462165,-0.017778354159966456,-0.009428610017722714,-0.034817946825333033,0.0367333534193227,0.057991614898303206,0.04544776871476848,0.01369330031203101,0.021691880642778404,-0.027317238227720766,0.03219965582179736
RAET1E,,,,,,,,,,,,-0.014457865724590666
IL24,,,,,,,,-0.019730642796039005,-0.01707212945578273,,,
SORBS1,-0.015245183266100342,0.02293538577119224,0.015487183918541734,-0.004092151795105381,-0.002719529554878215,0.017951309705635528,0.014212805963811552,0.06367147236765429,0.048884664496963076,-0.05242155529380905,-0.04972732184740726,0.009647832468511188
DLL1,0.009875877734013537,-0.014048670980919636,-0.012310978324086128,0.024153537488364924,-0.054576926343401985,0.02778080798604424,-0.004443038486744413,0.10313056866041344,0.09571440301539091,0.01899384198677468,0.07827637979127178,0.04260570440230579
TLN1,-0.03553052681602331,-0.022904699205562234,0.012601538312934561,-0.007330326192138344,-0.008053773984867525,-0.00020379388731394705,0.05649822084908107,0.03267496518984844,-0.03838064318349497,0.03520214865394094,0.010478044871987488,-0.027651695648885685
COL2A1,-0.018475893032150806,,,-0.02148690601694463,-0.00098853111986989,,-0.0151514461973742,0.027537568508860775,0.02108727365503629,,-0.022996494736328053,0.02617446408203695
SHH,,,-0.010773602265091888,0.04252298807882191,-0.015858002554673234,,-0.014460429591236742,0.01905939048527532,0.0357383722755527,-0.03722901367567906,0.008508939628179446,0.053071359891645825
PON2,-0.018317146560371277,0.03197962227476629,-0.042317895248531495,0.001808623684793319,-0.02585343252984758,0.10901365218751027,0.027315652443648947,0.04590466953593621,0.05164705517152758,-0.029930891393776398,0.012628949262662172,0.026526110773982675
ICAM5,,-0.018040740528592968,-0.016791423799277706,0.0018445780127644671,-0.03941895296199366,-0.03430557078806766,-0.028240437883045522,0.024412105276120137,0.009127874313863497,,-0.025367736242319108,0.04637278089950857
HPX,-0.02098643635221289,,0.05533079950347536,-0.00099158918621477,-0.02937530059544723,,-0.03675552598463605,0.032803081349233106,0.048094593570194244,-0.03947275370660633,-0.0004054173094737313,-0.030414960217396397
SFRP2,,,-0.01226996544616715,-0.030431334527021067,-0.016099496051338293,0.05947331854563024,-0.028367662238585997,0.04652357791459672,0.010042452348479345,-0.027331214661269514,-0.009572480049551404,0.05165355283561985
CFC1,,,,0.04310227101152016,,0.05375936651990866,,,,,,
CD70,,,0.04922463297767382,,,,,0.022666287747183943,0.021481029459464722,,-0.016457468500228757,0.02207018694428534
HP,0.09367056674685824,,-0.04494098451672923,,-0.04065653644728555,-0.003386980902550825,0.02213645458224267,0.033391772316025574,-0.00587294058096067,-0.02330768109003017,-0.013776999432667355,-0.019715155775001394
CXCL2,0.05420657236427871,0.015153785981331172,0.06288733860738947,-0.03065321693339462,-0.0371676797146763,0.05342002203780856,-0.01630180318574144,0.015230176068858755,-0.05453702868481947,-0.005539775922341235,-0.06009796740656954,-0.0528422413299389
NPPB,,,0.034804942471149125,,,,0.01698672482255554,-0.03337664430041653,-0.007550682624291676,,-0.03765447337958448,-0.013369179209193621
CCK,0.007743685013043175,0.06838386262055132,0.06300408666234289,-0.0619158382670837,-0.02020149443829106,-0.056665624437007456,0.003728924783316607,0.07171562893918716,0.05572559690772446,-0.020210663506302767,0.03150067578307049,-0.017343434516541176
SEMA6A,0.0034694111504773198,0.03192900340600635,0.013872184638833824,0.02258781482269344,0.004691345803127325,0.07104778753623313,0.03891216949985379,0.07216431523485516,0.014595859469775575,-0.04347586393889754,0.023047930565070828,0.02831146371603514
IRAK4,-0.039221836585302344,0.02068904824252103,0.03294236571884343,-0.004496788997170503,-0.03191434310538206,-0.0184787418520151,0.01157529458537799,-0.062168702287471,0.03627256152260228,-0.017356704477677783,0.011250336808957656,0.005353545151342293
GSTP1,-0.04510427413999766,-0.001552902518153337,-0.0579233784663007,-0.03213971331825969,-0.015919426304849375,0.0554075143025734,0.07469767716351418,0.02419553084273288,0.0959199957283644,0.04710556350935769,0.06447881804796829,0.07089235275176992
VCAM1,-0.027436572379406932,-0.055888839975873475,0.03757791183191765,0.027338211683304674,-0.06444189199450494,0.10262920027379477,0.04859251556888982,0.044165035489301806,-0.05747670510674429,-0.005270314488652546,0.0736002014568129,0.013653588350172585
NXPH3,-0.030685201246843864,0.01121350475348775,0.03030072361145757,0.032853902163653116,-0.01486857185830685,0.05266531031031547,-0.039246510392401845,0.03481664865118956,0.03826067276733686,-0.07428292537357892,0.025118456910458373,-0.02879556825997638
MTMR4,-0.02598127616957708,-0.04757366564353258,-0.02181556047632721,0.04966678035523355,-0.010890504785592732,0.022055941267764216,-0.017136056566131673,0.021933384499718413,0.06417458453300524,-0.017789218004418978,0.008416817502779748,0.011147509011993535
LAMC2,,,0.04682643578490907,-0.013360292755098476,,,,-0.02425702543869628,0.05164696538712334,-0.028464851308515123,-0.02445434072088464,-0.02547238621697687
IL10,-0.020431952130344457,0.012548424043930416,-0.027054074998361627,,-0.026470768058058713,-0.007202719114771806,0.025271658511544868,-0.00904963154512011,0.06006768283341943,0.06317432492011686,-0.04183184761510804,-0.01791788487285268
SEMA4D,-0.06999750948608424,-0.0236368799769634,-0.04699089307322737,0.05033706508171081,0.10034542467890273,-0.0007388824191693743,-0.019139995331464363,0.07631776359801411,0.0352089056122567,0.004627673182755383,0.04339233118904726,0.03393972103588728
TRH,0.033146347466210875,,-0.025538725993636338,-0.016126611413053164,-0.04179159883948806,-0.016927046025712933,0.054561006310304985,0.05254306203304289,0.03604539754485349,-7.335352727634123e-05,0.0009888536716754128,-0.014974377271161752
SEMA6D,0.040017884975264185,0.000637139134529699,0.030726065794661195,0.0433300617103506,0.021391225961029985,0.016276236037992352,0.038339309809372696,-0.031121816026098252,0.052415861656315135,-0.02163020550059412,-0.002486805798166926,0.02134463175975312
CEL,,,,,,,,-0.01460351985457457,0.0025644543363654597,-0.044788001437739075,-0.012185792916578958,0.03147933080542607
PDCD1LG2,0.008348883040411018,0.044252871402658656,-0.04282877285294375,-0.019083536788173296,-0.048318323085148336,0.004075233928479047,-0.028494409869754427,0.030114223356481368,0.020116911586341477,-0.030802477011382515,0.08452040226623907,0.054841927268619646
SPINT1,0.010652386153851605,-0.01336015462571905,0.053365693496634024,-0.024683395831927538,-0.05030752578830865,-0.042630145856659515,0.030635814830379575,0.05138626906050542,0.0019013418222164752,0.004998581893731195,0.03181007396639757,0.08725135224320392
CTHRC1,-0.03772240795984314,-0.021024417172490397,0.006294207387609221,0.017631167444557744,-0.07578829708043001,0.013827774695686145,0.03958666400403873,0.04475410011237353,0.010745749507939845,-0.0141998131856582,-0.026942620459303367,0.0351186157649106
PODXL,0.04417433820844828,-0.025288234860266722,-0.06569119270050928,-0.033461118727505075,-0.08450296565646367,-0.05037163530032874,0.03091976998299822,0.002682067394251329,0.05098864097781319,-0.0765209459606082,0.00316648960712258,0.017341787095274272
JAM3,-0.029857507360522114,0.008892477542931586,-0.001288367124567764,0.007699022043747987,0.020258435650175086,0.004650801170399008,0.05307630238781439,0.052298075784210064,0.016687054471315937,-0.015188957428849952,-0.03194146428129066,-0.06144077945065436
TGFB2,0.06431753347420491,0.044555580321999584,-0.007103403871902704,-0.024695470957023905,-0.06489548722509438,0.030780588576442548,0.020985401673725562,0.08612371952409573,0.06405979169283076,-0.0440673909369027,0.03429243945235295,-0.05567089826325281
COL18A1,0.032775854036711106,-0.03953870970237961,-0.045036540774854306,0.01936313202002997,-0.012649480919626022,0.027051561726571454,-0.0693432430693575,0.04475547518486486,-0.03233098344733035,-0.037394361721855555,-0.017626001300095638,-0.001831669908221607
NODAL,0.022806032493769158,-0.013499010246678437,-0.021217620821951052,0.05029705473824855,-0.05316134608872601,,-0.02558265508957911,0.060589297513576085,-0.021088101433574914,0.05270767868461753,0.12160583824122298,0.16513770755260887
INHBB,-0.010674946584774596,-0.0345538463483268,0.0018705778092042006,0.010544703211904356,-0.046456478935153214,-0.01926556347255736,0.011764189014106871,0.03171279491611927,0.009766677110626709,-0.013494641821418366,-0.05055215192147385,-0.06179387110709787
LCN1,,,,,-0.01770250142548528,,,0.04973994169697963,-0.019915044506872485,,,-0.015142905335022553
ARF4,-0.04001406005301162,-0.02666456363992622,0.039804376367288244,0.013790299021053247,-0.029240424835156566,0.0237510093280529,-0.006075824162515349,-0.026708536602257252,0.05083998384953894,0.01114255623547839,0.005484591672111871,-0.02424049902760992
CXCL14,0.1031848473672219,0.004565325800409423,0.023653144792375274,-0.09768777633283413,-0.07679874762504624,0.014840059705275988,-0.02566239087478499,-0.0029303334672086978,-0.04606162100639185,-0.0645007001241886,-0.02288061751743054,-0.047545167719696795
LIF,-0.024395519708483936,-0.017082223096602386,0.062463594506174815,-0.024075417339174503,-0.04408709621034252,0.04428764384299088,0.013229246648557407,0.00906433962723275,-0.04495009271237394,-0.02005987628305068,0.016406733474055888,0.04027455238196985
