,UKF304,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH881inf,ZH916inf
GRN,0.08582586863657397,0.029743682050419926,-0.041426880111346834,-0.1512391615989846,-0.04925313260863581,0.01910458326281706,-0.034891986140869094
MIA,,-0.08396696491256617,0.1012842150257038,-0.08693904899131161,-0.001093895525080879,,
COL4A4,,-0.018946122662622026,0.008792952955334233,0.2052537161120843,-0.025729587916866248,,
TAC1,-0.0022018033296826557,,,,0.006647303915463582,0.054071715150754124,0.08042732006397775
RARRES2,-0.007652892218298714,-0.011842466034383308,0.023848444579895167,0.06873177417883278,-0.046786562240037084,0.0657137992995259,0.08769877274055396
FGF7,0.09203153904874516,-0.02981240865428491,0.05503643028822125,-0.001955961226673835,0.013937704221125285,0.008793809382196264,0.011250744889058696
EFNA2,,,-0.014422957112398821,,,,
HBEGF,-0.013186838992827025,-0.017388692734812153,-0.014701243050374622,0.014554911332471209,-0.008243578994851149,0.0158399554011733,0.015364689154672005
CSF3,,0.05245979498613415,-0.02614480128366248,,-0.025919778600212533,-0.014456638199829465,
PI3,,0.03905090379808203,-0.05560323020592887,-0.0363959821467835,0.007823800816727037,,
PCSK1N,-0.05275854548553188,0.0445246482229039,-0.024188402258745106,-0.08451672221991112,0.01971934121172265,0.07599670350287595,0.07523188446791793
NTS,-0.0175705516785129,0.033279323880858754,-0.017571636291734593,,-0.004870141482499478,,
SFRP1,0.02551385236970151,0.04473950610556555,0.04031146183827074,0.01591585318103104,0.009579332245068165,-0.04176346641756951,-0.022477780339219607
CXCL13,,0.08059370369790529,0.07559002365684274,,-0.03288629919575182,,
MICA,0.041374879748808685,0.02585058927732426,0.0465071145904376,-0.012885936299341089,0.017571306745548142,0.1960608577986838,-0.015452863305103199
TG,,-0.016902573430808466,-0.0028703985294685716,,-0.021332376086347582,,
ADA,-0.04951208092632703,0.012563045027641358,-0.0015329221530723165,-0.0326931508164194,-0.047290172212320986,-0.006513214835861983,0.1293841056504304
LAMC3,-0.011402274887466314,-0.018366591625712993,-0.008503992737630691,-0.061774068678724994,-0.02644683509221286,0.016884102085925758,-0.05949604659198939
CCL7,,-0.01906533342786675,,,,,
NGF,-0.01757056324755539,-0.02201893381384292,-0.014229088303834524,,-0.009918081625478314,,
TNFSF15,,-0.018586559239868617,,,0.030954229768344953,,
HMGB1,-0.050391782839763526,0.10866938213709902,-0.05314398240801107,0.061896941964971496,0.0458209100409304,-0.008058151884731931,-0.04859151878325809
ITGB3BP,0.062220866796388066,-0.00683254329890879,-0.03769082359207777,-0.06236631692243212,0.046420551790853366,-0.04108331921990041,0.020960649809346397
AANAT,-0.016518913488610048,-0.016725676984658495,0.06334118895112109,-0.0034755056031451717,,,
RELN,-0.03477746811760773,,,-0.0006308596334417663,0.017986839015776634,-0.07219931524852308,0.001003772787665365
IL15,-0.033850943497332545,0.013127235714103899,0.0652341070754119,-0.06598504932739782,0.0663157325026529,0.004635356124764476,
UTS2,,-0.014243138064397906,,,,,
BSG,-0.07965641515768344,-0.030494488902098948,0.036117518799604086,-0.12309865507892748,-0.0406785249944727,-0.10569150843282922,0.0845356207972241
ADAMTS3,-0.02652549354435537,0.021354493579859316,0.006613652275011981,-0.06075765415550028,0.03333112069798006,-0.02752470542078049,
CD34,0.005764406129546346,-0.04743818925405549,0.027615886607479732,-0.004974022542763725,-0.006628634432843869,-0.037557626543672,0.008975313206850022
PLAT,-0.022066000379458484,-0.023110165243366093,-0.003270328527974619,-0.1307792940621765,-0.04716609455066478,-0.09378897173383625,0.11536011517895861
NTF3,,-0.023792953875911366,0.053261218875723076,,0.05550274690327463,,
CKLF,0.024433961277123606,0.11005240504545517,0.07244829182544026,0.02317106614022303,0.0015445908783320568,0.1539078641884817,0.11953220249077769
CD24,-0.02244988747592839,0.03161782069619952,0.05785521462298886,-0.028114604906481423,0.04935400670271153,0.07595310851022931,0.0019066703265814174
HSP90AA1,-0.09156475339590942,0.003569553684610682,-0.08526260507877559,-0.05460495102959617,0.028068347968082365,-0.02112313583758138,-0.003376482412558084
BMP4,-0.026348025456180972,-0.0374342453202573,0.016883100966851607,-0.004747120277268015,0.047014494001313786,,
SCGB3A1,-0.009026588710503481,-0.02901824346198536,0.06376448131980783,,-0.00974902917128438,,
IGFBP4,0.05982412460635112,0.010208118570762903,-0.06587306997745425,-0.12820998336051362,0.028157852561795305,0.014828997715200947,0.014187387705669
RSPO4,,,,,0.04560639022352542,,
LEFTY2,-0.01757056324755539,-0.016184309101742324,0.03161130443886295,-0.10414935646534992,0.03163739720299795,0.051624020205637396,
PF4,,,-0.013219638741352239,,,,
ANGPTL2,-0.0035785545698079364,0.009420405178068789,0.016026757575406794,-0.005822270373019565,-0.06216594832225121,0.10838726578589915,0.0875478329069818
LRIG2,-0.06825245752315875,-0.03530789328690077,0.04349916797260568,-0.012334965940484144,-0.0243852960221707,0.11381229063863006,0.028123789463032012
ICOSLG,-0.028193841256184116,0.01913007930451934,0.04268051169517271,0.010534011619147708,-0.06503631742237696,0.09593552430404217,0.10549787190553703
WIF1,-0.040249176694544336,,,,0.06750386679141494,0.05492116140446704,0.01733326820667896
NPPC,0.04415252849787973,0.06830142155739136,0.08776708846157227,0.04641523211387759,-0.006072356747753131,0.004150197007497639,0.10444799539974972
LYZ,-0.03587503340334374,0.07058898186541525,0.06033289011529011,-0.02409561603608531,0.0666607166939945,0.14966748778066152,-0.06270983943409476
EREG,-0.01807497478910033,-0.0022338068903520946,-0.0031518543875434044,,-0.028037621005267747,,
SPTAN1,0.007337729153700407,-0.00635054525950828,0.022723744242429848,0.0001542953652584005,-0.0035850553568835646,-0.04142393726517051,0.04428156025695452
PTH2,,,,,0.04129175346913293,,
LIPC,-0.01563273991017535,,,0.027578354487125395,,,
COL8A1,0.0012403407355524323,-0.03731977869074771,0.038685076089439316,-0.07187559169923467,0.025837134599251983,0.164824381195724,
GSTM2,-0.028748470087332067,-0.02177313012665427,-0.019042372997471628,0.051568539494427204,-0.006605564194694356,0.05150679102286102,
SPX,0.0377959011351035,-0.01922254739520308,-0.016413871212934576,0.01616927040521457,-0.012631657131768767,0.0034378691109227567,0.02918841303107427
MFGE8,-0.003179482313935457,-0.06852319793491553,0.005863655019766951,-0.10657359394896673,0.011971344416007132,-0.11183992423787076,0.019964544164711575
TGFA,0.016541877172577164,0.012646475800319149,0.05053910496841866,0.028129667463957675,0.006816398171200773,-0.0807144018505227,0.09295006694337976
SLIT2,-0.07682217492611285,-0.0082636482214144,0.010146048337040147,-0.020413631511191764,0.005388987150491983,0.08182501535998392,0.036000910610577516
PLTP,0.025772438254851662,0.11607138101893481,-0.044752394513526673,-0.1461868648276232,0.012011521320016504,-0.006876297721476733,-0.020845736315286353
APOD,0.04145821217338879,-0.036295579171467515,0.0503664631230688,0.1074005365565902,-0.028854707289574615,0.020989283886508163,0.06715931345908575
B2M,0.03784047237196159,0.0653793714857077,-0.016825236677024333,-0.10972038045340125,0.008815960881849596,0.11641087748271868,-0.0509909124315081
OMG,0.04164902350233519,-0.018811695805143493,0.07569297102020135,0.1706103007677394,0.0087295975099278,-0.052890003797506246,0.06783860116555866
CXCL3,0.05858376182168178,0.0062177610015950345,-0.0008725757595532347,-0.03731310937197231,-0.014702240509187565,-0.0587410310319391,
CXCL10,0.02919567095972017,-0.01968740261000717,-0.01773136787900414,0.024880894006294046,-0.0307589806591516,,
RSPO3,-0.038819648063292654,-0.030831423048517513,0.041846488444351786,,-0.0012061432537577262,0.011258408980364733,-0.022056302265217723
CORT,-0.04422905865942579,-0.021739525505278582,0.015962396232784382,,0.06885408692862724,-0.0676554461765942,-0.005391532082374327
NCAN,0.01340711444950668,-0.007075616565450474,0.0210516227814951,-0.17271515986501185,-0.05193377412710286,0.03548801820464277,0.016499952050019365
PRG4,,-0.020881816017554327,0.08086353970968797,,-0.023540065104573328,,
TGM2,0.04504158867978828,0.00691852046483844,-0.03422664699789737,-0.11592905442242502,0.011032834851901135,0.04740708703224952,0.03190817301740797
VEGFC,-0.020424642810873996,0.04628655891055928,-0.027717653000732607,-0.014856173738243638,-0.0287415057359388,,
WNT6,,0.03488999700747095,0.10181004923839163,,-0.029875548038715668,,
NRG4,-0.02275426066542031,,,-0.03952022382413547,-0.029726137943044743,,
PMCH,,-0.01937859905767416,-0.019409393190025555,,-0.017115082905584587,,
COL9A1,0.011910872282327203,0.023782732029049514,0.04685637086933453,-0.024400181435197146,-0.02685267825810464,,0.08790306200136777
GDF11,0.08378179984076735,0.0036872215009554326,-0.040269671387085315,-0.03909076053900836,-0.0036545131196709505,0.04218834183449653,0.00012549164600240856
IL24,,0.10271722071774819,-0.013008858322732839,,,,
SORBS1,0.045781969935920035,-0.03045363419456048,0.033027283608720315,0.04670462710990898,-0.02310325589770945,-0.04065645105657994,-0.022846384033363653
DLL1,-0.015753317811947134,-0.07771137470448425,0.09727867964526334,-0.009657499212639904,0.011526440671556755,0.02292571979396799,0.09653776257721919
TLN1,0.04856953932299673,-0.05021394148941607,-0.06436803886137941,-0.010008335446069582,-0.031604329447315206,0.0979379632787659,0.11288828145968728
COL2A1,,0.06871458036046206,-0.0339050642962521,,0.0075054032648086445,,
SHH,,-0.0018112535651103006,0.051842838682536,-0.07505413951738397,0.013888845162216678,,
PON2,-0.025377473609591854,0.1001273622164336,0.05986524418380852,-0.009967671778502014,-0.016260947655451403,0.07132717179009,0.04014754031984928
ICAM5,0.006797421344103756,0.0032838124831848178,0.03860605179775816,,0.04861981188211671,-0.005998032110118067,0.03963756436806015
HPX,,0.013405253042042915,0.020729241772488007,-0.05298646488871832,0.02692304950450039,,
SFRP2,-0.02874269854287115,0.036913629973624025,0.04171680213831482,-0.020137190897253347,-0.046629365251642275,0.018573593655176746,0.036665781616987095
CFC1,-0.018566691833704692,,,,,,
CD70,,0.009394901948486361,0.00811377182019485,,-0.0034869679469630072,,
HP,-0.041895648670569434,0.01953752005776087,0.0047852915523276356,-0.050615231275377995,-0.0007178992148485133,,
CXCL2,0.012377097698380442,-0.001979328122868169,-0.023261291352203634,0.009599959973829765,0.05560512260591585,-4.733233936717572e-05,-0.031884130233965725
NPPB,,0.05909275011016573,0.005505379306232382,,-0.02558026032591392,,
CCK,-0.044124590598830706,-0.002523485494280002,0.0355781974234349,-0.026499694330414773,-0.03012458281794449,0.012405602343545657,-0.05343119813515187
SEMA6A,0.009182712021320422,-0.010198593085336109,0.010064864204780068,0.035893805841401526,-0.004403031829770539,0.06858468478774093,-0.003302330117017558
IRAK4,-0.013620775748603297,0.004153020134016828,0.009000944972056555,0.004439801003159961,-0.026265305642403643,0.10598840233216356,0.07874353405497712
GSTP1,0.030902251971843802,-0.0446463742107538,0.09256216875556063,0.09022797784107643,-0.03494217984174786,0.04554701750912844,0.0878936927574342
VCAM1,-0.033884801367497996,-0.013034008408871811,0.03742859860809678,-0.02646251924760321,0.041451627142537854,0.050684831812831836,-0.03235906562695577
NXPH3,-0.05720471491742793,0.0033138994919969895,0.06829299055662068,-0.03532684316697823,-0.01894818219143222,-0.07173449579341086,0.022916697321657596
MTMR4,-0.04229208695260818,0.031143852194226832,0.05081932033645754,-0.07455708788320135,0.017064729706978497,0.008419087155602842,0.029643643450520996
LAMC2,,-0.017762764174940267,0.030598451296239424,-0.024875618889338688,-0.0166128575330969,,
IL10,-0.029435846402986018,-0.005023778942717832,0.015603026913826513,-0.0368571637885204,-0.03220676163046875,,
SEMA4D,0.05321746759195308,-0.01607425120628063,0.055166533975129065,0.05689936032713566,0.009954298833160647,-0.030286325719331094,0.13382438578732195
TRH,-0.02891356679572189,0.08147269226978811,0.014675736995145286,-0.08445529498630182,0.09813410433755725,-0.02208677320140823,
SEMA6D,-0.0031415850669843106,0.015895000004285644,0.044586727675586996,-0.001988106288711972,0.02103771087470878,0.09467221542848271,-0.04337973267343142
CEL,,-0.021879615404852035,-0.021238686228835166,-0.027598559941618726,-0.04205413254570637,,
PDCD1LG2,-0.041393708935578546,0.008388332215595536,-0.011062893657811127,4.740082453983286e-05,0.026657856119995715,,
SPINT1,-0.028080088476194438,0.01073810005498473,0.05709160894529355,0.006332322744669362,0.009502983284396117,,
CTHRC1,-0.0556164543488776,-0.003446504789807267,0.01215943264050859,-0.09715023656235368,0.027231620368365184,,0.01195538315015519
PODXL,0.016176651716515823,0.12420098035559014,-0.02128247194073699,-0.03386090453653808,0.054913433740667386,0.017586714878130995,-0.04682002489935675
JAM3,0.03433577715487212,0.10125319723298841,-0.03955426778656838,0.004055159570359118,-0.03161435900828163,0.06830764169107864,0.10811021349447474
TGFB2,-0.007119630320216817,0.0788342667512109,0.026784194880071915,-0.06552504445450018,0.01666046832509684,0.12183684242053403,0.04429596256355469
COL18A1,-0.011466704926814014,-0.04788870173072582,-0.03286393882931954,-0.13014532994491093,0.011385896895532405,0.09720019191680958,-0.049502671458242206
NODAL,,-0.021598642225572874,0.009725195892999522,-0.018104543250264508,-0.018998048576439604,,
INHBB,-0.051492354287904,0.03267133031908144,-0.010114088701644722,0.025344774819942323,0.036429678594999966,0.02098669958157963,0.0028822807337464877
LCN1,,-0.022973647156503216,-0.015175142219476858,,,,
ARF4,0.06154088831387994,-0.10746306975797992,0.0673798938061524,-0.015428683923647922,-0.08413570174260963,0.046866726017847096,-0.02341255854315255
CXCL14,-0.005842119800698755,0.12604972213446508,-0.056693925953710075,-0.14739952326774935,0.07281655570203177,-0.046546137009793896,0.005826706645326595
LIF,-0.02526102760687489,-0.022020809360594033,-0.08323049728834112,-0.044810917431756844,-0.0534981599064518,0.026242373969199897,
IL17B,,-0.01999193336519211,0.07577192328909248,,-0.02363533776621698,,
MMP1,,0.012408719465564738,-0.02501244112170333,,-0.017115081550174743,,
MATN1,,0.0009091000907228795,0.06286519302471837,0.016278469340679596,-0.024358752941029627,,
ADAM28,0.021654524090080386,0.026588736352440894,0.018856411849039443,0.03710073701837506,-0.07051908755605543,-0.024983715306168743,-0.07437860412168845
TCN2,0.020020522403458505,-0.038397448064050925,0.05976018334527193,-0.08590589810512612,0.02520959480332386,0.11809861288508663,-0.02175926062259147
THPO,0.0617250379100706,,,,-0.021130089931949647,,
CUBN,-0.019282598808798623,0.0384156146842696,0.038378198768296734,-0.0511450196520895,-0.010291510065532883,0.08764121247826337,
TIMP3,-0.03876559946442404,-0.085556817489231,-0.029389323727271866,-0.02594322366744875,-0.005347461879247938,0.049435274500683864,0.10863201101958249
PIGF,-0.059118497662887196,-0.03534612127971033,0.08001822705307961,0.04677358948526876,-0.06478295532287037,-0.018747327823048363,0.09597249247779288
CRH,0.02869830665903238,0.009962667845535048,0.0258418066050965,-0.06514612713211515,0.04367356039517709,-0.0516365196107485,0.03526519717949846
BDNF,-0.024889672545445097,0.03555075129185544,-0.04724159263220396,-0.07554017233699223,0.05945029512482118,-0.023945838124963665,0.015415080626052242
CCL5,-0.05259308885303056,-0.013703885229120532,-0.02268873050631716,-0.07538664066852925,-0.03357720540186007,0.17691946075739393,
GAD1,-0.07260153055320728,-0.0006719374169475333,0.04259310937380986,-0.04682434897544715,0.002330534130822496,-0.03836454193192222,-0.008108942203260125
COL14A1,-0.01739007386430042,-0.01990128531578999,-0.004959330492087804,-0.06153080582277035,0.012718982742667488,,
HLA-A,0.050508074386669245,0.0376427278717732,-0.06342004986718584,-0.11664097023950469,-0.008102035756527761,0.012067742667337294,0.07628814801295998
CD5L,0.05715660700267916,,,,,,
FGF18,,0.04975883477023595,-0.023688452133169446,,0.03491687384953826,,
ADM,0.005761704977121866,0.01119340600874823,-0.0020389710513598956,-0.04310046992267958,-0.03420732580003375,-0.047632558703636786,-0.012949329848386192
GNAI2,-0.0027391116996449082,-0.012634857983700194,-0.03971348525290464,-0.0292676346953621,0.029856217537820487,0.00031022507696373407,0.03896322209527826
COL11A1,-0.031765508519865704,-0.025601867209277488,0.01293979626711801,-0.05014576880522507,-0.048103583094655546,,0.02003025312929504
NUCB2,-0.023370427348338253,0.0470908542742568,-0.05155662499367135,0.01228362258698461,0.023133100283650614,0.1688637012820559,0.06069202748983026
CXCL1,-0.004930484802211433,-0.01633409138850925,-0.027655054745742598,-0.040636179300033576,0.004557950813674083,0.06686373337942757,-0.05740777610652766
VCAN,-0.006091216439943075,0.04625616199230147,0.03220280304012516,-0.02992484825945345,0.01446300377010915,0.004904455286981649,-0.052404277738155015
MMP7,-0.015400398636010513,0.03863409615267166,-0.013606441119035282,,0.04094290771667278,,
PTPN6,-0.031532223265468805,-0.0059024682544209965,-0.013280708996651498,-0.08080809501829017,0.02043872634265692,-0.03019186037601625,-0.0016525191786077498
PTGS2,-0.01689743950108327,0.009965644850118242,-0.04918356638826041,-0.015570180466543487,0.006200361648427403,0.04524737673150245,0.01856261867338377
XCL1,0.0333759352869096,,,,,,
CD58,-0.03135245058805507,0.03579304386674895,0.018914389526713433,-0.0207239048447482,-0.03486731259691878,-0.030150004915711452,-0.014394520440961896
TNFSF14,-0.03181923272736782,0.1392248614259722,-0.025825329163493574,-0.07293267382540417,-0.024713279539414917,0.09245687657794278,-0.06233872455349492
CNTN4,-0.05706894144659729,0.015200659845377855,0.01249790420272512,-0.014901292998960685,0.046860071150580364,0.09827338604217006,0.0016154438327303142
INSL3,,-0.021026897585329746,-0.014990412831679423,,-0.02471327715171419,,
MFNG,0.02108129810117796,0.024761899537938843,-0.009568015183696238,0.00975402243462733,0.039541578442710903,-0.06825131212704774,0.027207541985635957
ICAM1,0.053390463884003335,-0.04788797827891171,-0.009327450679738314,-0.035745090941395045,-0.02220712140879169,0.004925667368442645,0.09541728515854703
PROS1,-0.0692495231660175,0.04404305759809577,-6.141390274983003e-05,-0.09052778311931876,0.02540605677965481,0.06898099388241362,0.17059912500342864
CLCF1,-0.019882566755169192,0.021766018919617894,0.03570828793531151,-0.062356211993495655,0.05635493968369856,0.016605864332949017,
PSAP,0.0750300217061995,-0.017359536207062296,-0.03759443205831985,-0.1173720974248109,0.01019361310858136,0.05012748826317101,0.08644984549341168
EFEMP1,0.03229779819657253,0.06267618912364536,0.010853605351503369,-0.059640801581719194,0.08875805531173778,0.07540755851946178,-0.04118799322963434
C1QTNF1,0.02235359682174037,0.0393500881965899,-0.08288902562329774,-0.10188257754934017,-0.05131495264385652,-0.07629138967261781,0.07979796977360641
ALB,0.08645795275622609,-0.031168982348609077,-0.03436749921975041,0.06160010019153234,-0.003879330232847579,0.037093574968201,-0.011557239214345113
CCL13,,-0.014035222410511299,,,-0.013433342069974721,,
EFNA3,-0.026852360183633937,-0.03358946185819626,0.07563311155464114,-0.015790725198117844,0.024119253487052312,-0.04083242377240909,0.014306067768448262
DRAXIN,-0.021082851521448506,0.06545125275883347,-0.05548813610222854,-0.05472312170344719,0.004623611027901138,-0.09030410528477041,0.04625370333948337
RAET1L,,,0.14432240680152714,,-0.017189605546061342,,
NPTX2,-0.0637218115455036,-0.026575242281066662,-0.0011763599332881096,-0.024969000534975097,0.025549246015557407,-0.03133177724562155,0.06142718115644821
FGF11,-0.04114121693729493,0.05142821747914714,-0.010968830966397638,-0.050502832803739,-0.04911483397912996,0.0030874313702278656,-0.024959620222584647
CD59,0.002586892184202283,0.06220286074321763,0.0013914167061177389,-0.09897452177221844,0.022681614039804572,0.09586230358399668,0.042404738715876175
COL9A2,0.040058819428920714,-0.002010245887582428,0.02448640083313749,0.0010618566030168933,-0.01149247041993252,0.13040259317095135,0.15195155881511496
DLL3,-0.016535970218284887,-0.024964511075002745,0.055209336174139555,0.08592771294389062,-0.053452624470671235,-0.03004549256354098,0.037281767549539824
FGF5,-0.014811370949785666,,,,,,
LIN7C,0.039902726443345894,-0.09137287667189462,-0.03389903349057617,-0.03823667592674943,0.00782557710178482,0.0073271609254917025,-0.02950049040192227
GDF7,-0.0062209498066706035,,-0.013008862444202558,0.01441696270336789,0.05573816505830682,,
PSPN,-0.04164518219275426,-0.036115254716835646,-0.00831760405733865,-0.031496050295517566,0.05791250180964841,-0.01580551513078493,0.11264599974505828
ANGPT1,0.0495115944061935,-0.02923162248286089,-0.007414775710899288,-0.0860815828293559,0.054833852004017886,0.025815280137600014,-0.06486020315999713
PNOC,-0.0247336618786346,,-0.013833681545154531,,-0.023818051194910147,-0.04775928155099443,0.019845313255262762
L1CAM,-0.036225805891060114,0.02190465536529464,0.0019082985561189036,-0.02813561845813376,0.01169919656497633,-0.005988546318773198,-0.06404008048482143
APOA1,-0.03947385700861901,-0.017559339850194998,0.10907123060340292,-0.05331789280133256,0.013000954249908495,,0.1658676301227068
PSEN1,-0.03769137302500012,0.022828682961075573,0.004360130709637469,0.0026477732270022915,0.014112757977507403,0.05588548466635034,0.04407544377544813
CALM2,-0.053962830286183316,0.04864077617611211,0.06741474990590553,0.11547217120488908,0.031119747277381683,-0.011540668753104891,0.054752955460686495
CLEC2B,-0.06499292278844929,-0.061332228966818475,-0.004103570061615111,0.0552419862339645,-0.008731267284053733,-0.00094688725566338,0.0544389561200331
NTNG1,-0.05411497146816785,0.02813037475384386,0.028283967266739443,-0.0791055044859352,-0.01012573778737226,-0.0023788504078952554,0.004546356471739556
LRIG1,-0.0005014687951485797,0.0056108483745440025,0.07339881947493883,-0.09012220485352589,0.07879509632233218,-0.008943095768259909,0.047939522548933355
CPAMD8,0.03431059333208149,,0.04047113460031142,0.03540027041257146,,0.04294742627964094,0.02227537085696791
GHRL,-0.016518913632781414,,,-0.04813898587052451,0.014105098916738286,,
NPY,-0.002292753804545978,0.09783603571957701,-0.03234312769365381,0.001269403816304638,0.03885632088935747,-0.08712558411697097,0.006208626075196353
MMP2,0.05130971148792343,0.05030929028958229,0.016821104052548462,-0.06918906441954574,-0.0646195311103238,-0.006704467912746649,-0.019743971620440906
PPY,,0.007660334415101187,0.008561680624476539,,-0.02608189522452833,,
ALKAL2,-0.04840172519532954,-0.006141345537537551,0.12188791353372061,0.034330868748963995,-0.005333514341049551,,0.1397454933572086
CSF1,-0.07000443003132116,0.09343601387323724,-0.06541530831074412,-0.08623572132571616,0.03857018299028435,-0.05356488117640475,0.03851463902791846
SEMA4C,0.00958873666819191,-0.023125141883455942,-0.01814219008430349,0.021797463594818375,-0.025271375030258884,0.05958472744298562,0.03885593290785081
ICAM2,-0.005132683120833169,-0.018190269260879285,-0.010170156082498674,-0.022852825888330316,-0.015879080506038618,0.0004877311577498668,-0.018479172906911215
SYTL3,0.015567679573303966,-0.05087056079946409,-0.03445137289546835,-0.020967916255917533,0.056625300637466174,0.009441763914713231,
IL1A,-0.036534705235563646,-0.03545820642417902,0.06116373441914929,-0.005533097938423457,-0.03204529993542144,-0.07504684811384121,-0.011277044480503486
HLA-G,,0.025650911247879306,0.008136413992999754,,0.028395751611386896,,
PGF,0.03047658420404613,-0.02849902884989639,0.021922323037781393,-0.06554655790910296,0.04682760648711362,-0.01288553728780467,-0.0005819738386694794
LGALS8,-0.04520506031740025,-0.035626689458201716,0.016386444006019192,-0.03340480396915604,-0.03324132186712753,0.01493474807193708,0.00873802959761155
DKK3,-0.059419894313144254,-0.020140939862476098,0.015637281522419815,-0.054535963798541066,0.014093056433063087,0.10463079027931352,-0.04636431027943559
COL16A1,0.06058770659609156,0.027354897594591074,0.017032985069015055,0.016022851351577275,0.02993035300796599,0.09060240267610331,0.006041156770042134
TPH1,,0.08579507268977973,0.044249165612358615,-0.028713253699239147,0.022695700284818862,,0.08122714342999353
TNC,0.04197220615924511,0.11584586528362907,-0.03923556071917258,-0.07224126103424702,-0.005823450721595343,0.05182784402419396,-0.12638676506095664
TNFSF9,-0.04769002469414643,-0.03449494814004884,-0.019928789319998277,0.13825397484143115,-0.031048713153701737,0.03244027173853458,-0.006789357960112188
C4A,0.041099718792289526,-0.01562563545313651,,0.032226005312946955,-0.020302338710301415,-0.03287990009847763,
CNTN2,0.005254541044033445,-0.03549207202924738,0.060294732759490356,0.08525258275903623,0.019163746746107952,-0.10900285216827288,0.09161615233294347
F7,,-0.019687398505180625,,,0.052508887950052194,,
LUM,-0.004333772504840713,0.0515158597411256,0.044072358112567586,-0.08489801737226887,0.03653404311486559,0.03727234962624037,
BTC,-0.021723081906415524,-0.014243140682505805,0.05098263654051471,0.03956291822690995,0.00023170910443984352,,
APOC1,0.09499310935796776,0.0035764257483441256,0.02767585616675345,-0.000654249925496682,0.027462713875900775,0.026042969156491836,0.11338048942761776
PKM,-0.07958483482010671,0.026390582338545632,0.008698548369637286,-0.11278015877531165,-0.03496651363469485,0.010555965585290625,0.10393910138241078
TNF,-0.01857553095481232,-0.013824373800101245,-0.01517513641334483,,,,0.02081777195931361
GNAS,-0.046711917988482336,0.05558334697271243,-0.04855621707783649,-0.18693556474306258,-0.0036317630747278768,-0.040145505989753937,0.020524215688068254
BMP8B,0.015923721984232107,0.05243054626617111,-0.020907960809251176,0.029607519751574538,0.0469764854915433,-0.06398787742850644,0.07221208828783948
LIPH,,0.10656557737248853,-0.016918971564599043,,0.04400158155846355,,
CCL28,-0.02214068497125855,,,-0.022684791700093167,,,
PTPN11,0.06700240231943402,-0.02979965742883786,-0.03321628077890518,0.05422767800612093,0.00620672587838392,0.07697603971234865,0.006939504849732543
ADAM12,0.02080622129832781,0.0667776815141669,0.01480774091534225,-0.032217419053677095,-0.026940502512016632,-0.04496672468057326,
EPO,,-0.015242615585413155,0.005626886886714152,,-0.019221181459186654,,
EDN3,-0.00492132645540168,0.02591810880817759,0.0056747155838268865,-0.0684499860608667,0.00858678652983511,,-0.03517285680274019
CCL22,,0.08156226068026597,-0.016068997343771103,0.051769405202777154,-0.016865749980755608,-0.05703344071291179,
