,UKF248,UKF259,UKF269,UKF275,UKF313,ZH1007nec,ZH916bulk
ADAMTS3,0.0309228325534779,0.047061749554197105,-0.03764938953698315,-0.018139914198962583,-0.006445276536796349,0.006879589050635456,0.008297605804112203
CD34,-0.04184092479651637,-0.03941240646500589,-0.02844157702100415,-0.021827932583356448,-0.04556263255229044,-0.10887627015765448,-0.03447760656641498
CCL23,,,-0.012417042013551913,,,,
PLAT,-0.0720573895979279,-0.1069318153799782,-0.04771083138846555,0.02443251007165271,0.041151587161672054,-0.0008676111721875235,-0.06565598886733152
NTF3,,,,,-0.035045732818050096,,
LTA,,-0.01969449981623979,,-0.012395959156095369,,,
CKLF,-0.08749822520361764,-0.00011755337552041047,-0.02722082178568033,-0.06430727097856045,0.02330650207661853,-0.031588372893888286,0.004631767159474365
APELA,,,,,-0.030330108612283024,,
CD24,-0.034572549109164415,0.016284670962606534,-0.034794168022704394,-0.029573341320382855,0.01267128462142714,-0.03697453805284402,0.11507975134677326
HSP90AA1,0.08498940687456127,-0.04771586059967239,0.09012344355336044,-0.02978973212203915,-0.02544314478300259,-0.07745303305104094,0.1431248342433716
BMP4,-0.0458371348504726,0.06766388324936567,-0.03342629994234219,-0.01997436053197733,-0.051165207445603836,-0.017756532315541484,-0.043934343723250335
SCGB3A1,-0.015031285308053697,,,,0.001832377608320929,-0.023992736653862975,-0.010364538220287194
IGFBP4,-0.09441005779107482,-0.06881111581552135,-0.015543904840822607,0.023405110614819168,0.009051136523256668,-0.06672536808624809,-0.04818450356920651
RSPO4,,0.03765418608614106,,0.04227020884827538,,,-0.020524781946890534
LEFTY2,-0.03919182495653458,-0.0440056470170336,-0.022030626781770778,-0.035504663092908076,-0.01860316967626058,-0.00028346254199303764,-0.014648164861884009
PF4,-0.015592545632876613,-0.013406738909481323,,,,,0.094738755520009
ANGPTL2,-0.06137620908744385,-0.07029976786175765,-0.04384107138540976,-0.014390940302763812,-0.02353831145591605,-0.051056113810353174,-0.08919629255091273
LRIG2,0.045311703102415675,-0.009894877804930225,-0.04033541228548061,0.03610943131614522,-0.003941719567875578,-0.019313371303201588,0.04056370369188857
ICOSLG,0.024083869865748057,0.03886565903412767,-0.06893418788004216,-0.02110307118339094,0.01576306273914822,-0.07779716779483016,-0.0036563375637935656
WIF1,0.008716769441444842,,0.034930403209217344,-0.011125454313117542,,,-0.009452401804904581
NPPC,0.0265756713081137,-0.02079715823656547,0.07194441298747732,-0.021702226399149316,,-0.05830144379588344,-0.02702605949318549
LYZ,-0.025425021842511632,-0.016855964186076208,0.023039651816175524,-0.03962286278015385,0.06344396113483086,-0.04273050295525698,-0.0007277750958583735
EREG,,,,,-0.021753503359938014,,-0.0015313729358640256
SPTAN1,-0.09949259163771965,-0.10977474084563174,0.01964770313977743,-0.07124978984674357,-0.0015490983097426105,-0.09691616488555516,-0.13100500988714686
LIPC,-0.019089374274052242,0.07468933263149513,-0.02854229370970085,-0.02695452671431024,0.0002916657934502803,-0.04203327267662144,0.00230672811699062
COL8A1,-0.03903278698880267,0.0072746031138757345,-0.03827222767495301,0.04694332366527641,-0.012302383625000655,0.02677884101937012,0.04265488260722958
GSTM2,0.049485376945795405,-0.00856786066590684,-0.03997673990307309,0.08803290466062529,-0.0398786889024112,0.0198593312122158,0.06865931948095136
IL4,,,,,,-0.0401797971030205,
SPX,-0.00800881765003188,0.048662703887637306,0.029849656189951026,-0.002189398021167664,,,-0.04956152106429313
MFGE8,-0.038926277691527414,-0.023043131157433092,-0.018968116551246673,-0.012733733129276543,0.011493117573406113,-0.07494235774108973,0.12398540952675824
TGFA,-0.020831812548120776,0.09301928361549817,0.060327337608899724,0.06828301964203726,-0.01656643692828295,-0.09589401985647424,0.07751365566312352
SLIT2,-0.028676681239927237,0.08424028445684298,-0.011864128448698762,0.010663272713205614,-0.0137794880312277,-0.007371272843552568,0.0848677320131741
PLTP,-0.05359295743684185,-0.10823361247431484,-0.06727898192287841,-0.02165748470195515,0.024791257523846907,0.07785205148599321,-0.04510963291950998
APOD,-0.05230939235257956,-0.06264708954864197,-0.09427572003526487,-0.07769962606870784,0.04922185390632391,-0.04283759002934546,-0.055292877267296925
B2M,-0.0029700371935932556,-0.05738091266450972,-0.06728178739085514,0.0338929339958849,0.05110689707533647,-0.013425264098360727,-0.1321061549711887
OMG,-0.09089045622373598,-0.11463690523047713,-0.03781984475999547,-0.06563548264136124,0.09829487711130515,0.019427052569161544,-0.09412141281853427
CXCL3,0.042284530623626915,0.1959859447116806,-0.014327993863307626,0.11111070361727848,0.012212638138388502,-0.017441760606901942,0.300518910044962
CXCL10,-0.0014824688606132623,0.021241227433660144,-0.08141060557919932,-0.03275635132627845,-0.018772046780238708,0.10989978619822885,0.01611321526231673
RSPO3,0.013862626211728984,-0.015569311712503097,-0.01791940765456745,0.04486819682238696,,,-0.021000318959421272
CORT,0.01537441549668691,-0.03491537700704435,0.009709796472237837,-0.0075051646015442414,,,
NCAN,-0.14612123928972345,-0.11876315876359123,0.02881060867513081,-0.055809877416116885,,-0.06925008282213566,-0.12643782183697727
PRG4,0.08199150427880415,-0.015366239234024935,-0.015523075496853129,-0.01842467973246845,,,0.04321356893846564
ZG16B,-0.02084385599075188,-0.017834399918165534,-0.016759654545372323,-0.009849714835874431,0.007633769225407274,,-0.003271083499232892
TGM2,-0.0018538156106908288,0.04066797258005646,0.005352517133624074,-0.024522305580809492,-0.013230618857788496,-0.12303978532185596,-0.03621676456968979
VEGFC,-0.028701875026165603,-0.02738675277519049,-0.02046620041414197,0.05164946940871584,0.11318181707673229,-0.04554661471222663,0.030541284252229333
WNT6,-0.02425264897320431,-0.021253487461630846,-0.015264912092374848,-0.021920189051250986,0.029598449471954443,0.04244892117145441,-0.024603174209885666
NRG4,-0.013844342864513767,0.05699264263505728,-0.019334975288254324,-0.018922897010546978,,,-0.02351858587409197
PMCH,-0.015956350197496208,-0.02591263395033823,,-0.014417254449535663,,,-0.047383057072125104
COL9A1,-0.04181385475323064,-0.01953226416939545,0.02435102684710855,-0.005763330090258669,,0.0012246168372086667,0.008056264501162622
GDF11,-0.07587645714966099,-0.023918267643338917,-0.04674987618275212,-0.04989718950046389,-0.026490254844175554,0.011131415013244175,-0.006906372274079951
IL24,,,,,-0.015475445007906199,,0.22076955173847132
SORBS1,0.012357967548410453,-0.0444940556286739,0.007154464592666164,-0.10340251041452761,0.016494480990491323,-0.022500546342636134,-0.16322076468326022
DLL1,-0.012186051768271032,-0.08741321771278893,-0.02578436768534636,0.004903892151948364,-0.04166834855405227,-0.04626649385174954,-0.017959074060943374
TLN1,0.019118805996881573,-0.0388310984585875,-0.08303875159780003,-0.021740134282361934,-0.05093222124484832,-0.025102139764453593,0.06916655936927957
COL2A1,-0.05145530417588247,,-0.014327998739282732,,,,-0.03333447383951557
SHH,,0.002022373817170017,0.19352427074171488,0.01117779760136228,,-0.004757650652656443,-0.04047464786392184
PON2,-0.12968796288110346,-0.15583288262455922,-0.03751444558795989,-0.04417845876144161,0.0271055817654101,0.03951304831883374,-0.12331135286853158
ICAM5,0.0021867772646798744,-0.024887332241609886,0.032749160436867784,-0.013453593139093632,-0.014649410148176183,,-0.02790585125286229
HPX,-0.017554084937863867,-0.023403456595182465,-0.02086455123963412,-0.019329454901055625,-0.0016939801186560508,-0.0860346549090998,-0.03229941334959798
SFRP2,-0.019984133874531344,-0.018185873354287587,-0.01143507482430652,-0.016109836654354375,-0.01527289726833111,-0.040179820752217446,-0.035280209462855344
CFC1,,,,-0.012395959905247214,,,-0.01769771972389634
CD70,-0.03651051792283406,0.0060906825529497,,-0.02312280544849602,0.0010627101741638053,,0.22834770068679353
HP,-0.03508118002694436,-0.02353279026908726,-0.06150806093964332,-0.007700381177704872,,-0.015583558796423726,0.08921407282463295
CXCL2,0.04076517152986436,0.0654193157352358,-0.04843092644008065,0.008806578385552849,0.05435013056540699,0.1327033119978228,0.17946406175573704
NPPB,0.08815206597009492,0.21255923280602393,,-0.010854406620459554,,,
CCK,-0.09354770203089885,-0.012918136025975344,0.03003406884943154,-0.07794011067044143,,,-0.19184396323560077
SEMA6A,-0.0406344970755662,-0.10411053937876749,-0.04137829693358422,-0.0830808006148871,0.07694988648373541,0.0930231760797945,-0.05211965964316695
IRAK4,-0.016232429091192477,0.014843148866602159,-0.0032532363373428902,-0.005812221067908433,0.08950007427327222,0.0626124036760521,0.01886499000956417
GSTP1,-0.12750818861787283,-0.001891393922872795,-0.03828240506234508,0.020857417889278248,0.010398760086993248,0.08547337872340276,-0.01605941049908782
VCAM1,-0.11416795127721178,-0.08902212396308509,-0.05287102110041587,-0.008080350653460877,0.032159840298965806,0.04161548067456502,0.15813348765357588
NXPH3,-0.009189043775486017,0.011584962390794045,-0.041540879950439785,-0.033565021661995376,-0.002098057049620526,-0.04730120225508351,-0.06348064053288968
MTMR4,-0.012580367230347694,0.019011989513077827,-0.023848958224949736,-0.027925096044896985,0.056733071883250934,-0.00880674932892681,0.0035953669093136136
LAMC2,0.07624498053257651,0.05434781703685365,,0.02633163379872068,0.012514646100943485,,0.03821192006551649
IL10,-0.032159339458446776,0.01711104677012258,-0.01880153344151431,-0.0012256174818698984,0.10324251892767117,-0.07182914302802103,-0.0008800163809357226
SEMA4D,-0.06301676456300154,-0.06135629798111893,0.07578236668945601,-0.044078935678009884,-0.03326175748345923,0.04974089988904366,-0.03349988561434788
TRH,-0.0280700176565794,0.0651522810115712,-0.029683541536520475,-0.00046200093355313883,,-0.07839459735947828,-0.06915680758421537
SEMA6D,-0.031956285158352145,-0.04679835945802339,0.011530737433110705,-0.10376091242491048,-0.020853650163255154,0.059841063304370765,0.04112018961513066
CEL,,,,,,-0.028633374278198113,0.04339925629081949
PDCD1LG2,-0.008611143600576738,-0.00019645744859084018,0.019517519241058493,-0.017014354875037812,-0.00876436418311587,-0.046874264218110855,-0.016802532098541458
SPINT1,-0.011362148631100945,0.02236685478754905,-0.023284228986573282,-0.023739060108784436,-0.03963375954059372,0.015375963054017755,0.060286735041782044
CTHRC1,-0.09233025971043113,-0.04816612585993048,-0.06488411532297694,-0.04753546157444678,-0.06259864501281108,0.15199203993369204,-0.003917584463828832
PODXL,-0.08423532148583529,-0.053732439253016885,-0.060571128687537196,-0.04692989706410733,0.0007955862633023986,-0.029875423356826466,-0.14389075833817302
JAM3,0.010638241616562693,0.0020009983053149135,-0.0826998658537339,0.03555556424637023,0.005883011293183907,-0.0015087744325663838,-0.0422358446955617
TGFB2,-0.0009387463411609909,-0.024139263534963942,-0.04208789250134586,-0.02707471405438324,-0.031571926160929534,0.07621479449237455,-0.0861439671459036
COL18A1,-0.05102745607604327,-0.08533809642989586,-0.07532080773591017,0.002082293351592581,0.02165197115003233,-0.1383545062235874,-0.09265266138341503
NODAL,0.03967586604812499,-0.031447599982266546,-0.03775919248322708,,,0.008581023660680467,-0.01109879546947221
INHBB,-0.028203321590555604,-0.01216450728376945,-0.011294856564279233,0.0068307869078340485,0.024344290929648287,-0.045943080130845707,-0.09529262655271624
LCN1,-0.015220548838299893,,-0.012573649990801412,,,,-0.024990736261786377
ARF4,0.01136514677022084,0.06681290162999771,-0.03271500998487361,-0.000127836172550711,-0.03127419617994807,0.008791177699700012,0.09212624662527141
CXCL14,0.012389673928649873,0.03008039347988332,0.06215182021054378,0.06486415402339613,0.04556771446832038,-0.021133703268224488,-0.08671904076866643
LIF,0.04813612500067425,0.07512415413877475,-0.02507927730814685,0.03318678113351439,0.03767543719731938,0.025432769035163047,0.16515549431531648
IL17B,,,-0.020765569754769838,,-0.016583284077275197,-0.05298751276763309,-0.02825546302089201
MMP1,-0.02098403996929883,,,,-0.0513025234154723,0.011912891203507543,0.2492598007794616
MATN1,-0.019984136597849284,,-0.01318261719600654,-0.01099072945610849,-0.015475447238510803,,-0.02574948717953893
ADAM28,0.0471289372366369,-0.031659059963540556,-0.03793725479394244,-0.03312957858229393,0.0638091597237566,-0.04987948816194079,-0.04480499399494301
TCN2,-0.03977484982978354,-0.024775869062118934,-0.040161114174400506,0.013359881899829196,0.0184549857706471,-0.0443177054135013,-0.10323685019189281
THPO,-0.026040157436702575,-0.023549337536505684,-0.010218380405911847,-0.022563491008309188,,0.10019889311348928,-0.03858794769223048
CUBN,-0.03170065627793451,-0.014013935727302935,-0.03209279894365998,-0.02722512688461423,0.020178049490484306,-0.0353397869937452,-0.03497726176967475
TIMP3,-0.013270611474833736,0.03983887867768806,-0.027568687010893548,-0.04380604427102693,0.024994691600657003,-0.08786935765143251,-0.006577953830761014
PIGF,-0.0700532398407701,0.03961476064188288,-0.007222462572598062,-0.011682564830199459,-0.026599080751036723,-0.0038449937653030988,0.018182847712217207
CRH,0.0018427684363624113,-0.0020594368776386558,0.000746430655859281,-0.01730197369219675,,,-0.04761242461406719
BDNF,-0.022601232062510433,0.00039452560314540955,0.07895917295682772,0.017604852694174587,-0.02387084803201287,-0.005002294810853582,0.02929427127219442
CCL5,-0.0906510490302709,0.006902739829292467,-0.02854229213812119,-0.039717791857481866,0.00652862211534436,0.1325895740666851,0.017385251874949853
GAD1,-0.013532373327487758,-0.007949233722541324,0.07677464763003577,-0.044478339622674765,0.09420027674300689,-0.02801786278004174,-0.044123403202358226
COL14A1,-0.036066421992315086,0.026593986804713664,-0.022304928148011004,-0.02387424282238014,-0.015815875933124487,-0.03692205026730332,0.0014898004612345843
HLA-A,0.057047653580893,0.06294118162389103,-0.06015391577384926,0.029770530855493225,-0.030788899394093554,-0.004154995452176604,0.20869380904834492
CD5L,0.059561844619760045,,,,,,
FGF18,0.06835744770733065,0.14602873217174187,,0.03449167866474401,0.031116264834303357,,0.052525029877668404
ADM,0.16442192891421045,0.19538979223998093,-0.013432616302933104,0.11398784867539948,0.011023136552957878,-0.024850801126746102,0.2276063933327085
CCL15,-0.029752252048005516,,,,,,
GNAI2,-0.11930059440392157,-0.11032269964877396,-0.07752535112203696,-0.04745020993704893,-0.012776341887190651,0.031948600615859864,-0.02133788988011476
HDC,,,0.013713114844119864,,,,-0.02574947551783989
COL11A1,-0.048130054194527074,0.039994893251244036,0.047211792187523735,-0.02249276895718513,-0.0232846278802201,0.11710922060724688,0.05374078329618407
NUCB2,0.06018764479365765,0.09210107284375992,-0.013967194256759543,-0.014224062759175284,-0.02729351194589569,0.015309724952766359,0.09248227324817518
FGF16,,,,,,,-0.025372760711935942
CXCL1,-0.02559911404736654,0.011434866986373077,-0.03216387690216468,-0.024869133293945217,-0.026836833561043428,-0.038248815919598014,0.14997119729714717
VCAN,-0.10260636642634993,-0.13321067899233627,-0.059157028830160406,-0.02911113534656199,-0.0357456105692275,-0.02908155303940467,0.07977579158403586
MMP7,-0.01522920774784301,0.10345132284079656,-0.009177727551562324,0.014408601856402567,0.05854920414479788,-0.0556871157933605,0.18598856312697729
PTPN6,-0.04038624294967393,-0.056843310843011655,-0.045893857572614216,-0.022366544129337196,-0.007981700443028188,-0.004442065508820906,-0.04966220819562726
PTGS2,0.0882077149830029,0.09598680605946686,0.057847950750311454,0.075007782521098,0.013310584751943638,-0.06060057212853334,0.11068036342520343
XCL1,-0.019541431052145054,-0.015569314332849787,,0.04368800487868702,0.056277298917246865,,0.03141993360637412
CD58,0.002324080074369809,0.0008529400371558223,-0.06141840518210096,-0.023577553823005415,0.039483995653909316,-0.08497011323479772,0.0348411023787248
TNFSF14,-0.0196900063218698,-0.0239489100703655,0.020546038721339907,0.01317917939819438,,-0.0031549354492016544,0.010103212039810624
CNTN4,0.01579121565811272,0.047055678879735045,0.03225297345383969,-0.030069501504478346,,,-0.06278611931316408
NTF4,,0.039338337804656766,,,,,
INSL3,0.05987924583571983,-0.014309558055378565,,0.03124350680279907,,,
BTLA,,0.05347687375168399,,,,,
MFNG,-0.08791875820141021,-0.003265039116769356,-0.06048655999875133,-0.016585583562483474,0.015263151398566342,-0.00772933769958522,-0.03201177968414157
ICAM1,0.03357585036753203,0.05896018961291144,-0.057325231345430265,0.005281667837801794,-0.014827870406675814,0.0711438779894528,0.13577378549497465
PROS1,0.019200323142672383,0.002759117448497092,-0.07937069408085035,0.015921392916444465,-0.015027016050415285,-0.06526236634919345,-0.00702381184195525
CLCF1,-0.04037049958766395,0.08740204774378342,-0.026887237138728724,-0.007457476009406038,-0.017717216541372375,-0.11044173946277024,0.09638810503904094
PSAP,0.02834232019188672,0.008387269570440404,0.012826119342869395,-0.04268740343568729,-0.04338793079516649,0.007519467016575418,0.009310923955948545
EFEMP1,0.03125045260569851,-0.06555758587977399,-0.019031732368761267,-0.03484797805873803,-0.032027577400786524,0.061915355845990935,0.029851782293853872
C1QTNF1,0.07661824396073684,0.018434698496603872,-0.0279234792486878,0.01429066500252307,-0.012654075498187936,-0.01994578198383167,0.14168279205768103
ALB,-0.027063984039048458,0.00821178893646923,-0.015394483269092174,0.026073296157415222,0.011777934954713425,0.10555936894755256,-0.022413967832311855
CCL13,,,,,0.04446985096372109,,
EFNA3,0.023836464802295478,0.10883797123639333,0.02368200574813474,0.06313950768742589,-0.022392017963380584,0.05667350583248957,0.06318275021215917
DRAXIN,-0.015658691921840356,0.017476602530458366,-0.030805522540455422,-0.032971096592546136,0.014456077617153822,0.08372303737900424,0.009794954368421828
RAET1L,-0.013636966722608801,,,,,,
NPTX2,0.004786352883638789,0.009097915759787661,0.0858543474237976,-0.06923721138728849,0.012284392922062543,0.02487500328052382,-0.07113097400595401
FGF11,0.07047184484354425,0.04411490754578528,-0.06957229815265671,0.039411412672914696,-0.05155322306865641,0.007371486447576445,0.0803155959445381
CD59,-0.07333988558362671,-0.08528263844994781,0.03547276471380827,-0.058840591629289285,0.033974824499961497,-0.03515644627392175,-0.09063649076774297
COL9A2,-0.09148502984317904,-0.02380920134407161,-0.07700591522003318,-0.04676396899606584,-0.0004921536010692911,-0.038985048361133735,-0.08603652706870381
DLL3,-0.11295836642518488,-0.14206472782019677,-0.05079805889230927,-0.06863393503851982,-0.01877204799173153,-0.09111310704501649,-0.0752256851306425
FGF5,,,-0.012258540364643864,,-0.0353429717326782,,-0.043524324186571796
LIN7C,0.015523347523693937,-0.031093270625847318,-0.00812721023905159,-0.05963734294486825,0.0421662341404578,0.0042476318171996,-0.05362753853129476
GDF7,-0.03215934593147415,0.008370881793583196,-0.021928525465977625,-0.03565616016228175,,,-0.03936150593403866
PSPN,-0.050930393955511605,0.08508085589419118,-0.037307073025841055,-0.030198668351270403,0.00642705954202829,0.1392736768508479,-0.04008632743948008
ANGPT1,0.028155157192366068,-0.06004510402596605,0.012148329769535407,-0.044190299139538536,-0.013707481033367514,0.010073004695432406,-0.04401315905399198
PNOC,-0.04995024578911426,-0.015461192382992253,0.05017793420600455,-0.03391290566497414,0.03699950706830408,,-0.03250481199877644
L1CAM,-0.013620364523685188,0.021872356803300113,0.05531526738525819,-0.01856166159900694,-0.011492263084242161,-0.04381964696340517,-0.0635473852942156
APOA1,-0.0024637640980577206,-0.022284772409420787,0.004773816100001303,0.09941583150216508,0.046052025681295045,0.07208764993321926,-0.0010585712538161186
PSEN1,-0.03376838249815926,-0.028398395059346094,-0.033739118161943076,0.027910655516123387,0.006925354320827909,0.1003769408709148,0.060084549566724606
CALM2,-0.1270599786106129,-0.13390383553365462,0.046358367415942084,-0.07680314013977646,-0.03772475874499029,0.005222827464453477,-0.23313140511030245
CLEC2B,0.073859439471681,0.044234002592537465,-0.0847217518690423,0.06213316153653672,0.023021188836406976,0.003669856605434209,0.1283089684659575
NTNG1,-0.060633898354712876,-0.010471071563771169,-0.028608425604931882,0.016380315104994155,0.04109353091628492,0.06481078910320986,0.02314347872925357
LRIG1,-0.0864489581969198,-0.06672272427560268,-0.056727240430874994,-0.007867245842795297,0.0002245728025384134,-0.04920222499675581,-0.09464946145987349
CPAMD8,-0.014334803159075045,0.05298800663255673,-0.01108949947224052,-0.013883435904542312,,,-0.0279102578378535
GHRL,0.005345366614327718,0.023020690502236544,-0.023583384630836274,-0.012193893847431499,,0.06550027558953324,-0.024603182691529862
NPY,-0.03362030945242116,-0.05408277542494955,0.06851749154472715,-0.005051126365471934,,0.09422302774704928,-0.09432910074014866
MMP2,-0.12583942566536166,-0.11444364430755297,-0.03597677217970357,-0.050730227884518954,-0.05698937246057438,-0.012662186284759219,-0.0754093439732593
LHB,,-0.014740966264834841,,,,,
PPY,-0.02299462078187051,-0.02565972301731348,,-0.010146532968056142,0.09830709324982045,,0.038239987252879706
ALKAL2,-0.011584472945574267,-0.014526803016967136,-0.012573647952974679,-0.024475073232692414,0.05778200474359316,-0.051977021100012205,0.04740015636829127
CSF1,-0.05024386130935774,-0.02804272104112872,0.018592767995043,-0.024087839033711544,0.0053565691015017075,0.06548629411829916,0.0698960520571348
SEMA4C,0.028555633156914374,-0.07468376666385765,-0.05344779619623661,-0.025733520674998674,-0.019740520033331835,-0.0404296413246966,0.015569388613131672
ICAM2,-0.06762643355626989,-0.04724980832899881,0.012041367330100139,-0.0009052604616356017,-0.0022569100210456123,0.00018587083255435378,-0.1106778503597463
SYTL3,0.08019275765465061,0.06979203767808374,-0.04928718059659905,0.07296698870604511,-0.008369320234175321,0.008482109943459045,0.03882281186541222
IL1A,-0.0019999220283886633,0.055425702050199525,-0.030501111003970408,-0.02499885894790525,,-0.044265481392759154,0.16106774889428224
HLA-G,0.10984414734098405,0.05795329191704548,,,,-0.04554661471222663,
PGF,-0.059203716699571404,-0.053214953280987715,0.0031705919063123025,-0.007793514966699417,0.00494698647941963,-0.14404911102277773,-0.05748653057698431
LGALS8,0.004556272485067727,0.036181858851851816,0.0006111372749338705,-0.03844879046738692,-0.0038239909163114995,-0.0709078717320976,0.036172964882960394
DKK3,-0.06328417023372966,-0.12846040685417534,0.06754139722029084,-0.010925880906313763,0.03689424104333443,-0.016699598400090075,-0.2054081919395799
COL16A1,-0.08027189832591519,-0.06008002603047647,0.022008799925601615,-0.05171005235054122,-0.007034533543511701,-0.023214800473380162,-0.05671506779281892
TPH1,-0.015407611317643436,0.032591522871937756,-0.013182617071568184,-0.02346680161663922,,-0.05922890178558363,-0.020202284680834008
TNC,0.027595249629505374,0.14583764181545403,-0.04933036835970962,0.0690101286135708,-0.04242582681911069,-0.027114550205459564,0.1315732682306553
TNFSF9,0.051612386250031214,-0.025532430974947083,0.02593613391644627,0.006674611081193364,0.09377583949692872,,-0.020799600219113038
