,UKF259,UKF266,UKF269,UKF304,UKF313,UKF334,ZH1007nec,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk
NLGN1,0.004041592967722036,0.054432161966660335,0.03895719408464519,-0.00117056965922439,0.06519137760743816,-0.038674352562741626,-0.10997272346200868,0.15072462358726607,0.03612920196224225,0.002539652950231257,-0.037573857849340475
SCGB3A2,,,,,,0.04682692242764499,,,-0.022084276247902327,0.04600344042945355,
LEFTY2,0.002655499995146201,0.09498922254037973,0.08785146851301602,-0.01891800157144241,-0.015760114790689374,-0.020644714509696474,0.0015138846472436487,0.06643188060482694,-0.02071829210223084,0.0033126623482404604,0.04630727678721651
ACE,-0.014009561436262384,0.006325051402462602,0.03752026044323647,0.11492872303238212,0.03748933509595129,-0.04408330427264885,0.02739382382352078,-0.03762942588237858,-0.03297119070849341,0.04747528123677552,0.03928888534095814
RPH3A,0.019600373219795877,0.04491556300654243,-0.0341432481607868,0.07197940284185855,,-0.0035120628014442233,0.04264174518026127,0.004959155030402117,0.010571332595224924,0.09159857592641849,-0.0415673353764554
NCAM1,-0.017883339033301988,-0.04761197983153311,-0.030255327909960758,-0.00842788221598936,0.007549130193184907,0.016786660765429052,-0.02264709733321603,0.036225571505385426,-0.01027884370000094,0.009899586257222617,0.012843757076179409
GIP,,,,,-0.017141608611527116,,,,,,
EFNB2,0.0002037965062425348,0.027899731896229428,0.01792490951682801,0.008367537901264151,0.06573855302768747,0.006279929554935511,-0.11940730186223396,0.01469936041554298,-0.008621520892047369,0.03913450878390102,0.03362135057613874
ICAM5,0.0181237713480796,0.0021945838756002715,-0.018451704233766544,0.10032158172272915,-0.012410593977743845,-0.022789491961100753,,,-0.006640951024416322,-0.024691107007475892,
CCL5,-0.013608146068457366,-0.015045472010327994,0.06420883162294785,-0.02241265632517488,0.09699221073842801,-0.016587296138358555,0.03989440094680731,0.007857415068128483,0.011423284174636799,-0.04694156222744983,0.0457812568947544
PSPN,0.03470727725887075,0.014132075734731856,-0.016169221247360567,0.02369892981732243,0.027321484451977126,-0.029415152373563628,0.09587175019780164,0.024438216546630583,0.006815186177251815,0.004923776636250885,-0.07824245957411921
PENK,0.03284095756296526,-0.008182923926563609,-0.06046680696944566,-0.03783604292907602,,-0.021524877517114665,,,,,-0.0012938278217563316
EGF,0.07243703153201946,-0.01495292914994116,0.020593727039795232,-0.02719822867473089,0.027561003663159347,-0.022582972753562153,0.09627396511648219,0.12792143184670285,-0.02163777345017698,-0.02525285736830701,-0.013117908823584358
SERPINC1,,,,,,,,,,-0.02525285937722749,
UTS2B,0.02797237143675841,0.06849189437592659,,,,,,,,,
F10,,-0.017217007213702378,0.016900536794983205,-0.004865401274222534,-0.036407641505667866,,,,,0.010678582685594048,-0.021919094230097476
FN1,-0.015253687394251968,-0.01342287492383635,0.09968213109281189,-0.08863043073236973,-0.0757816449673379,-0.03208144261772998,0.029245707612223736,0.016876052546258236,-0.019147341979004896,-0.04334374189816075,0.08655376874239105
FGF2,0.002863479212643967,-0.029874312590168806,0.04602488419039492,0.012713824974390425,0.05332281222448329,0.010299048166024805,0.0456518101241241,-0.01638196836550337,0.03192255446384398,-0.00811023530303561,-0.014598028479068548
GDF9,-0.0017889820043990035,0.019218117345888,0.02039890683982465,,-0.018051428645115886,-0.011217843551745972,-0.03914577412471762,0.08481557462640894,0.013013352960096083,0.03147693556448459,-0.027993402979154865
