,MGH258,UKF248,UKF255,UKF259,UKF260,UKF269,UKF275,UKF296,UKF313,UKF334,ZH1007nec,ZH1019T1,ZH8811Bbulk,ZH8812bulk,ZH916T1
ICAM5,,-0.02171598163652385,-0.023221728033844948,-0.0032635018232437425,-0.044736712989752035,-0.06364421726347921,0.017858486791279955,-0.0009261787863641843,-0.013004527951591044,-0.026789118808946882,,,0.06868217075997168,,0.05356374188508281
HPX,0.04721535442677234,-0.016144528047006248,-0.02172486585622161,-0.025701181312772006,0.0018303369978549867,0.002967666720457684,0.0016660619437382901,-0.014320646158659233,-0.025821932320261552,0.0034555847390804312,0.08401531644442789,-0.0404681366467123,0.026379946279559235,-0.027468269336508797,0.0014368026515307612
SFRP2,,0.1503171336112593,,0.0026660790431673916,,0.004507551538967396,-0.018928692857253897,-0.029278890099805843,-0.013558007962014614,0.01043694490267408,0.08389935660000754,,-0.031956462721541144,0.035807454769153604,-0.0041898451469095516
CFC1,,,,,,,-0.014564971871011323,,,,,,,,
CD70,,0.1026664047625448,,-0.009942970501522218,,,0.015441878945592171,,-0.03359981440331631,,,-0.0337608342190798,-0.023758574363970227,,0.009927355222067476
HP,0.042143519790413246,-0.013953174054582986,-0.11657414851511973,0.009353166652688566,-0.04694413872927859,0.020290429354369536,-0.03670104478551099,-0.03736052495491096,,0.021671044473841963,0.04456425769217058,-0.03186492829335368,0.04702130496763472,0.033663929397729817,-0.02414432183774393
CXCL2,0.04623156260901733,0.017883415280245736,0.017430864538152048,-0.01615221305086019,0.018037779098399022,0.07362102888200041,0.010466493232207181,0.00852849964431542,0.022057028927893865,-0.027149806088268464,-0.025970188672028136,0.0008160138362848818,0.04758464519586795,-0.00022106974595310572,0.030713521907824077
NPPB,,-0.02449328551214792,0.03500381972752778,0.06966456723621788,,,0.13901541386546137,,,-0.01765230472605387,,,-0.0069681347931623205,,-0.024368018541157468
CCK,-0.01658936591162276,0.09847383750360014,-0.03417527453870788,0.0029601161725780318,-0.05968608395227339,-0.1385253511939059,-0.001916178868145286,0.006945886262075895,,-0.06981785526453776,,,0.005775854793485635,-0.02008816355462413,-0.006084313895884836
SEMA6A,0.06504259907212728,-0.005981092622217645,-0.07968687531032138,-0.041770823535782764,0.02464545050170409,0.09308783885138143,0.0020113626722975146,-0.03424263717056917,0.08018432921891742,0.07377557884365601,0.0031779248757810804,0.08674255326503828,0.015021653611685703,0.06052035585170812,0.08956720636283978
IRAK4,0.05214913760364329,-0.04594913321945363,0.044227180621138534,-0.043212417396552905,0.06862367869613958,0.04999796733654823,0.033872074478919864,0.06509033456242937,0.06503342671300227,0.011192877010071699,0.0959967901741543,-0.031577304128846656,-0.07132036652393137,-0.02245464643281896,0.048368906199494216
GSTP1,0.04198026013209407,-0.011125206783282186,0.00828715916582943,0.005218937389833109,0.033526304980445454,0.16576581250859557,-0.04746810300746793,-0.027737337916522983,0.06059656386470548,0.0003896274459413417,-0.12309973410000642,-0.00582305759733181,0.007984236673176888,0.028761980419155012,0.06444758715849079
