,MGH258,UKF243,UKF248,UKF251,UKF259,UKF260,UKF266,UKF269,UKF275,UKF296,UKF304,UKF313,UKF334,ZH1007inf,ZH1007nec,ZH1019T1,ZH1019inf,ZH8811Abulk,ZH8811Bbulk,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
CXCL13,,,,-0.004177720357479296,,-0.02163652169122435,,,,,,0.08726521010176418,,,,,,0.006965213506981315,0.02344908238109244,,0.008617394700454006,,0.07253793570883622
MICA,0.024906801370657695,0.05295194442502892,0.14674484832411305,0.030363601890514947,0.05070925017996265,0.01659007634519147,-0.03819715785350594,0.21456469720436572,0.030162381052536723,0.048913880155509924,0.006797447970455535,0.050628487554535716,0.0019500144175451147,0.09491287819454294,-0.07051478651330852,0.13173413636482595,0.15907252570967587,0.09146867426032909,0.11190979373826639,0.10175545629378008,0.07838824724920716,0.21664480788334398,0.11237590880812424
TG,0.07151293411159584,-0.023097560406440152,-0.012789979498046652,-0.036221176056197985,0.012460138012558738,0.01686253531080658,-0.0207721592942282,0.06221903491596324,-0.05173274041011013,-0.0356599918308026,,0.045998463810678895,-0.030886556842415678,-0.0566812117539446,0.07457188611301924,0.04283563744037721,0.01794810107981697,-0.03983781171632711,-0.009320670198314071,,-0.02503548519485072,0.08766212017143973,-0.022671830439890083
ADA,0.004694341754597182,-0.027328933280979892,0.06541863274702933,0.01257103326336574,0.021613811395828374,0.0005685442279673461,-0.0405804535998494,0.17626832184097277,-0.010391268046938943,-0.025132199121850315,-0.05058700601625145,0.06233258370807671,0.0024099200980619555,0.030778570263055915,0.026025477656906493,0.044809995699313133,0.05337879333423018,0.017365625384798536,0.06342945594823171,0.05481135341065665,0.08045419604528052,0.2060485271415055,0.08195650114752046
LAMC3,0.050544069713096954,0.009539739204151554,0.14411933611619554,0.016760551201078812,0.030951356943503944,0.06475888914549142,0.05637378632595849,0.1997680169198322,-0.012633026507904812,-0.006263804978036724,-0.017351828773756926,0.09901086753676525,-0.03668792884721254,0.05759220786145638,0.0491888078775181,0.07031241533306538,0.04283955471442656,-0.011104643735079814,0.0804501083328782,-0.07385056260712915,0.04089595493657861,0.2288284889937549,0.08580232670977944
CCL7,,,-0.002245615635727736,,-0.04204746641520879,0.10131317624702764,,,,,,,,,,,,0.08364829205197333,,,,-0.011617361389914052,-0.05635247483456922
NGF,,0.0011714116809578069,0.04739041293038905,,-0.023620770218760835,0.011130782776454252,-0.019822211413436486,,,,0.08019662833317362,0.01706812004559538,,,,-0.05924101029632554,-0.00981561397502578,0.09516727079179287,-0.019898121040935014,,0.026717047672373186,0.13016597766265003,0.023852937511262755
TNFSF15,,0.013577857683529712,,,-0.03302186369948029,0.05023164953144097,-0.008325003333747678,,,,,-0.0172140586494626,,0.005017878224500942,,-0.03256968436109978,-0.026623530062491428,0.054146435263021125,,,-0.020264255149251963,0.12678446339046295,0.16393758903378888
HMGB1,-0.07513408395709817,0.02493519598291318,-0.1073058386837776,-0.015573773663160173,0.0245135077918435,-0.06513390042839591,-0.03947342728750929,0.10197295289244121,-0.0025261206733654235,0.04994708972546361,0.04367581118200854,0.0897322024762376,0.027582446264949673,-0.029664444884431398,0.030867374533497374,-0.05455049327143113,0.027948777800854935,0.034420737422627544,0.020296744266064735,0.06027442720201121,0.06580964250250623,-0.20046860497704963,-0.039190275837436075
ITGB3BP,0.03757274435016055,-0.03533643424620199,-0.01650274748455637,-0.01255251044317979,-0.022238832413712203,-0.005470731626985672,-0.04801047988196847,0.16721922135469028,0.02547018626632652,0.017149548122836065,0.08276874881593221,6.373419401108775e-05,0.033620432952356345,0.02045518035839711,0.11533771881086056,0.07455547007525754,0.004962216570107973,0.07681662954037953,0.07037711159248965,-0.05313900221995454,0.04847233353590614,0.020762604430651765,-0.03780007007156904
AANAT,,-0.0052042494973881855,0.0926015151919637,,-0.034494074721173905,-0.005828669266589684,,-0.02641628331510631,0.009212108962953701,0.0615531663799105,-0.0252035518109607,,-0.003052524223703422,,0.04200315983418233,,-0.029983305366091256,0.02792042466020666,0.09229243705661881,0.08588483835368237,,0.039119238900027824,0.10357316974467122
RELN,0.03778565908189518,0.04851383006560801,0.014548420029340378,-0.011663667309509624,0.03948398655727241,-0.008562945621389326,0.004710367537500959,-0.11423690551393922,0.014279891633324297,0.013462004168263446,0.04160097385512552,,-0.018583497639300887,,,0.06264703165208578,,,,0.015812384225605807,0.017743957844914754,,-0.007937035970016793
IL15,0.05569193535260323,0.0075327296533724735,0.05832630487147618,0.0631866234781856,0.021803003754384858,0.024091677672944168,0.06952000334966822,0.06500632540384679,-0.02955299451604988,-0.02068038726515123,0.02006641205841264,0.013189582144498177,0.0004977517279333093,0.10184521539164267,0.17460830968010868,0.06390953064700025,0.0056757357453618,0.040151525540376556,0.062093946744907105,-0.03801809652482543,-0.004918527142081052,0.19251033638656806,0.020581176610102062
UTS2,,,,,,,,0.17430051980567338,,,,,,-0.021003905345066166,-0.05301972514629908,,,-0.018655899674308484,,,,,
BSG,-0.0059696867274381185,0.044769588266998575,-0.06925101468221664,0.02208612439375958,-0.05476420754027253,-0.11590320783461222,-0.0803285233811176,0.04668182866153419,-0.06669024716969614,0.0010844025552360697,-0.05154395693631058,-0.01778810416551439,0.052812461355231655,0.011359406105128101,-0.020274365541974575,-0.04100479278260883,-0.03814183330550488,0.13426499224199917,0.08713991196812297,-0.022867906307614802,-0.013520110170932926,0.058656745517530855,0.05608129748716093
ADAMTS3,0.01672598699069757,-0.0691539507675637,0.08209209661702721,-0.02516236080652853,0.04058451283019335,-0.05684699202141303,-0.027585315089757898,0.2324709466734685,-0.05832933602189803,0.004909855631097197,-0.0003757413004127655,0.01327537510291746,0.05694418180678386,0.11257651953286943,-0.00195735826923207,,-0.035901955748879215,0.002729551278722415,0.1358478673522896,-0.017820477865137293,0.0886110785078475,0.11737395116217957,0.007794674314944372
CD34,-0.01986672574204099,0.056665640276672986,0.03177696529310983,0.00970390583266087,0.03110598238216383,0.03124781623430483,-0.06336257879439289,0.20733947214253395,0.07677939034237172,0.020487397949605787,0.023024847114745988,0.025639085434189666,-4.525623107807302e-05,0.0062067695581647245,0.026591167905653086,0.04334900965702418,0.07622845975202913,0.06717797828175805,0.07520868818729978,-0.024764044687407626,0.06304255954211169,0.2076220077464435,0.08061343282009731
CCL23,,,,,,,,0.0026483282322740313,,,,,,0.012054203345074418,,,,,,,,,
PLAT,-0.003901677714071531,0.06592113303088847,-0.016605085667171858,0.05218811571325863,0.005900155220716471,-0.007234845040513235,0.023952832077572237,0.18399316050140793,-0.015466121093465797,0.021696329809081795,-0.005711102063034305,-0.01401508786404566,0.0627315879059108,-0.026780903088620533,0.06340643094462867,0.066792400363909,0.09110030974383093,0.0806398469387143,0.08682738904996284,-0.01014621970592085,0.051195895397792825,0.10779092878294161,0.07719028873822253
NTF3,,,,,,,,,,0.004190359136101717,,-0.03666696587542643,,,,,,0.12609558308210944,0.06602679350780329,,0.02509652959738338,,
LTA,,,,-0.014232968722029168,0.02358589172393418,,,,0.0535408661704456,,,,0.00025747736295200703,,,,,,,,,0.04574137526421484,
CKLF,0.02231144402511833,-0.01206493912169787,-0.02794329572340601,0.01975209636519763,0.039238076206993176,0.03190770973221095,-0.011284089975379642,0.20693817389579228,0.01482486235996554,0.05948608575338665,-0.002311770981049954,0.0654596863092394,0.03331415855714003,-0.004206170167522632,0.006944236196795095,0.06519928425227091,0.03005166858029158,0.06135362227133983,0.10692475617208996,-0.019983643196087378,0.052552458487416596,0.06289426022150144,0.06606751208571378
APELA,,,,,,,,,,,,0.11961622561424055,,,,,,,,,,,
CD24,-0.01534760424197898,-0.005419929503890266,0.05161226184704444,0.04995375213391926,-0.026331678250467023,-0.002911444903506879,-0.06136899690118119,-0.01139454448368831,0.08096866487949883,0.06289619383391656,0.013773260665170841,0.0029418432779329553,0.0709622899296797,-0.013452022252057367,0.12213595177148703,-0.13558590134664106,-0.04684218834041116,0.022712160705119066,-0.046864582499805504,-0.07489900318316996,-0.016914519236531353,0.036599259398948245,-0.007514792513123439
HSP90AA1,-0.012105725354972504,0.04044776489913406,-0.043521353745565684,0.015538810310566436,0.019238732184688138,0.0952875186140711,0.01953731522618351,-0.2616205940022043,0.1043915795381589,0.0015221965494774238,-0.06354134193793674,-0.0482308008345484,-0.04936129972018504,-0.03340940641016683,0.03113186989614279,-0.09021474305618811,0.08019413862135567,-0.038221941092179114,-0.14501151555667388,0.004818950498500131,-0.012087390555678385,-0.20881193788578298,-0.055952728982134096
BMP4,-0.03075837601661695,0.0800487843039204,0.044346774892528175,-0.004716232759018656,0.005767641984469468,0.006269784477250246,-0.055056429887769674,0.012266302861639211,0.023845594336252548,0.022496046147457698,-0.06447656414319966,-0.03072292174244952,-0.02179731728854703,0.07230391300128226,0.04635046845884043,0.03369387913566757,-0.009702118252229237,0.06336331324328165,0.059253894581302466,0.004553166131276807,-0.00025963433366286016,0.1945399195619446,0.015085789008054717
SCGB3A1,,,-0.009729031958141487,,,-0.025785514158239597,0.08272990407901712,,,-0.006711479854849738,0.013247727082249236,-0.01442062427656166,-0.017849807675295988,0.0066870223679073955,0.08627268869988433,0.0808556100030524,,0.007679708823672255,0.0007763289592158924,,0.060230214547285076,0.09287937871660462,0.005743102776005144
IGFBP4,0.040523930745559836,0.10079621269255583,0.10962784896654452,0.07241179235627412,0.0001903103959494662,0.06726283465140397,-0.025045745033394642,0.27315971845028525,0.038804837949263336,0.024907716461668377,-0.06235098107173608,0.059395839424977205,-0.00890059304420074,0.06516170561495938,0.04569050475906851,0.12624895938378033,0.10471347047986025,-0.0009588128654729012,0.01771722680668091,-0.006086924967097253,0.04958236003742876,0.25141587854701203,0.15886074883876483
