,UKF248,UKF259,UKF313,ZH8812bulk,ZH881T1,ZH916T1,ZH916bulk
ADA,-0.009328625422719693,0.009950826710067473,0.010420208301050471,0.043512649247898424,-0.05439514812636083,0.10400430199214056,0.020492537599783
LAMC3,0.047758133463919696,-0.01767384199035506,0.05663465630855255,0.1024331924819148,-0.045906671341939834,0.08812927745095556,0.03385384506246668
CCL7,-0.011604525454388179,0.07336027811409343,,,,-0.028797437802316667,0.014860176340686003
NGF,-0.019924393935054262,0.04934819855938894,-0.006248153724968823,,0.012751775354338274,0.079198687607831,-0.042266953485224204
TNFSF15,,-0.014646520102214886,-0.015859722205947863,,-0.012546252852541356,0.01901101223913287,0.040563631785876936
HMGB1,-0.048454922251329226,-0.006065217786132629,0.017053436975256197,-0.019496587841941075,0.017225934561245927,-0.0668266295129752,-0.025123405316346905
ITGB3BP,-0.010346266412097271,0.03642433080464376,0.08382551122282028,0.04785735954490825,0.08573295228648518,0.019511062459391625,-0.028632990157620164
AANAT,-0.016836400929033105,-0.013326836764273988,,0.01268852588457256,,0.028238631616360005,-0.022772427478618462
RELN,0.016505183771132054,-0.02313240414376552,,-0.03286418061711005,-0.015154513779241095,,0.10189570094417626
IL15,0.025570297163501777,-0.021371806137065363,-0.02706770244447995,0.06535539207018344,-0.017272446120740335,0.07998728545376478,-0.03349159535080859
BSG,0.04135176594780255,0.0858837619252391,-0.02000200628778508,0.11933326224517032,-0.011800350726967267,0.011666555741568095,0.006482586569414218
ADAMTS3,-0.03992215198437331,0.0067864149472566864,-0.031116055232575646,0.025920392805819446,0.07144378736194643,0.025025338120792672,-0.0546940574541648
CD34,0.047874844522900674,-0.014038192980328563,0.08217462981715516,0.010266004197800134,-0.01629676758976217,0.06914390664723502,-0.08572017347254379
PLAT,-0.029500560943106748,-0.05399813012631917,0.008934907552088244,0.07205602802353395,0.018133966169210855,0.05379208961459698,-0.02322821704960211
NTF3,,,-0.03378214892612717,,0.008663793731854713,,
LTA,,0.0002962708384986843,,,,-0.00014482262007422893,
CKLF,0.019005898664819974,-0.03949445799718467,0.027584646658951127,0.062043871041010314,-0.004853657758682991,0.012078096666982915,-0.059042995819981486
APELA,,,-0.029236547896011884,,,,
CD24,-0.03821935811525664,0.07166719027730595,0.01597708407477324,-0.04903711609590688,0.06732519785035795,-0.014372041585229364,0.05054391578842555
HSP90AA1,-0.030035997505538606,-0.0014385982621102637,0.021050467638371036,0.04260663470735935,0.05664874137727013,-0.08562925134234509,0.03985924667180657
BMP4,0.036441211074376624,0.06747953506848811,0.0356824100015289,0.06617562182437171,-0.04347573931415174,0.08525869172486601,-0.04401447943978344
SCGB3A1,0.017560805760467205,,0.014988249607071161,,-0.026054608279591957,0.026210070411956617,-0.0457613250412146
IGFBP4,0.06789129556837681,-0.03021525403580311,0.02029394132319297,0.14711587055371678,0.02312038134241088,0.11983056147197588,0.009601048548649531
RSPO4,,-0.025803916852622615,,,-0.017546669853126924,0.04194774129039881,0.02462837514314497
LEFTY2,-0.035643750279527445,-0.005704684946906033,-0.01793242708789259,0.08658620062062233,-0.023862311764617963,0.10059978614493538,-0.03575585211979792
PF4,-0.012037831156348908,0.0905966505532272,,,,0.034392929709260285,-0.02249418539340786
ANGPTL2,0.04793823853393921,-0.038318766594322054,0.06387036310705461,-0.00047178465471199875,-0.036401749920734396,0.08598049537819841,-0.04099891867437306
LRIG2,-0.0037112685163567297,0.01600432089296473,0.03759241863922104,-0.0025725910884747006,-0.047588714679076174,0.038959186417251115,0.04835640876679746
ICOSLG,-0.012208936870391067,-0.027854301065694892,0.030675823450165954,0.023824744746399174,-0.046031000296241714,0.06054070666354311,-0.09372488669383594
WIF1,0.011479645736689385,,,,-0.01631132923236875,,0.06495423817663079
NPPC,0.005843959663017297,-0.017801706178051352,,0.19863106890642987,-0.000200249208574094,,0.15936559729713715
LYZ,0.0032204673851489183,-0.017050252659163906,-0.021621389582334005,0.033386358584480344,-0.008914329529273832,0.06686861192872853,-0.030506796708743296
EREG,,,0.0327726731891286,,0.15380804188933297,-0.02097648335059324,-0.02589747090311036
SPTAN1,0.02352361129216825,-0.07111745109602981,0.0019038219204245527,-0.04976268792557454,-0.038983895999804744,-0.0054289313049805995,0.06010881069389985
PTH2,,,,,0.04401282582246807,,
LIPC,-0.014737469416595669,0.007000646974441635,-0.026219259140207354,0.06713058816241169,,0.08961294227794472,0.0519126332095035
COL8A1,0.003843736977184333,-0.005843343660122568,-0.026157935564706435,0.0971097770767716,0.02205296211430053,0.047353249962344086,-0.060418324157996216
GSTM2,0.031923622556694446,-0.01799545070119677,-0.007398151617183888,0.015779600922750776,0.017727125465507174,0.01792454541761954,0.04157047123747671
SPX,-0.008780778911098118,0.013669440848367366,,-0.0393376625534228,-0.04318139899188603,0.033939483498142395,0.10926492587673621
MFGE8,0.05728413598631981,0.048615865206258525,-0.012518615101381022,0.09795657125634533,0.003013719722737373,0.07857709232804531,0.002193981055591449
TGFA,-0.01746588786829341,-0.012677461586202704,-0.014912822525230301,-0.031013076423410144,-0.057708841417773306,0.0698217091063774,0.007655959359668363
SLIT2,-0.028325786070721334,0.01909814918029868,-0.034730458376753086,-0.02341241454984112,0.03899899579543,0.024040551148961108,-0.0655056224703643
PLTP,0.055171867355461666,-0.012011461249295688,-0.017487110379478473,0.07213194258010622,-0.0022222832911743917,0.0024406331842517135,-0.014265576438631727
APOD,0.022466352383237263,-0.0320198689126926,-0.04699396635783753,-0.04604605092129619,-0.012102809215401574,0.0013746155867095339,0.05437499432212947
B2M,-0.04901446169523384,0.03374798344935257,0.015430847004349435,0.09273432025015424,-0.0011842741209442769,0.0720988690273114,-0.038747904775721966
OMG,0.014367364634503426,-0.025596540210745637,-0.013279893482025164,-0.061922906396089855,-0.019824701991395133,0.06409139122338521,0.06775770539962984
CXCL3,-0.029727061620765972,0.0007200566162673304,0.005815319217454282,0.09381841078704163,-0.021555409426058866,0.015746173518308825,0.04398596361956008
CXCL10,-0.019966146613859766,0.0051766334926450636,0.0033834616869920613,0.05835571413328307,-0.02397590966451691,0.08976740212634314,-0.05210225697980258
RSPO3,0.027407271596127165,-0.013326835779571637,,,-0.006734209968192848,0.0606326905614729,-0.0017244158418139844
CORT,-0.03441156378830897,-0.01064338213321766,,,-0.029182465268296074,,
NCAN,-0.004825385042410658,0.010610773427868252,,0.07865078831539855,-0.033055411449856575,-0.04973563888528915,0.05733467604274025
PRG4,-0.01745182040696261,-0.013153012194945492,,,-0.024253962233610954,0.004563394457450085,0.03619722121239939
ZG16B,-0.0160919727266902,-0.015265679262220026,0.02468200471015023,,,0.011687543680284719,-0.01918984713999492
TGM2,0.033452029830386025,-0.016984508216152827,-0.005813855920143234,0.060039677174928155,-0.0025074258528614973,0.08354201342002317,0.04232521155880505
VEGFC,0.07460663433334244,-0.0234421895784636,0.0678821423953651,-0.02440980092364936,-0.02994719476634834,0.0036631395872437234,0.012669195207632834
WNT6,0.258984437511692,0.013097726287032967,-0.026452386812807215,,-0.023287294494301336,-0.013380518828267712,0.03236501098138363
NRG4,-0.01068817534977929,0.0566245659649078,,0.1586791330545374,-0.023170832801488146,-0.029223771580442637,0.09160047617860906
PMCH,0.098990168858946,-0.022180390735897886,,,-0.013340808858141531,0.056117075867471944,-0.03818826162551942
COL9A1,0.001890792593992019,-0.016718997075490828,,0.033973592181501394,0.021195206416317957,0.03701807007656007,0.0014725929802946547
GDF11,-0.02145540096738943,-0.007620815313927597,0.0493528490138576,-0.027917210993831557,0.011610189818315667,0.0531910845945489,-0.045335251182309744
RAET1E,,,,,,0.04942230478880507,
IL24,,,-0.014917473424493968,,,,-0.0025061730201159827
SORBS1,0.025857261680203407,-0.014389373345510265,-0.05546943898412129,0.06435455864556704,-0.000570215154780761,0.012829375626471982,0.012487794107489153
DLL1,0.08212718117583859,-0.043264387164081326,0.012861499853073168,-0.056085325164044575,-0.0015711720793265508,0.1280969363458952,0.015599326603802414
TLN1,0.06277676038912895,0.023854828644786365,-0.0055991078079031965,0.03478005742453647,0.04345234767073045,0.04963359049926261,0.007747359211330672
COL2A1,0.03602066882047477,,,,0.055136167813673725,0.01660800953396868,-0.02686583953827107
SHH,,-0.013668139211875976,,0.019379205276962866,-0.009066445034329124,-0.051044461570443636,-0.05433457723109137
PON2,-0.0026751741921980203,-0.09218940991953795,0.020128310042067755,0.01454967946781149,-0.029197616449180702,0.006968765810029193,-0.0314436494076396
ICAM5,0.08647708275753671,0.006007740982627735,-0.014121221487219608,,0.038147054206055,0.07162695316950758,0.01507786407928189
HPX,-0.016626310969413388,0.05509437264536515,-0.028039251165421678,0.014258583704386978,-0.003297957344158007,0.004977862349906972,-0.02241977162028151
SFRP2,-0.015428245974169386,-0.015566529347989636,-0.014722228601436594,-0.05184847317528938,0.00970765906685601,0.11294949774427841,-0.005074513674667414
CFC1,,,,,,,0.011723081194633245
CD70,0.038702146006109356,-0.026458670779393286,0.03436414979197077,,0.016410749933077114,0.044855630128933364,0.07219232186905343
HP,0.06145347417657416,0.0039994023721729366,,-0.02510347252123252,0.013623841277645928,-0.04371556595512915,-0.01495642152979472
CXCL2,-0.045704531059420475,-0.030894565968016516,0.07726779215854242,-0.060665331184969695,0.04203480290925437,0.052991707236959035,0.01614181442779023
NPPB,0.030525151946221102,0.04153500627942651,,,-0.019939217673211888,-0.02964426161047686,
CCK,-0.042529065436422396,-0.0002139183844769577,,-0.04489990121706961,-0.024398629285709548,0.08741693874506656,0.02820971287785654
SEMA6A,-0.010990153930331188,-0.01053892141255614,-0.008146507717633993,-0.019249102043186056,-0.02522794480708115,-0.02674234402600707,-0.019035480048221406
IRAK4,-0.033054953449040726,-0.009231987869235531,0.0014655984521296788,0.030307540403165547,-0.009190605804663288,0.08234616927018573,-0.06852383251316692
GSTP1,0.04509784410771806,-0.02605606915102915,0.017678411074723573,-0.04489430616081988,0.003335158857470021,0.033917127266514906,-0.050096434002758664
VCAM1,0.018431464266900795,-0.056921191884497374,0.018651219890969486,-0.006421533750960628,0.027271774734429783,0.039145660730327596,-0.02339360841631624
NXPH3,-0.006650945248941379,0.05584771319844973,0.041143263120346545,0.0024440738290619074,-0.0012456429981898423,-0.0028336444577169158,0.03466431863301644
MTMR4,-0.0016887980783641954,0.020859354206814673,0.013099404406313159,0.07919466137188827,-0.0057741062086779605,0.04663852542399339,0.04284599718752352
LAMC2,0.13309701240048682,0.028906218021165418,-0.021668309287254113,0.03398567426510041,-0.012949335867036072,-0.0036284831282095698,-0.011171448791267625
IL10,0.032773681100507795,0.04579005981526829,0.030120160290131714,-0.018279928295532193,0.01627728986581487,0.06644559343901273,-0.0499522183582303
SEMA4D,0.001757243385388349,-0.04286441201261051,0.004159379104524143,-0.09050536602517592,0.01436958144471934,0.010707959033106918,0.05454683276559158
TRH,-0.05243684400541556,0.005020272367067928,,0.08624826746929753,0.011141247225922048,-0.03320356099161545,-0.07039576119380511
SEMA6D,-0.07346641267651391,0.002048061443283355,0.017750450261945452,-0.005590877230416031,-0.028731562774491334,-0.050179923173650075,0.012015311232402766
CEL,,,,0.1350533310985534,-0.032780217722705486,0.02634052025465967,-0.030678214650713118
PDCD1LG2,-0.03277603127564487,0.02200762488709808,0.02933704102261336,0.08660653150841843,0.022500838225335742,0.07581845792491362,-0.044067966909485425
SPINT1,-0.029727069478183415,-0.007279896899962445,0.018862556920909004,-0.0064133700793827615,0.04865908154767121,0.044296673466566266,0.030861892815561853
CTHRC1,0.07486776945028165,-0.03198765808943945,-0.010035516020527071,0.04405281455276422,-0.06103802914158626,0.10314687497732435,0.022172682261548345
PODXL,0.030718241813362024,-0.03932928137405036,0.055620421105285194,0.06825387025503517,0.0008855326722883614,0.04993240863084012,-0.02806334821716018
JAM3,0.013547504754632884,0.02007355082371813,0.06283126882672593,-0.030461780242951812,0.03338511527445168,-0.034241700459465,-0.04456683308235123
TGFB2,0.006830115083685309,0.006162175456485669,-0.01913666185719691,0.048454960090796736,-0.022439893938944664,-0.04368152424579816,-0.03518207460505168
COL18A1,0.049598015481930595,0.01367457103999219,0.05275681948460634,0.12483419718622986,0.03599281458879143,0.09817739468189117,0.02515369112426656
NODAL,-0.008743253175577434,-0.026918145667850293,,0.009397194036829174,-0.014808536782095807,-0.025281495596833077,0.05463386506931072
INHBB,0.047956301729482995,0.011034483709929347,0.08769519439055357,0.011593779395643166,0.04333667185033912,-0.004954714970529076,-0.0344260488496935
LCN1,-0.011750640423722435,,,,,0.0048315301617036675,-0.02014122417485148
ARF4,0.048570447895457204,-0.010962895321723407,0.048278139210616584,0.0005055862455083017,-0.029341252499783345,0.014270275970483035,0.021311994145430183
CXCL14,-0.005586577462864685,0.04298824719299492,0.0054039718086287426,0.09509301112596671,0.01345711218711321,-0.05355361118384507,0.0026569870745861697
LIF,0.0121974875073608,-0.036139220011145785,0.03693978950974308,-0.02948329530925973,0.0601566142729224,0.046953822348781114,-0.04081083112854066
IL17B,,,-0.035844256556351116,,-0.018423195796137725,0.08038059203949849,-0.02277242290529187
MMP1,0.09076304685780925,,-0.0020364532681417793,,0.09936840271572552,0.11070972972653201,0.0031608678479646034
MATN1,-0.01542824807663824,,-0.014917475574673487,-0.0191697147913471,-0.018987081091084525,0.10629144334660215,-0.020752737663979712
ADAM28,0.018981029420912204,-0.005701736079858473,0.0037975862582135802,-0.0394270967997996,0.0008213912954665116,0.10943356436104784,0.03232214594729933
TCN2,0.02892674763923166,0.03671312391318132,-0.0011012423401060851,0.06512535840800426,0.010171685548138451,0.10081005072309483,0.030461718444327362
THPO,-0.02010364605551189,-0.007202117161002345,,,0.02934382300925135,0.044938876722956045,-0.031099864236696983
CUBN,-0.005002217208763678,0.02372908660461774,0.10419138302889586,0.0594120210493246,-0.012219863132056393,0.08079779360602443,0.06013342788214471
TIMP3,0.05023453050812868,0.09188151301157685,0.03171619275764139,0.07133710698757598,-0.0012544628835466415,0.12600888366327115,0.0315862004447954
PIGF,0.004372616554536338,-0.014127003660726403,0.04093279439364305,-0.0464583233153836,-0.03211903980315053,0.010949541573513794,0.023499650591838707
CRH,-0.013767274270101609,-0.01541679596902174,,0.07919947965632937,-0.022167036731373758,0.05675950397140421,-0.04545177105074816
BDNF,0.01112226472289585,-0.01114500677886707,-0.02301017779816756,-0.013322354999648246,-0.0058998399878864875,0.030551965293864,-0.09933140699827375
CCL5,0.08679360101221743,0.0039611500850065635,-0.004034991421257603,-0.012502553204891792,-0.03356909583384123,0.08843347883119092,-0.04368942439587854
GAD1,0.006357844668235259,-0.014916344276576798,-0.02234806681116202,-0.031683713556627115,0.014498887148278038,0.04826406998443027,0.02423786555652153
COL14A1,0.0655410830840813,0.046047939777642,0.01713729972816144,0.043380368372394805,0.03131301544278766,0.11782176940627243,-0.08737973991742361
HLA-A,0.006218279669793862,0.006886984212497248,0.017462500081894615,0.12156949737387478,0.04691130819339403,0.08880176481866153,0.04544486338900584
CD5L,-0.013767272677332841,,,,,,
FGF18,-0.0124568934207288,-0.01224852910704158,-0.015489278760047295,,-0.023053865183748676,-0.005459821420941149,-0.028489762526012482
ADM,-0.03783362400443524,0.06382171034228436,-0.01602608891422225,0.03777437675667721,0.01960393598754677,0.025779163240801133,-0.016558373228375528
CCL15,0.007711904764593728,,,,,-0.0287974481807243,
GNAI2,0.06218102006201613,-0.04017376455450088,0.0380108076121565,0.07798631569149955,-0.015152316414344691,0.026880693037698772,-0.0399490300514554
HDC,,,,,,0.017666751656483955,-0.020752728265261235
COL11A1,0.021589848425748452,0.04132734790457665,0.012427310326181017,0.0192225590051281,0.04176610290709461,0.005855251081941979,-0.033825644143561644
NUCB2,0.05366841975262829,-0.020609852447740072,0.02775200684452189,0.017672525321236778,0.047310107267118325,-0.00207907592337573,0.03570884163231163
FGF16,,,,,,,-0.020449115867602535
CXCL1,-0.0424802832600506,-0.026247882243955592,-0.019832170416039258,0.07612379962916323,0.014795491262748794,0.02496444137886513,0.043770810605340764
VCAN,-0.020163176898669935,-0.01313936749971846,0.06927614758909836,-0.0977687588956927,0.0426550105669709,0.022436562865383772,-0.10728263944362904
MMP7,-0.015560154694109573,0.022568983888007807,-0.017033468249701783,,0.015370343458528932,0.09102257740972299,-0.029667378924287693
PTPN6,0.04560226240538402,0.005788899557754881,0.08303820030679887,0.029278963462454084,-0.01826244701109163,0.056815516061105,-0.03949115996247598
PTGS2,-0.033397549128337464,0.028954013478222847,0.0022088480596088667,0.020748031407892352,0.047524811547783936,0.022974892706746578,-0.08529086855992607
XCL1,-0.015086468438044126,-0.013326838022505085,-0.027817108292339996,,,,0.023085162049825747
CD58,-0.029306906252014465,0.023431969002710804,0.022913332704818455,-0.04160412038148833,0.003856848903322497,0.04628752195323915,-0.04431406748456191
TNFSF14,-0.015201172223626411,-0.04816826702941729,,0.01743652989908347,-0.019263426324717132,-0.0042349480405285845,0.026085453619157806
CNTN4,-0.02672548782228151,-0.023950725560387926,,0.1673419697639538,0.03512331505872804,0.04911697508868834,0.061515347607273174
NTF4,,-0.016857866485055387,,,,,
INSL3,-0.01351469137657355,-0.012248526704564085,,,-0.01926342446355998,0.07526315784512477,
BTLA,,-0.004882025981678865,,,,0.039203512562152314,
MFNG,-0.008434779469826998,-0.04942443230603388,0.12200890924671262,0.022649587612749635,0.0029771081612514133,0.0757820555750063,-0.10444664670392347
ICAM1,-0.028464759993425084,-0.014519901688182006,0.0226487001620041,0.016506753142800066,-0.03461455593005086,-0.017089533509857653,0.0370545354794277
PROS1,0.00541098205929523,0.01568593981509598,0.016832773419530943,0.06740454459193207,-0.0541546036959007,0.0035152427063035122,-0.08335092783285566
CLCF1,-0.008817940420635505,0.03592093033627732,0.007231098883069195,0.08463245211435239,0.06876414190408457,0.042488839374826434,-0.03409077416670734
PSAP,-0.017256874306117005,0.08429237605583684,0.024957573907716513,0.02127206194415182,-0.013861467788469849,0.04559312272557184,0.013251257025854286
EFEMP1,-0.008329739283698566,0.038474181544527385,0.002266886114979749,0.06785394942952108,-0.023298597011383884,0.03209635980847401,-0.07444660768247878
C1QTNF1,0.032921723619631096,0.021411945139457544,0.01074806693505941,0.036979338412497884,-0.013603131301459733,-0.04679515433219692,-0.0761497173770531
ALB,0.029969822294116807,-0.02174551046921208,-0.014121226129729134,0.03532846287847781,-0.02095566594182973,0.0330517755416854,-0.029382137586063343
CCL13,,,0.0291539860351163,,0.08331447432910134,,
EFNA3,-0.04268250168100399,0.01809251167470348,-0.025277879390604337,-0.025884077688081673,-0.024215711527098695,0.039997470142084435,0.08407652300613169
DRAXIN,-0.023118631266966012,-0.023416664267591213,-0.004096231026216516,-0.014632190980160727,-0.021527587907586528,0.093427189311618,-0.0035287564737992794
RAET1L,-0.01052807583550604,,,,-0.023403264600128645,,
NPTX2,-0.0594537499312287,-0.009724372565199969,0.01851653204833,0.12052948304417224,0.04463609172402339,0.08660166554474724,-0.0017102657359064565
FGF11,-0.016571634808987643,0.06691424866090216,0.029230781259880108,0.020018840346430613,-0.03642293089210881,-0.02062476738127386,-0.09478503432816646
CD59,0.02577820478530637,-0.056806124913770385,0.0067080849899544565,0.009928894601198394,0.030462762751435578,0.0563627112294553,0.03433030324540076
COL9A2,0.05106725897795507,0.006591019339794663,-0.029808870635981394,-0.007894705960253762,-0.03774140840094527,0.07109876879111837,-0.058373311851230014
DLL3,0.0029254098055051807,-0.06070111860407269,0.08521607707009725,-0.02302478346593014,-0.0074754258451052115,-0.018847856887639885,-0.07950245964630605
FGF5,,,-0.03406867080691475,,,-0.009117561834985702,-0.035078325076845475
LIN7C,0.05131992845608051,0.019690976677061763,-0.02025306351063417,0.08117143669407832,0.03499868281209577,0.010021293383909804,0.0036046234618316935
GDF7,-0.02482781102820361,0.03129154403028317,,-0.03132284965511114,-0.015660039692764176,-0.017779535531846566,-0.016123153489273272
PSPN,-0.00565981902424374,0.013273042454620465,0.051289658515245445,0.058679199894779134,0.0285763369395004,0.028840044327142825,-0.018125583605038208
ANGPT1,-0.04045686245486154,0.009765806302362073,0.003176754110265088,0.16259913676981327,0.05061843656966435,0.04011016375510725,0.011905993497635686
PNOC,-0.0056380989273534035,-0.015159380207615517,0.09224144972025988,,-0.018565616662075558,0.04206864545748037,0.01857840442639151
L1CAM,-0.02497488960529182,-0.020955657745561247,-0.01881919754678259,-0.030602304299493444,0.01160690383326448,-0.014974511281001513,0.06757511647954209
APOA1,0.006627163825740846,0.010672964517010225,0.01286176918259205,-0.007380660907282006,0.016578633819687407,0.051940799671122945,-0.041525637946562666
PSEN1,0.0652981856226331,-0.036423170271779326,-0.009436864416757307,0.002593005335506485,0.012051656478730655,-0.009640048756198734,-0.011200651511593858
CALM2,-0.09408986701613085,-0.0737629616371784,0.054941365099903085,-0.07495797641692976,-0.014127636414535035,-0.04245244341576036,-0.008737683709405265
CLEC2B,0.00807088276539681,-0.05514236178751387,0.05262041927254877,0.054360459698124454,0.02978721133621104,0.06708138430463667,-0.005583146354805984
NTNG1,-0.0399624731857341,0.014044801364313752,-0.02314061239354066,-0.005558377478895985,0.01511392139718308,0.03740852760430701,-0.01552476505056768
LRIG1,0.012537419987278007,-0.04925535326352927,-0.012141218531334928,0.053089868341996915,-0.022468394643189272,-0.05589734126580321,0.0038095673609162104
CPAMD8,0.04471791273498892,-0.014487821514074715,,-0.038433713005638824,,0.05319135723915752,0.06761437554570207
GHRL,-0.015369034732387921,-0.03128343537021612,,-0.03855626533127298,-0.016939373344627664,0.08888645447687832,0.05946056014513989
NPY,-0.01842793110237014,-0.016701065078366925,,-0.03398583353308693,0.03004659402104881,0.09679633580818083,-4.113248841771523e-05
MMP2,0.06763063027519683,-0.04539990235847513,0.009224134163068977,0.07782850830774016,-0.027289074824930672,0.04641182053344958,0.013465131001315267
LHB,,-0.012617798414678657,,,,,
PPY,-0.017752416378553966,-0.021963907018857757,0.044737329860482705,,0.0548440710689146,-0.01898760745491767,-0.02618261756820864
ALKAL2,-0.01974375247108435,-0.012434481484100372,0.011973603063229657,0.010588011174460094,-0.025236393621418118,-0.003910184357355645,0.01863721212510356
CSF1,-0.04757516652489036,0.0058385261316200535,0.01920777391431363,0.04198265520934109,-0.0012470361751539256,-0.038454380456010726,-0.056994384092858875
SEMA4C,0.07348449051182303,-0.013445930412830308,0.05654547963049609,0.06575672115600426,-0.013974377571894417,0.09949122902620344,-0.03636192958466465
BMP8A,,,,,,0.06157189991226334,
ICAM2,0.012426094842882988,-0.03941774545286175,-0.042790934780305705,0.0960009867235714,-0.016570455790659487,0.12829199880132108,0.07080939525276136
SYTL3,-0.02310971823936407,-0.03445665041223785,-0.022870103806157793,0.040728864903231646,-0.017576772596657707,0.09006310835371996,-0.04682603005204612
IL1A,0.000586082738692599,-0.002077017678007676,,-0.006502666567433036,0.006571051358646588,-0.031416363726629155,0.12803857648055375
HLA-G,-0.016200194796131225,-0.013326836818979679,,,0.0004567136010112467,,
PGF,0.019894742056880008,0.025492790388337506,0.025135043994412607,0.03559491803887966,0.026633603201229972,0.10401207246250684,0.010904623664786455
LGALS8,0.03948315546350921,0.026130472479321057,0.006512291327784805,0.032409122732481005,-0.011543412501837654,-0.003243344305564574,0.027861976625345213
DKK3,-0.0515137758419501,0.02989770978512369,0.03684617119769611,0.06254529776742086,-0.016175235215944803,0.09835530810715593,0.031243260148008087
COL16A1,0.05945526284043942,0.011518024431680702,-0.033062622406424054,-0.010888259118692178,-0.024155843923759343,0.05813073783356761,-0.01282538746297723
TPH1,-0.011895057287719142,-0.02425140138274586,,-0.022587960819840953,0.0405914575034986,0.06185532444753473,-0.0024816857127725146
